Sample	Reads passing filters
Nac_Sal_1_1	23075215.0
Nac_Sal_1_2	23075215.0
Nac_Sal_2_1	26877663.0
Nac_Sal_2_2	26877663.0
Nac_Sal_3_1	24591295.0
Nac_Sal_3_2	24591295.0
Nac_Sal_4_1	24876193.0
Nac_Sal_4_2	24876193.0
Nac_Sal_5_1	26997272.0
Nac_Sal_5_2	26997272.0
Nac_Sal_6_1	27230339.0
Nac_Sal_6_2	27230339.0
Nac_Sal_7_1	26361668.0
Nac_Sal_7_2	26361668.0
Nac_Sal_8_1	26193820.0
Nac_Sal_8_2	26193820.0
Nac_oxy_1_1	26198436.0
Nac_oxy_1_2	26198436.0
Nac_oxy_2_1	23092623.0
Nac_oxy_2_2	23092623.0
Nac_oxy_3_1	23345167.0
Nac_oxy_3_2	23345167.0
Nac_oxy_4_1	21521303.0
Nac_oxy_4_2	21521303.0
Nac_oxy_5_1	24089362.0
Nac_oxy_5_2	24089362.0
Nac_oxy_6_1	20677059.0
Nac_oxy_6_2	20677059.0
Nac_oxy_7_1	22879468.0
Nac_oxy_7_2	22879468.0
Nac_oxy_8_1	23320167.0
Nac_oxy_8_2	23320167.0
