Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Nac_Sal_1_1 - illumina_universal_adapter	(1, 1.733461638385601e-05)	(2, 1.733461638385601e-05)	(3, 3.033557867174802e-05)	(4, 5.2003849151568034e-05)	(5, 5.633750324753204e-05)	(6, 9.100673601524406e-05)	(7, 9.100673601524406e-05)	(8, 0.00010400769830313607)	(9, 0.00012134231468699209)	(10, 0.0001386769310708481)	(12, 0.00014517741221479411)	(14, 0.00019284760727039814)	(16, 0.0002686865539497682)	(18, 0.0003488591547251023)	(20, 0.0004572005071242023)	(22, 0.0005460404160914644)	(24, 0.0006608822496345106)	(26, 0.0008342284134730706)	(28, 0.0010379101559833787)	(30, 0.0012112563198219389)	(32, 0.001536280377019239)	(34, 0.0020324837710071174)	(36, 0.002537354473186924)	(38, 0.003265408361308876)	(40, 0.004305485344340237)	(42, 0.005774594082872034)	(44, 0.0077160711178639076)	(46, 0.010123415968171911)	(48, 0.01357517145560724)	(50, 0.01843969817832683)	(52, 0.024233793704630704)	(54, 0.031425492676882966)	(56, 0.04058033695460692)	(58, 0.05249788571850793)	(60, 0.06903944340280253)	(62, 0.09103923842096379)	(64, 0.11856877606557512)	(66, 0.15435392476299786)	(68, 0.1998702937329078)	(70, 0.25804526631712854)	(72, 0.3319687378860825)	(74, 0.4262235476462516)	(76, 0.5415724187185255)	(78, 0.6849990346785502)	(80, 0.8594827827173008)	(82, 1.0767201952397842)	(84, 1.350039425418138)	(86, 1.6768771168545993)	(88, 2.0605983519546838)	(90, 2.4959334073376995)	(92, 3.031408374743204)	(94, 3.684006844573279)	(96, 4.414728096791297)	(98, 5.231121356832428)	(100, 6.141515907869114)	(102, 7.138889063438846)	(104, 8.235951431005084)	(106, 9.423918693715313)	(108, 10.682275333079236)	(110, 11.999901192686611)	(112, 13.37017011542471)	(114, 14.822104582774202)	(116, 16.38318862901169)	(118, 18.065575987049307)	(120, 19.715731792748194)	(122, 21.3130885237689)	(124, 22.936018147609893)	(126, 24.594728586494213)	(128, 26.253586369617793)	(130, 27.85577295812845)	(132, 29.43491534098382)	(134, 31.006306983488564)	(136, 32.57870836739766)	(138, 34.11983160286914)
Nac_Sal_1_1 - polya	(1, 0.013182975759922498)	(2, 0.016905584628355577)	(3, 0.02009515404298508)	(4, 0.02404744657850425)	(5, 0.02675164673438579)	(6, 0.02938217477063594)	(7, 0.03339947211759457)	(8, 0.038534852221311915)	(9, 0.04709815271493678)	(10, 0.056894377798863416)	(12, 0.06431576043820177)	(14, 0.07192565703071456)	(16, 0.07935570697824484)	(18, 0.08653007133411325)	(20, 0.0944454905403915)	(22, 0.1011149841940801)	(24, 0.10723843743167724)	(26, 0.11375408636495912)	(28, 0.1201007227884984)	(30, 0.12605299668930495)	(32, 0.13277449419214513)	(34, 0.1392056368705557)	(36, 0.1452597516426174)	(38, 0.1531470020972719)	(40, 0.16024552750646093)	(42, 0.16692152164129348)	(44, 0.1730969787280422)	(46, 0.1791965968681115)	(48, 0.18546522751792344)	(50, 0.19206104905198068)	(52, 0.19843152057304775)	(54, 0.20427328629440722)	(56, 0.20969902122255415)	(58, 0.21599798745103782)	(60, 0.22201743299033183)	(62, 0.22818205594184063)	(64, 0.236684685278122)	(66, 0.24549500405521682)	(68, 0.2520106529884987)	(70, 0.2580149307384568)	(72, 0.2636855171230257)	(74, 0.26943844293541797)	(76, 0.27457598986618326)	(78, 0.28039392049001494)	(80, 0.28641986651045287)	(82, 0.29159641632808186)	(84, 0.29683580413010235)	(86, 0.3018303404757009)	(88, 0.30714123357030476)	(90, 0.3123221170420297)	(92, 0.31762434282844165)	(94, 0.3230804133352604)	(96, 0.3280446141021871)	(98, 0.3328441360134673)	(100, 0.3375981545567398)	(102, 0.34203148269691097)	(104, 0.3470498541400373)	(106, 0.3519620510578125)	(108, 0.35678974172071637)	(110, 0.3607962049324351)	(112, 0.3652490345160381)	(114, 0.36887630299436)	(116, 0.3728567642815029)	(118, 0.3768545601850297)	(120, 0.3809845325384834)	(122, 0.3851383399894649)	(124, 0.3886746017317715)	(126, 0.3923907101190606)	(128, 0.3960093112891906)	(130, 0.39938522782994657)	(132, 0.4024967914708487)	(134, 0.40586404070341275)	(136, 0.40907527838852203)	(138, 0.41208716798521705)
Nac_Sal_1_2 - illumina_universal_adapter	(1, 4.333654095964003e-06)	(2, 4.333654095964003e-06)	(3, 3.033557867174802e-05)	(4, 3.466923276771202e-05)	(5, 3.466923276771202e-05)	(6, 3.466923276771202e-05)	(7, 3.466923276771202e-05)	(8, 4.767019505560403e-05)	(9, 6.500481143946005e-05)	(10, 9.534039011120806e-05)	(12, 0.00011700866059102807)	(14, 0.00017984664498250612)	(16, 0.00026651972690178616)	(18, 0.00038136156044483224)	(20, 0.0006045447463869784)	(22, 0.0008493962028089446)	(24, 0.0010249091936954868)	(26, 0.001464775084435833)	(28, 0.0018829727046963591)	(30, 0.0021451587775021814)	(32, 0.002539521300234906)	(34, 0.003081228062230406)	(36, 0.0036684381922335286)	(38, 0.004561170936002113)	(40, 0.005733424368960376)	(42, 0.007232868686163921)	(44, 0.009222015916211398)	(46, 0.01173553529187052)	(48, 0.015317300402184769)	(50, 0.02023383097405593)	(52, 0.02588274908814501)	(54, 0.033106950466117)	(56, 0.04249147841092705)	(58, 0.054584540165714596)	(60, 0.07076857138709217)	(62, 0.09232416686041711)	(64, 0.11930983091598496)	(66, 0.1537862160764266)	(68, 0.19802415708802712)	(70, 0.2548535300754511)	(72, 0.3268073558577894)	(74, 0.4185313116259155)	(76, 0.5309462988752218)	(78, 0.669729404471421)	(80, 0.8385490666067467)	(82, 1.0483260936030283)	(84, 1.3113810640550911)	(86, 1.6261321942179088)	(88, 1.9962349213214265)	(90, 2.417060902791155)	(92, 2.933060428689397)	(94, 3.561113081719932)	(96, 4.2675008661891125)	(98, 5.054197761537649)	(100, 5.930900318805264)	(102, 6.8917321030378265)	(104, 7.950097106354155)	(106, 9.0912847399255)	(108, 10.295700386756959)	(110, 11.560863029878595)	(112, 12.877125955272788)	(114, 14.262606003887722)	(116, 15.742564045448763)	(118, 17.33840833118998)	(120, 18.903091477154167)	(122, 20.407974530248147)	(124, 21.927418661104568)	(126, 23.470567879865907)	(128, 25.011045400877087)	(130, 26.490609079915398)	(132, 27.944740709891544)	(134, 29.390692567761555)	(136, 30.833236006685098)	(138, 32.241181718133504)
Nac_Sal_1_2 - polya	(1, 0.013408325772912625)	(2, 0.01865638088312503)	(3, 0.022001961845209243)	(4, 0.02529120530404592)	(5, 0.028424437215427895)	(6, 0.030374581558611696)	(7, 0.032862099009695035)	(8, 0.037499108892376516)	(9, 0.04295951305329116)	(10, 0.04932998457435825)	(12, 0.05653685133594638)	(14, 0.06355737097140807)	(16, 0.07015319250546528)	(18, 0.07620947410457497)	(20, 0.08370236203649672)	(22, 0.08973480853807864)	(24, 0.09631546228279997)	(26, 0.10374767905737824)	(28, 0.11046484290612243)	(30, 0.11641061632578505)	(32, 0.12254490369862209)	(34, 0.1287181939583228)	(36, 0.13489798469916747)	(38, 0.14307558997825154)	(40, 0.14949589852142223)	(42, 0.1552769930854382)	(44, 0.16065289099148156)	(46, 0.16643398555549754)	(48, 0.17299297102973904)	(50, 0.18140676045705317)	(52, 0.18865479693255294)	(54, 0.194429391015425)	(56, 0.2000978105729459)	(58, 0.20630143641131837)	(60, 0.21400667339394236)	(62, 0.22238796041553677)	(64, 0.23048105943974953)	(66, 0.2622294093467818)	(68, 0.3208940848438465)	(70, 0.35072479281341473)	(72, 0.35694792009521903)	(74, 0.362976032942705)	(76, 0.3686032827863142)	(78, 0.37389467443748625)	(80, 0.37946775360489604)	(82, 0.3844167865824869)	(84, 0.3891924733962392)	(86, 0.39436685638682023)	(88, 0.3994198970627143)	(90, 0.4050016435383159)	(92, 0.41000051353801037)	(94, 0.4149668811319851)	(96, 0.4194890491811235)	(98, 0.42399821626797407)	(100, 0.4286980641350471)	(102, 0.4329797143818595)	(104, 0.437127021351697)	(106, 0.44153001391319646)	(108, 0.44552347616262733)	(110, 0.4498484629503994)	(112, 0.4535949069163603)	(114, 0.4570358282685557)	(116, 0.4606674304009735)	(118, 0.46430769984158327)	(120, 0.4679067995682814)	(122, 0.47116137379435036)	(124, 0.47439861340403544)	(126, 0.4777940313882233)	(128, 0.48081025463901417)	(130, 0.48384814616028493)	(132, 0.48670402420952524)	(134, 0.4896682436111646)	(136, 0.492870813988082)	(138, 0.49565735357178686)
Nac_Sal_2_1 - illumina_universal_adapter	(1, 0.0009822282539966366)	(2, 0.0009822282539966366)	(3, 0.0010119927465419892)	(4, 0.0010417572390873419)	(5, 0.0012091825096549502)	(6, 0.0019793387542659494)	(7, 0.002009103246811302)	(8, 0.002042588300924824)	(9, 0.0021207200938563745)	(10, 0.002185829921299333)	(12, 0.002457430915775676)	(14, 0.0031885212639208996)	(16, 0.004524202866893598)	(18, 0.005727804534196295)	(20, 0.007076508102657586)	(22, 0.009528358176081008)	(24, 0.012614563996877257)	(26, 0.017817769349961713)	(28, 0.02779631547579118)	(30, 0.03893753709167348)	(32, 0.05267385040135372)	(34, 0.06878202171074174)	(36, 0.08518969822636738)	(38, 0.1082274154564703)	(40, 0.14083441703990413)	(42, 0.1894082085931355)	(44, 0.24219553612231837)	(46, 0.30303787944658733)	(48, 0.39306802827314263)	(50, 0.5219873468909852)	(52, 0.689154038429606)	(54, 0.8910335693992443)	(56, 1.1222385666491912)	(58, 1.4195374798768776)	(60, 1.804766284925888)	(62, 2.3013961444490167)	(64, 2.8883091509853367)	(66, 3.560553237087614)	(68, 4.371589151928871)	(70, 5.308794890389094)	(72, 6.255633162749306)	(74, 7.381973648527404)	(76, 8.573293742093576)	(78, 9.82046318535953)	(80, 11.085535970891517)	(82, 12.394578353036126)	(84, 13.929153736320007)	(86, 15.398476050540555)	(88, 16.841391679031023)	(90, 18.3033937883662)	(92, 20.0426447046382)	(94, 21.886642451019643)	(96, 23.502545589622134)	(98, 25.15395404726966)	(100, 26.91028420142034)	(102, 28.619820852728157)	(104, 30.272546389170813)	(106, 31.871208445466408)	(108, 33.37582214644182)	(110, 34.80284725647464)	(112, 36.143495809140845)	(114, 37.53149780916593)	(116, 38.85345240023286)	(118, 40.060210964026155)	(120, 41.1675393801909)	(122, 42.29913329890326)	(124, 43.42145185762617)	(126, 44.53856907127677)	(128, 45.64896323017369)	(130, 46.63762061456013)	(132, 47.593518454338835)	(134, 48.54822943497729)	(136, 49.46163660136672)	(138, 50.272495789533494)
Nac_Sal_2_1 - polya	(1, 0.09589375385798982)	(2, 0.09981894631240819)	(3, 0.10281399837478429)	(4, 0.10572347752109251)	(5, 0.10799674063924382)	(6, 0.10996491770880526)	(7, 0.11270325102297771)	(8, 0.11716048378164426)	(9, 0.12289014859662464)	(10, 0.12978062862087378)	(12, 0.13520520738726427)	(14, 0.14072280019285904)	(16, 0.14604878407769306)	(18, 0.15093388141669906)	(20, 0.15638636439485085)	(22, 0.16124913836444782)	(24, 0.16595750902896578)	(26, 0.17038869785665517)	(28, 0.17474733573376525)	(30, 0.17921573017713632)	(32, 0.1832971862174178)	(34, 0.18745677405063083)	(36, 0.19253720087196569)	(38, 0.1984342909575137)	(40, 0.2036412168721663)	(42, 0.20799427390692413)	(44, 0.21242918329618166)	(46, 0.21710220862580204)	(48, 0.22123203196646968)	(50, 0.2253079071643989)	(52, 0.229402385170169)	(54, 0.2331173658959858)	(56, 0.23710208733549493)	(58, 0.24126353544949203)	(60, 0.2457282093312949)	(62, 0.25023566967113176)	(64, 0.28395697944423215)	(66, 0.3192316236720432)	(68, 0.32328517550056346)	(70, 0.32740755771809477)	(72, 0.33117090574429775)	(74, 0.33463474856426323)	(76, 0.33789396049797926)	(78, 0.3412015397320816)	(80, 0.3446021330053881)	(82, 0.34819247491867134)	(84, 0.3512972835473084)	(86, 0.35441139357986595)	(88, 0.3577040905676956)	(90, 0.3611642128260928)	(92, 0.364447608410002)	(94, 0.36761008574294574)	(96, 0.37075023970648047)	(98, 0.37376761513826556)	(100, 0.376660351757517)	(102, 0.37922939952033774)	(104, 0.3820923716470439)	(106, 0.38486791057689795)	(108, 0.3875653177138206)	(110, 0.3900301897527326)	(112, 0.39298431563785885)	(114, 0.3957840382179061)	(116, 0.39856515799011244)	(118, 0.4014653357325002)	(120, 0.4042390143815703)	(122, 0.40713361128160586)	(124, 0.41018075120593633)	(126, 0.41355716082904975)	(128, 0.4170061214027425)	(130, 0.42047926562662835)	(132, 0.4239245056387529)	(134, 0.42770831675358084)	(136, 0.43196649946835036)	(138, 0.4359902868043252)
Nac_Sal_2_2 - illumina_universal_adapter	(1, 0.000956184323019453)	(2, 0.0009673460077239603)	(3, 0.0009785076924284674)	(4, 0.00100827218497382)	(5, 0.0011087273473143853)	(6, 0.001666811582539747)	(7, 0.0016854143903805923)	(8, 0.0017040171982214377)	(9, 0.0017486639370394665)	(10, 0.001802612079777918)	(12, 0.002012823808379471)	(14, 0.0026657823635931445)	(16, 0.003861942907759503)	(18, 0.005065544575062199)	(20, 0.006563070606250253)	(22, 0.009093052472605227)	(24, 0.012220184470651336)	(26, 0.017575932848030724)	(28, 0.027565640658564698)	(30, 0.03886870670266236)	(32, 0.05264594618959245)	(34, 0.06878946283387807)	(36, 0.08515621317225386)	(38, 0.10784605789573298)	(40, 0.13994148226354353)	(42, 0.1882157686105373)	(44, 0.2409063615389478)	(46, 0.30080740278646995)	(48, 0.38979765465472205)	(50, 0.5174594234625235)	(52, 0.6818673185983469)	(54, 0.8801230226005885)	(56, 1.1069563600079366)	(58, 1.3997812979498998)	(60, 1.7764825758846667)	(62, 2.2609406182375302)	(64, 2.8316356968982013)	(66, 3.4828790732289487)	(68, 4.265813586545825)	(70, 5.173487367558705)	(72, 6.092384222541967)	(74, 7.179439298721768)	(76, 8.3311279704638)	(78, 9.534013429664626)	(80, 10.749532055670167)	(82, 11.99993280665808)	(84, 13.463315244335046)	(86, 14.871465945532542)	(88, 16.246641309551357)	(90, 17.632100305744586)	(92, 19.25787409418743)	(94, 20.980689429732042)	(96, 22.500626263525962)	(98, 24.035430461346287)	(100, 25.663148243208497)	(102, 27.260868997427345)	(104, 28.800327617769447)	(106, 30.275634455272396)	(108, 31.642659929176133)	(110, 32.94780502307809)	(112, 34.17321104145104)	(114, 35.427217016598505)	(116, 36.61886824014424)	(118, 37.71169948815863)	(120, 38.7072603745348)	(122, 39.71278120422895)	(124, 40.70306447402068)	(126, 41.67212380034678)	(128, 42.62652597437508)	(130, 43.468933664359135)	(132, 44.28218145305267)	(134, 45.096811430368774)	(136, 45.8813662482486)	(138, 46.57573651399677)
Nac_Sal_2_2 - polya	(1, 0.02651272173477285)	(2, 0.030170033756283052)	(3, 0.03197078555527689)	(4, 0.0340022121714972)	(5, 0.03584389014774089)	(6, 0.03759627464634853)	(7, 0.03947515823827392)	(8, 0.04271204680258101)	(9, 0.04665584206484023)	(10, 0.05126003700544947)	(12, 0.056465102639318004)	(14, 0.061411589244198796)	(16, 0.06622971647497775)	(18, 0.07064230249482628)	(20, 0.075873412059672)	(22, 0.08056690047791729)	(24, 0.08601194233293274)	(26, 0.09140303604520973)	(28, 0.09585282768073995)	(30, 0.10028401650842933)	(32, 0.10544629568426392)	(34, 0.11018443084132724)	(36, 0.11469189118116407)	(38, 0.1199230007460098)	(40, 0.12489181072029959)	(42, 0.12897884760293332)	(44, 0.13295612791930608)	(46, 0.13729430270779122)	(48, 0.1424472804797054)	(50, 0.147763962960619)	(52, 0.15323504874661165)	(54, 0.15737417349119975)	(56, 0.16140354166952686)	(58, 0.16592402397485229)	(60, 0.17105095781578927)	(62, 0.17634531692729388)	(64, 0.18170106530467325)	(66, 0.19684933172947366)	(68, 0.2579056073439123)	(70, 0.3105106273562549)	(72, 0.31454743665771834)	(74, 0.3179480299310249)	(76, 0.32130025590394523)	(78, 0.32489803894036473)	(80, 0.3286279019124542)	(82, 0.332208942421817)	(84, 0.3356225576606121)	(86, 0.33869760179670383)	(88, 0.34178380761750005)	(90, 0.3450076742163186)	(92, 0.3479673809437971)	(94, 0.35082105166658273)	(96, 0.35393888226070847)	(98, 0.3567795310180055)	(100, 0.3599252658238925)	(102, 0.3636160628995162)	(104, 0.367131993581436)	(106, 0.3700768180626418)	(108, 0.3728374747462233)	(110, 0.375471632336487)	(112, 0.3779086001636377)	(114, 0.38058182365036725)	(116, 0.38288671154184795)	(118, 0.38546878127015727)	(120, 0.3882740846925568)	(122, 0.3909770726718316)	(124, 0.39348845173034575)	(126, 0.3960333158429734)	(128, 0.398620966413635)	(130, 0.40123652119605785)	(132, 0.4041273975345252)	(134, 0.4070536192078902)	(136, 0.40959662303973376)	(138, 0.4125358666785873)
Nac_Sal_3_1 - illumina_universal_adapter	(1, 0.00039038204372726204)	(2, 0.0004310468399488518)	(3, 0.0006099719433238469)	(4, 0.0012484092440028067)	(5, 0.0012972069994687144)	(6, 0.002057638688812444)	(7, 0.0022162313940766436)	(8, 0.002419555375184593)	(9, 0.002553749202715839)	(10, 0.0030579926758635525)	(12, 0.003609000664666094)	(14, 0.004798445954147596)	(16, 0.006502300915832208)	(18, 0.008047563172252619)	(20, 0.010027938748244043)	(22, 0.01255118935379369)	(24, 0.015202534067441344)	(26, 0.018467917204035005)	(28, 0.02422401910920104)	(30, 0.030785283979554552)	(32, 0.037856892042489015)	(34, 0.04806782237373021)	(36, 0.05849427612494584)	(38, 0.07355448340561162)	(40, 0.0958611573729647)	(42, 0.12454610462767415)	(44, 0.15722840135096589)	(46, 0.19476810798292649)	(48, 0.25147719955374453)	(50, 0.3339189741735846)	(52, 0.44147126046025637)	(54, 0.559224310879114)	(56, 0.6999977024390135)	(58, 0.8811044721312968)	(60, 1.0977644731601162)	(62, 1.3611035937716984)	(64, 1.6703919008738661)	(66, 2.010764378207817)	(68, 2.3947356168107454)	(70, 2.817740993306778)	(72, 3.279219333508056)	(74, 3.7962640845063262)	(76, 4.3220172016154494)	(78, 4.868179979948189)	(80, 5.413903578481735)	(82, 6.013081051648561)	(84, 6.663400605783469)	(86, 7.320242793232321)	(88, 8.02226560252317)	(90, 8.725831640830627)	(92, 9.478571583969043)	(94, 10.300276988259462)	(96, 11.07723891726727)	(98, 11.87562509416442)	(100, 12.680094724576318)	(102, 13.51822464006064)	(104, 14.354823525967216)	(106, 15.212915789916718)	(108, 16.089032724791437)	(110, 16.96161385563469)	(112, 17.84525174457059)	(114, 18.75829434765432)	(116, 19.654086944180857)	(118, 20.551998176590537)	(120, 21.412587259028044)	(122, 22.28693324202731)	(124, 23.19305673003394)	(126, 24.10130698688296)	(128, 25.02999537031295)	(130, 25.949656168981747)	(132, 26.85405343638877)	(134, 27.7383561947429)	(136, 28.628036872397324)	(138, 29.572072149921347)
Nac_Sal_3_1 - polya	(1, 0.1055861433893579)	(2, 0.10761531672081523)	(3, 0.10820495626602829)	(4, 0.10869700030030952)	(5, 0.10938423535645439)	(6, 0.10997387490166743)	(7, 0.11067737587630094)	(8, 0.11184445552786057)	(9, 0.11325552395674973)	(10, 0.11482925157052526)	(12, 0.11617728956527096)	(14, 0.11747652980455076)	(16, 0.11864157621629931)	(18, 0.11982492178634757)	(20, 0.12093100424357481)	(22, 0.12191509231213729)	(24, 0.12283005022712305)	(26, 0.12360064811552218)	(28, 0.12435498008543266)	(30, 0.1251662427700534)	(32, 0.12598360517410734)	(34, 0.12699412536021384)	(36, 0.12788468439746667)	(38, 0.1288728389456513)	(40, 0.12975933150328195)	(42, 0.13067632265807883)	(44, 0.13148758534269953)	(46, 0.13227648238939838)	(48, 0.13317314114608442)	(50, 0.13395593847335002)	(52, 0.13463910704987275)	(54, 0.13530194322828465)	(56, 0.13616200366837128)	(58, 0.13688583704111557)	(60, 0.13762390309253741)	(62, 0.13863035679902175)	(64, 0.1530602597382529)	(66, 0.16859827837452235)	(68, 0.16947867121271978)	(70, 0.17016997274848683)	(72, 0.17105036558668424)	(74, 0.171837229393572)	(76, 0.17255496304688306)	(78, 0.17324219810302793)	(80, 0.1740168624710492)	(82, 0.1749602857433901)	(84, 0.17562922164123523)	(86, 0.1763571214936017)	(88, 0.17725378025028776)	(90, 0.17814840576716273)	(92, 0.17894950225272804)	(94, 0.17973229957999365)	(96, 0.18042360111576067)	(98, 0.18117183336623793)	(100, 0.18182247010578334)	(102, 0.18240194345194102)	(104, 0.18316847486071797)	(106, 0.18398583726477194)	(108, 0.18486216362334723)	(110, 0.1857039249051341)	(112, 0.18666158085615256)	(114, 0.1874484446630403)	(116, 0.1885199620434792)	(118, 0.18940645460110989)	(120, 0.1903539443530729)	(122, 0.19147425948897773)	(124, 0.19261084054337113)	(126, 0.19384705034850747)	(128, 0.19528861737456282)	(130, 0.1968562452689051)	(132, 0.1985255351538014)	(134, 0.20016025996190928)	(136, 0.20194544451603708)	(138, 0.20376112766733107)
