Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Nac_Sal_1_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 18.0)	(16.0, 122.0)	(17.0, 361.0)	(18.0, 973.0)	(19.0, 2186.0)	(20.0, 3900.0)	(21.0, 6566.0)	(22.0, 11119.0)	(23.0, 18519.0)	(24.0, 28652.0)	(25.0, 79707.0)	(26.0, 90390.0)	(27.0, 80822.0)	(28.0, 101699.0)	(29.0, 132099.0)	(30.0, 171320.0)	(31.0, 220636.0)	(32.0, 283622.0)	(33.0, 362802.0)	(34.0, 465323.0)	(35.0, 612482.0)	(36.0, 835785.0)	(37.0, 1217022.0)	(38.0, 1982966.0)	(39.0, 4144348.0)	(40.0, 12221773.0)			
Nac_Sal_1_2	(11.0, 24.0)	(12.0, 820.0)	(13.0, 7637.0)	(14.0, 29268.0)	(15.0, 55026.0)	(16.0, 72582.0)	(17.0, 82498.0)	(18.0, 89492.0)	(19.0, 97669.0)	(20.0, 110595.0)	(21.0, 127421.0)	(22.0, 148440.0)	(23.0, 173583.0)	(24.0, 205411.0)	(25.0, 254313.0)	(26.0, 292310.0)	(27.0, 301120.0)	(28.0, 346348.0)	(29.0, 401858.0)	(30.0, 468963.0)	(31.0, 552059.0)	(32.0, 656890.0)	(33.0, 791099.0)	(34.0, 968128.0)	(35.0, 1212517.0)	(36.0, 1569701.0)	(37.0, 2130231.0)	(38.0, 3049153.0)	(39.0, 4531959.0)	(40.0, 4348100.0)	
Nac_Sal_2_1	(14.0, 13.0)	(15.0, 134.0)	(16.0, 486.0)	(17.0, 1332.0)	(18.0, 2739.0)	(19.0, 4990.0)	(20.0, 8973.0)	(21.0, 17477.0)	(22.0, 33802.0)	(23.0, 66572.0)	(24.0, 157354.0)	(25.0, 1194439.0)	(26.0, 907091.0)	(27.0, 189574.0)	(28.0, 149735.0)	(29.0, 172004.0)	(30.0, 211430.0)	(31.0, 266134.0)	(32.0, 335478.0)	(33.0, 434101.0)	(34.0, 571496.0)	(35.0, 782129.0)	(36.0, 1082547.0)	(37.0, 1575030.0)	(38.0, 2409891.0)	(39.0, 4491551.0)	(40.0, 11811161.0)				
Nac_Sal_2_2	(11.0, 21.0)	(12.0, 717.0)	(13.0, 7591.0)	(14.0, 29606.0)	(15.0, 55643.0)	(16.0, 75028.0)	(17.0, 91271.0)	(18.0, 110098.0)	(19.0, 137416.0)	(20.0, 175818.0)	(21.0, 227174.0)	(22.0, 290211.0)	(23.0, 382110.0)	(24.0, 561847.0)	(25.0, 1138893.0)	(26.0, 1125450.0)	(27.0, 436809.0)	(28.0, 475235.0)	(29.0, 549650.0)	(30.0, 645517.0)	(31.0, 760105.0)	(32.0, 906293.0)	(33.0, 1093066.0)	(34.0, 1341412.0)	(35.0, 1671862.0)	(36.0, 2100600.0)	(37.0, 2643393.0)	(38.0, 3263146.0)	(39.0, 3783956.0)	(40.0, 2797725.0)	
Nac_Sal_3_1	(12.0, 1.0)	(13.0, 2.0)	(14.0, 4.0)	(15.0, 62.0)	(16.0, 263.0)	(17.0, 607.0)	(18.0, 1346.0)	(19.0, 2609.0)	(20.0, 4907.0)	(21.0, 9494.0)	(22.0, 17756.0)	(23.0, 33964.0)	(24.0, 76585.0)	(25.0, 506557.0)	(26.0, 398344.0)	(27.0, 121373.0)	(28.0, 125362.0)	(29.0, 158708.0)	(30.0, 204363.0)	(31.0, 262685.0)	(32.0, 337865.0)	(33.0, 438363.0)	(34.0, 575045.0)	(35.0, 771624.0)	(36.0, 1055466.0)	(37.0, 1509867.0)	(38.0, 2342971.0)	(39.0, 4550206.0)	(40.0, 11084896.0)		
Nac_Sal_3_2	(11.0, 43.0)	(12.0, 969.0)	(13.0, 9145.0)	(14.0, 38174.0)	(15.0, 80267.0)	(16.0, 119525.0)	(17.0, 148047.0)	(18.0, 170824.0)	(19.0, 194633.0)	(20.0, 223617.0)	(21.0, 260222.0)	(22.0, 303697.0)	(23.0, 357161.0)	(24.0, 444523.0)	(25.0, 698396.0)	(26.0, 803605.0)	(27.0, 500785.0)	(28.0, 544861.0)	(29.0, 614115.0)	(30.0, 695027.0)	(31.0, 793341.0)	(32.0, 914132.0)	(33.0, 1061516.0)	(34.0, 1255756.0)	(35.0, 1508961.0)	(36.0, 1840448.0)	(37.0, 2275014.0)	(38.0, 2809549.0)	(39.0, 3364550.0)	(40.0, 2560392.0)	
Nac_Sal_4_1	(14.0, 3.0)	(15.0, 48.0)	(16.0, 176.0)	(17.0, 497.0)	(18.0, 1081.0)	(19.0, 2207.0)	(20.0, 4010.0)	(21.0, 6761.0)	(22.0, 11352.0)	(23.0, 18282.0)	(24.0, 27854.0)	(25.0, 56932.0)	(26.0, 76043.0)	(27.0, 82672.0)	(28.0, 108427.0)	(29.0, 142286.0)	(30.0, 186112.0)	(31.0, 241792.0)	(32.0, 311802.0)	(33.0, 402875.0)	(34.0, 524059.0)	(35.0, 699580.0)	(36.0, 967132.0)	(37.0, 1416566.0)	(38.0, 2286859.0)	(39.0, 4647834.0)	(40.0, 12652951.0)				
Nac_Sal_4_2	(11.0, 11.0)	(12.0, 414.0)	(13.0, 4291.0)	(14.0, 17929.0)	(15.0, 42445.0)	(16.0, 72653.0)	(17.0, 104378.0)	(18.0, 136120.0)	(19.0, 169074.0)	(20.0, 204458.0)	(21.0, 242506.0)	(22.0, 283589.0)	(23.0, 328088.0)	(24.0, 378744.0)	(25.0, 436492.0)	(26.0, 492690.0)	(27.0, 539933.0)	(28.0, 608965.0)	(29.0, 690089.0)	(30.0, 782273.0)	(31.0, 894859.0)	(32.0, 1027846.0)	(33.0, 1190528.0)	(34.0, 1394894.0)	(35.0, 1652831.0)	(36.0, 1991779.0)	(37.0, 2429492.0)	(38.0, 2947395.0)	(39.0, 3426391.0)	(40.0, 2385036.0)	
Nac_Sal_5_1	(13.0, 1.0)	(14.0, 13.0)	(15.0, 82.0)	(16.0, 339.0)	(17.0, 901.0)	(18.0, 1983.0)	(19.0, 3770.0)	(20.0, 6687.0)	(21.0, 11611.0)	(22.0, 20115.0)	(23.0, 31409.0)	(24.0, 50688.0)	(25.0, 151804.0)	(26.0, 142005.0)	(27.0, 116741.0)	(28.0, 143913.0)	(29.0, 183505.0)	(30.0, 234529.0)	(31.0, 303083.0)	(32.0, 391966.0)	(33.0, 508367.0)	(34.0, 675445.0)	(35.0, 930192.0)	(36.0, 1272337.0)	(37.0, 1796421.0)	(38.0, 2650584.0)	(39.0, 4852115.0)	(40.0, 12516666.0)			
Nac_Sal_5_2	(11.0, 13.0)	(12.0, 350.0)	(13.0, 2988.0)	(14.0, 14759.0)	(15.0, 36621.0)	(16.0, 60057.0)	(17.0, 77051.0)	(18.0, 90575.0)	(19.0, 106118.0)	(20.0, 128393.0)	(21.0, 156548.0)	(22.0, 189539.0)	(23.0, 229678.0)	(24.0, 282341.0)	(25.0, 362621.0)	(26.0, 401435.0)	(27.0, 412730.0)	(28.0, 480482.0)	(29.0, 564887.0)	(30.0, 667545.0)	(31.0, 797561.0)	(32.0, 959589.0)	(33.0, 1174880.0)	(34.0, 1463651.0)	(35.0, 1855172.0)	(36.0, 2371258.0)	(37.0, 3030047.0)	(38.0, 3779338.0)	(39.0, 4390979.0)	(40.0, 2910066.0)	
Nac_Sal_6_1	(14.0, 6.0)	(15.0, 56.0)	(16.0, 253.0)	(17.0, 751.0)	(18.0, 1518.0)	(19.0, 2760.0)	(20.0, 5034.0)	(21.0, 8658.0)	(22.0, 15197.0)	(23.0, 25725.0)	(24.0, 45327.0)	(25.0, 203475.0)	(26.0, 207640.0)	(27.0, 107107.0)	(28.0, 124813.0)	(29.0, 158819.0)	(30.0, 205588.0)	(31.0, 265030.0)	(32.0, 340526.0)	(33.0, 436751.0)	(34.0, 567098.0)	(35.0, 753056.0)	(36.0, 1035541.0)	(37.0, 1513022.0)	(38.0, 2444151.0)	(39.0, 4981013.0)	(40.0, 13781424.0)				
Nac_Sal_6_2	(11.0, 17.0)	(12.0, 437.0)	(13.0, 3811.0)	(14.0, 16299.0)	(15.0, 36218.0)	(16.0, 55302.0)	(17.0, 74405.0)	(18.0, 94641.0)	(19.0, 118666.0)	(20.0, 146402.0)	(21.0, 179227.0)	(22.0, 216616.0)	(23.0, 261099.0)	(24.0, 316962.0)	(25.0, 424194.0)	(26.0, 537965.0)	(27.0, 450220.0)	(28.0, 502086.0)	(29.0, 579746.0)	(30.0, 672501.0)	(31.0, 785609.0)	(32.0, 925808.0)	(33.0, 1100072.0)	(34.0, 1329624.0)	(35.0, 1626161.0)	(36.0, 2037490.0)	(37.0, 2618924.0)	(38.0, 3442535.0)	(39.0, 4514997.0)	(40.0, 4162305.0)	
Nac_Sal_7_1	(14.0, 2.0)	(15.0, 25.0)	(16.0, 107.0)	(17.0, 392.0)	(18.0, 781.0)	(19.0, 1688.0)	(20.0, 3473.0)	(21.0, 7002.0)	(22.0, 13074.0)	(23.0, 22849.0)	(24.0, 37689.0)	(25.0, 77607.0)	(26.0, 100373.0)	(27.0, 107103.0)	(28.0, 140409.0)	(29.0, 179404.0)	(30.0, 230018.0)	(31.0, 290509.0)	(32.0, 366624.0)	(33.0, 470337.0)	(34.0, 612372.0)	(35.0, 824370.0)	(36.0, 1136059.0)	(37.0, 1642416.0)	(38.0, 2532714.0)	(39.0, 4922628.0)	(40.0, 12641643.0)				
Nac_Sal_7_2	(11.0, 41.0)	(12.0, 345.0)	(13.0, 2756.0)	(14.0, 12136.0)	(15.0, 30247.0)	(16.0, 53925.0)	(17.0, 78632.0)	(18.0, 102182.0)	(19.0, 127665.0)	(20.0, 157917.0)	(21.0, 188631.0)	(22.0, 221876.0)	(23.0, 259500.0)	(24.0, 302615.0)	(25.0, 357417.0)	(26.0, 423373.0)	(27.0, 457041.0)	(28.0, 520211.0)	(29.0, 595679.0)	(30.0, 687799.0)	(31.0, 797831.0)	(32.0, 931232.0)	(33.0, 1101709.0)	(34.0, 1324256.0)	(35.0, 1615737.0)	(36.0, 2022700.0)	(37.0, 2587108.0)	(38.0, 3366369.0)	(39.0, 4342662.0)	(40.0, 3692076.0)	
Nac_Sal_8_1	(14.0, 7.0)	(15.0, 124.0)	(16.0, 412.0)	(17.0, 1142.0)	(18.0, 2370.0)	(19.0, 3940.0)	(20.0, 6686.0)	(21.0, 11049.0)	(22.0, 19832.0)	(23.0, 34425.0)	(24.0, 65712.0)	(25.0, 477073.0)	(26.0, 815161.0)	(27.0, 195430.0)	(28.0, 144253.0)	(29.0, 165688.0)	(30.0, 204442.0)	(31.0, 258283.0)	(32.0, 327480.0)	(33.0, 420452.0)	(34.0, 547511.0)	(35.0, 737380.0)	(36.0, 1014979.0)	(37.0, 1470653.0)	(38.0, 2302079.0)	(39.0, 4548315.0)	(40.0, 12418942.0)				
Nac_Sal_8_2	(11.0, 9.0)	(12.0, 534.0)	(13.0, 6339.0)	(14.0, 25995.0)	(15.0, 55806.0)	(16.0, 87188.0)	(17.0, 118732.0)	(18.0, 150010.0)	(19.0, 183665.0)	(20.0, 220693.0)	(21.0, 262086.0)	(22.0, 309549.0)	(23.0, 367890.0)	(24.0, 450177.0)	(25.0, 666946.0)	(26.0, 1381475.0)	(27.0, 669078.0)	(28.0, 618047.0)	(29.0, 695351.0)	(30.0, 785154.0)	(31.0, 894236.0)	(32.0, 1027885.0)	(33.0, 1190949.0)	(34.0, 1400092.0)	(35.0, 1663275.0)	(36.0, 2000255.0)	(37.0, 2418731.0)	(38.0, 2879209.0)	(39.0, 3262455.0)	(40.0, 2402009.0)	
Nac_oxy_1_1	(13.0, 1.0)	(14.0, 17.0)	(15.0, 152.0)	(16.0, 566.0)	(17.0, 1440.0)	(18.0, 3008.0)	(19.0, 5951.0)	(20.0, 10797.0)	(21.0, 19625.0)	(22.0, 32304.0)	(23.0, 51007.0)	(24.0, 88249.0)	(25.0, 378486.0)	(26.0, 309822.0)	(27.0, 151560.0)	(28.0, 171690.0)	(29.0, 215939.0)	(30.0, 276014.0)	(31.0, 356738.0)	(32.0, 450653.0)	(33.0, 573692.0)	(34.0, 749512.0)	(35.0, 1046008.0)	(36.0, 1421991.0)	(37.0, 1984333.0)	(38.0, 2789103.0)	(39.0, 4595320.0)	(40.0, 10514458.0)			
Nac_oxy_1_2	(10.0, 1.0)	(11.0, 31.0)	(12.0, 635.0)	(13.0, 6143.0)	(14.0, 20976.0)	(15.0, 39930.0)	(16.0, 56440.0)	(17.0, 72007.0)	(18.0, 90257.0)	(19.0, 114106.0)	(20.0, 146164.0)	(21.0, 184678.0)	(22.0, 228077.0)	(23.0, 281361.0)	(24.0, 363582.0)	(25.0, 563732.0)	(26.0, 565365.0)	(27.0, 459123.0)	(28.0, 533538.0)	(29.0, 633477.0)	(30.0, 757894.0)	(31.0, 917869.0)	(32.0, 1104166.0)	(33.0, 1349568.0)	(34.0, 1675054.0)	(35.0, 2097026.0)	(36.0, 2585254.0)	(37.0, 3077527.0)	(38.0, 3419825.0)	(39.0, 3287908.0)	(40.0, 1566722.0)
Nac_oxy_2_1	(14.0, 5.0)	(15.0, 116.0)	(16.0, 390.0)	(17.0, 1063.0)	(18.0, 2079.0)	(19.0, 3716.0)	(20.0, 6640.0)	(21.0, 11495.0)	(22.0, 21206.0)	(23.0, 37450.0)	(24.0, 77178.0)	(25.0, 487433.0)	(26.0, 402599.0)	(27.0, 126604.0)	(28.0, 119906.0)	(29.0, 139527.0)	(30.0, 176089.0)	(31.0, 223129.0)	(32.0, 285189.0)	(33.0, 369835.0)	(34.0, 485839.0)	(35.0, 655268.0)	(36.0, 901798.0)	(37.0, 1307142.0)	(38.0, 2040506.0)	(39.0, 4025297.0)	(40.0, 11185124.0)				
Nac_oxy_2_2	(10.0, 1.0)	(11.0, 12.0)	(12.0, 290.0)	(13.0, 3233.0)	(14.0, 15105.0)	(15.0, 34849.0)	(16.0, 56678.0)	(17.0, 76245.0)	(18.0, 95396.0)	(19.0, 118638.0)	(20.0, 146382.0)	(21.0, 180189.0)	(22.0, 220679.0)	(23.0, 271456.0)	(24.0, 355746.0)	(25.0, 599534.0)	(26.0, 694170.0)	(27.0, 403927.0)	(28.0, 440984.0)	(29.0, 503491.0)	(30.0, 581580.0)	(31.0, 679162.0)	(32.0, 794733.0)	(33.0, 944958.0)	(34.0, 1137769.0)	(35.0, 1390619.0)	(36.0, 1736272.0)	(37.0, 2205031.0)	(38.0, 2824058.0)	(39.0, 3531204.0)	(40.0, 3050232.0)
Nac_oxy_3_1	(14.0, 5.0)	(15.0, 33.0)	(16.0, 142.0)	(17.0, 368.0)	(18.0, 887.0)	(19.0, 1683.0)	(20.0, 3219.0)	(21.0, 5655.0)	(22.0, 9842.0)	(23.0, 16093.0)	(24.0, 24984.0)	(25.0, 48845.0)	(26.0, 67092.0)	(27.0, 78824.0)	(28.0, 103549.0)	(29.0, 135697.0)	(30.0, 177643.0)	(31.0, 230590.0)	(32.0, 296858.0)	(33.0, 382771.0)	(34.0, 495879.0)	(35.0, 655520.0)	(36.0, 898844.0)	(37.0, 1313203.0)	(38.0, 2124367.0)	(39.0, 4335541.0)	(40.0, 11937033.0)				
