Sample	Unique Reads	Duplicate Reads
Nac_Sal_1_1	8826877.0	14248338.0
Nac_Sal_1_2	9834314.0	13240901.0
Nac_Sal_2_1	8463422.0	18414241.0
Nac_Sal_2_2	10337964.0	16539699.0
Nac_Sal_3_1	3323688.0	21267607.0
Nac_Sal_3_2	5950916.0	18640379.0
Nac_Sal_4_1	14255619.0	10620574.0
Nac_Sal_4_2	16208213.0	8667980.0
Nac_Sal_5_1	15572815.0	11424457.0
Nac_Sal_5_2	16572209.0	10425063.0
Nac_Sal_6_1	11459785.0	15770554.0
Nac_Sal_6_2	12791697.0	14438642.0
Nac_Sal_7_1	4789533.0	21572135.0
Nac_Sal_7_2	6555960.0	19805708.0
Nac_Sal_8_1	9201488.0	16992332.0
Nac_Sal_8_2	11840464.0	14353356.0
Nac_oxy_1_1	6168541.0	20029895.0
Nac_oxy_1_2	7409431.0	18789005.0
Nac_oxy_2_1	13540995.0	9551628.0
Nac_oxy_2_2	14844264.0	8248359.0
Nac_oxy_3_1	15337185.0	8007982.0
Nac_oxy_3_2	17140292.0	6204875.0
Nac_oxy_4_1	14767630.0	6753673.0
Nac_oxy_4_2	16175498.0	5345805.0
Nac_oxy_5_1	9985312.0	14104050.0
Nac_oxy_5_2	11603637.0	12485725.0
Nac_oxy_6_1	7682269.0	12994790.0
Nac_oxy_6_2	9205079.0	11471980.0
Nac_oxy_7_1	12772571.0	10106897.0
Nac_oxy_7_2	14385556.0	8493912.0
Nac_oxy_8_1	10494199.0	12825968.0
Nac_oxy_8_2	12447770.0	10872397.0
