Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Nac_Sal_1_1	(1.0, 24.81580647366511)	(2.0, 6.98665911136263)	(3.0, 8.7039408388772)	(4.0, 9.044008232506192)	(5.0, 8.06787083330305)	(6.0, 6.538307914927037)	(7.0, 4.971961495746159)	(8.0, 3.3880944766571433)	(9.0, 2.416506679468537)	('>10', 9.481474347773272)	('>50', 1.139330639574812)	('>100', 2.7695022902857716)	('>500', 1.6122676015494304)	('>1k', 4.388824293218304)	('>5k', 1.9278999316418646)	('>10k+', 3.747544839443589)
Nac_Sal_1_2	(1.0, 28.984401412380535)	(2.0, 7.627098404206468)	(3.0, 9.176487216489031)	(4.0, 9.09603146786334)	(5.0, 8.017548013915375)	(6.0, 6.319315076558804)	(7.0, 4.534804004263927)	(8.0, 3.0844504264773818)	(9.0, 2.108352869155503)	('>10', 7.730891377581509)	('>50', 1.0434654077004688)	('>100', 2.8110548956781103)	('>500', 1.6698790491121374)	('>1k', 3.923408406580306)	('>5k', 1.8605980755842362)	('>10k+', 2.0122138964528578)
Nac_Sal_2_1	(1.0, 20.409105862730193)	(2.0, 8.54428405347885)	(3.0, 8.30291724641973)	(4.0, 6.6116793038761905)	(5.0, 4.896486809698556)	(6.0, 3.2519829004787995)	(7.0, 2.095953863379213)	(8.0, 1.3087781939953367)	(9.0, 0.9170753088408803)	('>10', 4.288611340344448)	('>50', 1.0701591401350439)	('>100', 2.7209359793071575)	('>500', 1.877166903211706)	('>1k', 5.882945015296092)	('>5k', 3.3210919226746927)	('>10k+', 24.500826156133186)
Nac_Sal_2_2	(1.0, 28.289424748035724)	(2.0, 8.434665776212084)	(3.0, 7.634548761632143)	(4.0, 5.83123921126729)	(5.0, 4.0853864017994805)	(6.0, 2.600923127139101)	(7.0, 1.6433031370256737)	(8.0, 1.047159170384163)	(9.0, 0.6974515557936308)	('>10', 3.809866841537109)	('>50', 1.10793219612529)	('>100', 2.7043989286806656)	('>500', 1.682489363921501)	('>1k', 5.123720560817175)	('>5k', 3.304684247161698)	('>10k+', 22.002805972467193)
Nac_Sal_3_1	(1.0, 9.58703290607494)	(2.0, 3.41141752724405)	(3.0, 2.6188930577795193)	(4.0, 1.8278444637655353)	(5.0, 1.2504234832911834)	(6.0, 0.8781510209628921)	(7.0, 0.6214033738215828)	(8.0, 0.4727234800320732)	(9.0, 0.3756126708910684)	('>10', 4.503194971390097)	('>50', 1.5404770077447165)	('>100', 5.280744318869495)	('>500', 4.028570585652082)	('>1k', 18.63992659779431)	('>5k', 13.048906498558221)	('>10k+', 31.914678036128237)
Nac_Sal_3_2	(1.0, 20.230684030255762)	(2.0, 3.512275895471976)	(3.0, 2.484099819255215)	(4.0, 1.794020985972649)	(5.0, 1.2571449487203425)	(6.0, 0.8923768604952732)	(7.0, 0.7111723057023436)	(8.0, 0.5434661101079369)	(9.0, 0.4733020492590255)	('>10', 4.683266399791024)	('>50', 0.9574996711583758)	('>100', 3.0871195561613787)	('>500', 3.6272167189386098)	('>1k', 23.262798286633988)	('>5k', 13.195459003472132)	('>10k+', 19.28809735860395)
Nac_Sal_4_1	(1.0, 45.67896175253242)	(2.0, 13.836469310703997)	(3.0, 6.556807459554212)	(4.0, 3.625389390577523)	(5.0, 2.4089353612592186)	(6.0, 1.6819815687040967)	(7.0, 1.3120999075615951)	(8.0, 0.9930065181750116)	(9.0, 0.8534822764909346)	('>10', 6.910157475754147)	('>50', 1.470618473740298)	('>100', 3.075301998630662)	('>500', 1.7503036171874264)	('>1k', 4.114176884216265)	('>5k', 1.6180133878643725)	('>10k+', 4.11429461704775)
Nac_Sal_4_2	(1.0, 55.0556268682991)	(2.0, 12.366513675004054)	(3.0, 5.712941957973352)	(4.0, 3.0682856034286696)	(5.0, 1.956163215984702)	(6.0, 1.364718080897386)	(7.0, 0.9504941474135183)	(8.0, 0.7439711987331488)	(9.0, 0.6484121224979796)	('>10', 4.965364120503696)	('>50', 1.0414298981010481)	('>100', 2.8451935985348586)	('>500', 1.5688075090799465)	('>1k', 3.8949077041600257)	('>5k', 1.5558783821933395)	('>10k+', 2.2612919171950847)
Nac_Sal_5_1	(1.0, 48.027103860542105)	(2.0, 13.119138132737646)	(3.0, 5.101759320299641)	(4.0, 2.349975346879505)	(5.0, 1.244534842461969)	(6.0, 0.8511280317988512)	(7.0, 0.5957990188298428)	(8.0, 0.4585589022611813)	(9.0, 0.3885334796481328)	('>10', 3.4526493010189228)	('>50', 1.0639097568220324)	('>100', 3.025164712164618)	('>500', 1.7375124057955111)	('>1k', 5.361160463908598)	('>5k', 2.9460058477021978)	('>10k+', 10.277066577129073)
Nac_Sal_5_2	(1.0, 52.44571316914246)	(2.0, 12.58121701961303)	(3.0, 4.5222650755997345)	(4.0, 1.8760255656334064)	(5.0, 1.0055925264486139)	(6.0, 0.6560558657821652)	(7.0, 0.4931533909571984)	(8.0, 0.40859367828757887)	(9.0, 0.2848442850816799)	('>10', 3.1890548236015346)	('>50', 1.052990634776071)	('>100', 2.880471435286062)	('>500', 1.6844011091926476)	('>1k', 5.344966125780322)	('>5k', 2.7688405773214195)	('>10k+', 8.805814717496125)
