Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Nac_Sal_1_1	(20, 429.0)	(25, 1059.0)	(30, 1199.0)	(35, 1505.0)	(40, 2698.0)	(45, 4733.0)	(50, 6397.0)	(55, 10117.0)	(60, 18179.0)	(65, 77477.0)	(70, 82524.0)	(75, 95919.0)	(80, 157452.0)	(85, 241044.0)	(90, 373993.0)	(95, 518455.0)	(100, 660256.0)	(105, 793598.0)	(110, 895645.0)	(115, 1047927.0)	(120, 1022856.0)	(125, 1048162.0)	(130, 1009580.0)	(135, 997681.0)	(140, 932060.0)	(145, 5268296.0)	(150, 7649209.0)
Nac_Sal_1_2	(20, 16951.0)	(25, 15456.0)	(30, 15343.0)	(35, 16561.0)	(40, 17538.0)	(45, 19137.0)	(50, 20974.0)	(55, 25239.0)	(60, 33874.0)	(65, 47767.0)	(70, 137459.0)	(75, 115691.0)	(80, 178069.0)	(85, 266308.0)	(90, 405180.0)	(95, 554508.0)	(100, 700714.0)	(105, 836378.0)	(110, 937421.0)	(115, 1088147.0)	(120, 1062937.0)	(125, 1086907.0)	(130, 1053477.0)	(135, 1071144.0)	(140, 1070262.0)	(145, 5683059.0)	(150, 6441949.0)
Nac_Sal_2_1	(20, 2922.0)	(25, 8080.0)	(30, 12459.0)	(35, 19372.0)	(40, 40586.0)	(45, 72446.0)	(50, 142563.0)	(55, 231630.0)	(60, 415870.0)	(65, 1807500.0)	(70, 1386404.0)	(75, 992255.0)	(80, 1100849.0)	(85, 1110878.0)	(90, 1336236.0)	(95, 1294178.0)	(100, 1261247.0)	(105, 1159174.0)	(110, 1045622.0)	(115, 920045.0)	(120, 861597.0)	(125, 823498.0)	(130, 733300.0)	(135, 644001.0)	(140, 569409.0)	(145, 3493196.0)	(150, 5142866.0)
Nac_Sal_2_2	(20, 20301.0)	(25, 24504.0)	(30, 29617.0)	(35, 36272.0)	(40, 58472.0)	(45, 89220.0)	(50, 159436.0)	(55, 252280.0)	(60, 432777.0)	(65, 643072.0)	(70, 2461869.0)	(75, 1200021.0)	(80, 1117267.0)	(85, 1129342.0)	(90, 1352153.0)	(95, 1316076.0)	(100, 1286728.0)	(105, 1183434.0)	(110, 1068504.0)	(115, 945631.0)	(120, 883946.0)	(125, 838485.0)	(130, 752775.0)	(135, 699066.0)	(140, 691789.0)	(145, 3711860.0)	(150, 4243286.0)
Nac_Sal_3_1	(20, 2320.0)	(25, 4284.0)	(30, 6815.0)	(35, 12640.0)	(40, 23510.0)	(45, 44861.0)	(50, 85195.0)	(55, 134835.0)	(60, 216347.0)	(65, 755410.0)	(70, 610374.0)	(75, 427538.0)	(80, 474435.0)	(85, 522231.0)	(90, 589832.0)	(95, 599606.0)	(100, 629518.0)	(105, 656824.0)	(110, 675216.0)	(115, 674467.0)	(120, 681163.0)	(125, 700224.0)	(130, 682030.0)	(135, 712717.0)	(140, 655955.0)	(145, 4951655.0)	(150, 8792502.0)
Nac_Sal_3_2	(20, 29888.0)	(25, 31186.0)	(30, 33976.0)	(35, 42378.0)	(40, 53843.0)	(45, 74959.0)	(50, 114580.0)	(55, 165536.0)	(60, 246035.0)	(65, 318323.0)	(70, 1067876.0)	(75, 535014.0)	(80, 515884.0)	(85, 573169.0)	(90, 652850.0)	(95, 677138.0)	(100, 717192.0)	(105, 752245.0)	(110, 774450.0)	(115, 770104.0)	(120, 773953.0)	(125, 796667.0)	(130, 789463.0)	(135, 857345.0)	(140, 914535.0)	(145, 5193721.0)	(150, 6850194.0)
Nac_Sal_4_1	(20, 623.0)	(25, 1194.0)	(30, 1638.0)	(35, 2447.0)	(40, 5179.0)	(45, 11408.0)	(50, 22735.0)	(55, 41052.0)	(60, 82273.0)	(65, 147637.0)	(70, 196696.0)	(75, 242405.0)	(80, 294068.0)	(85, 342254.0)	(90, 394232.0)	(95, 445401.0)	(100, 462160.0)	(105, 499622.0)	(110, 519562.0)	(115, 568828.0)	(120, 570125.0)	(125, 600144.0)	(130, 608939.0)	(135, 637337.0)	(140, 674758.0)	(145, 6653852.0)	(150, 10715366.0)
Nac_Sal_4_2	(20, 21219.0)	(25, 22517.0)	(30, 25046.0)	(35, 28063.0)	(40, 32435.0)	(45, 38802.0)	(50, 50969.0)	(55, 69873.0)	(60, 112172.0)	(65, 160993.0)	(70, 240673.0)	(75, 272242.0)	(80, 332839.0)	(85, 392196.0)	(90, 458313.0)	(95, 523339.0)	(100, 551127.0)	(105, 594949.0)	(110, 617982.0)	(115, 672543.0)	(120, 676389.0)	(125, 713888.0)	(130, 740026.0)	(135, 824510.0)	(140, 1002081.0)	(145, 7247030.0)	(150, 8319719.0)
Nac_Sal_5_1	(20, 4327.0)	(25, 9876.0)	(30, 18569.0)	(35, 29960.0)	(40, 61300.0)	(45, 110917.0)	(50, 223628.0)	(55, 350804.0)	(60, 564685.0)	(65, 854087.0)	(70, 968509.0)	(75, 1054686.0)	(80, 1143850.0)	(85, 1137820.0)	(90, 1257979.0)	(95, 1231083.0)	(100, 1215713.0)	(105, 1123823.0)	(110, 1059689.0)	(115, 999041.0)	(120, 941136.0)	(125, 921185.0)	(130, 862536.0)	(135, 816977.0)	(140, 731957.0)	(145, 3877534.0)	(150, 5309045.0)
Nac_Sal_5_2	(20, 17913.0)	(25, 22313.0)	(30, 32018.0)	(35, 44448.0)	(40, 76094.0)	(45, 125570.0)	(50, 238232.0)	(55, 364843.0)	(60, 576538.0)	(65, 773460.0)	(70, 1052552.0)	(75, 1066353.0)	(80, 1149644.0)	(85, 1148742.0)	(90, 1270706.0)	(95, 1249377.0)	(100, 1238795.0)	(105, 1146133.0)	(110, 1080788.0)	(115, 1019668.0)	(120, 962202.0)	(125, 939625.0)	(130, 881690.0)	(135, 864211.0)	(140, 844407.0)	(145, 4150301.0)	(150, 4544093.0)
