.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Nac_Sal_1_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
Nac_Sal_1_2	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
Nac_Sal_2_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_Sal_2_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_Sal_3_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_Sal_3_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_Sal_4_1	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
Nac_Sal_4_2	1	1	0.5	1	0.25	1	1	0.5	0.5	0.5	1
Nac_Sal_5_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
Nac_Sal_5_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
Nac_Sal_6_1	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
Nac_Sal_6_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_Sal_7_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_Sal_7_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
Nac_Sal_8_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_Sal_8_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_oxy_1_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_oxy_1_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Nac_oxy_2_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
Nac_oxy_2_2	1	1	0.5	1	0.25	0.5	1	0.5	0.5	0.25	1
Nac_oxy_3_1	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
Nac_oxy_3_2	1	1	0.5	1	0.25	1	1	0.5	1	0.5	1
Nac_oxy_4_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
Nac_oxy_4_2	1	1	0.5	1	0.25	0.5	1	0.5	1	0.5	1
Nac_oxy_5_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Nac_oxy_5_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
Nac_oxy_6_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_oxy_6_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
Nac_oxy_7_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
Nac_oxy_7_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
Nac_oxy_8_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Nac_oxy_8_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	1
