Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Nac_Sal_1_1 - polya	(1, 0.011772174819850382)	(2, 0.01548534041350964)	(3, 0.018670547091971752)	(4, 0.022645510494819675)	(5, 0.025363844413562)	(6, 0.028012365583187343)	(7, 0.03205277843833244)	(8, 0.037218921872988794)	(9, 0.04582770649847612)	(10, 0.05564730599146103)	(12, 0.06309981695969841)	(14, 0.07073994969118766)	(16, 0.07819682395624486)	(18, 0.08541153524780254)	(20, 0.09332873732734981)	(22, 0.10003076124257967)	(24, 0.10618737305533316)	(26, 0.11271922839459039)	(28, 0.11907655186105517)	(30, 0.1250564501526063)	(32, 0.1318042886844442)	(34, 0.13826414962617456)	(36, 0.14435094868981105)	(38, 0.15228560395663754)	(40, 0.15941086766338908)	(42, 0.16610198333656945)	(44, 0.1722891382270616)	(46, 0.17841084366525659)	(48, 0.18470053603101433)	(50, 0.19132183895507768)	(52, 0.19772715868656038)	(54, 0.20359797455761625)	(56, 0.2090346423951009)	(58, 0.215361422783827)	(60, 0.22139149898880595)	(62, 0.2275655639888387)	(64, 0.23431340252067656)	(66, 0.24113541709845127)	(68, 0.24766290914088868)	(70, 0.25368207710381807)	(72, 0.2593281831886537)	(74, 0.26508337169398455)	(76, 0.2702407885350013)	(78, 0.2760592448442194)	(80, 0.28209804764283797)	(82, 0.287270736022724)	(84, 0.292515418800137)	(86, 0.29749612211995136)	(88, 0.3027844378655625)	(90, 0.3079789427295476)	(92, 0.3132519869362893)	(94, 0.318686473125364)	(96, 0.32363227007061995)	(98, 0.32834681228442586)	(100, 0.3330591728498219)	(102, 0.33744210450532214)	(104, 0.34241408123149686)	(106, 0.34728133883399614)	(108, 0.3520547855548696)	(110, 0.35599702423156887)	(112, 0.360406135667988)	(114, 0.36398403906023313)	(116, 0.3678630099330452)	(118, 0.37175943399313655)	(120, 0.3757998468482816)	(122, 0.3798358964066069)	(124, 0.3831978166062714)	(126, 0.38678226494374623)	(128, 0.390275084048005)	(130, 0.3935017420462553)	(132, 0.3964098793766594)	(134, 0.3995427264932838)	(136, 0.4023745061293412)	(138, 0.4041721844191034)
Nac_Sal_1_2 - polya	(1, 0.013360414862261628)	(2, 0.01861382423331421)	(3, 0.021943019706830085)	(4, 0.0252067657280488)	(5, 0.02833961284467318)	(6, 0.030285643226308934)	(7, 0.03273781603904278)	(8, 0.037376000558501994)	(9, 0.042825758286446074)	(10, 0.04921798812746935)	(12, 0.056402156341288354)	(14, 0.06336379641729697)	(16, 0.06991964988906318)	(18, 0.07596936092973129)	(20, 0.08346114156934697)	(22, 0.08949121777432592)	(24, 0.0960383446524525)	(26, 0.10346031254295121)	(28, 0.11015579151295135)	(30, 0.11600042760308835)	(32, 0.12207631842467531)	(34, 0.12817184408195142)	(36, 0.13430009446537616)	(38, 0.142411463253405)	(40, 0.1487622417746401)	(42, 0.15445198082767378)	(44, 0.159759931408974)	(46, 0.16544967046200768)	(48, 0.17191607634896774)	(50, 0.18024997327480696)	(52, 0.18743414148862597)	(54, 0.19311733559642996)	(56, 0.19868490233850894)	(58, 0.20473243173076713)	(60, 0.21218712434741444)	(62, 0.2204163021495782)	(64, 0.2284033169782424)	(66, 0.2601768444201069)	(68, 0.3175214728744745)	(70, 0.34558837966790945)	(72, 0.35169481356723514)	(74, 0.35758962757079993)	(76, 0.36302629540828457)	(78, 0.368144442577923)	(80, 0.3735003894242412)	(82, 0.3782738361451145)	(84, 0.38290765736775395)	(86, 0.38781854793845133)	(88, 0.39264871751798225)	(90, 0.39804393403567867)	(92, 0.40279992756927274)	(94, 0.4075471945092273)	(96, 0.4118363152831016)	(98, 0.4161188911117462)	(100, 0.4205759988131833)	(102, 0.42451387419306275)	(104, 0.42837975517541543)	(106, 0.43256852012243413)	(108, 0.43634931681680045)	(110, 0.44044208923378325)	(112, 0.4439479982285015)	(114, 0.44721610754654)	(116, 0.4505845726914342)	(118, 0.4540032157497562)	(120, 0.45738040748829)	(122, 0.4603867189971399)	(124, 0.463340670944152)	(126, 0.46646915476395656)	(128, 0.46921366846361773)	(130, 0.4719778169989681)	(132, 0.4745412538806071)	(134, 0.4771657769177235)	(136, 0.47993865204671343)	(138, 0.4816774258294082)
Nac_Sal_2_1 - polya	(1, 0.08658119857445774)	(2, 0.09042299281178892)	(3, 0.09340104054414829)	(4, 0.09628520278683679)	(5, 0.09854596537811085)	(6, 0.1005062944024382)	(7, 0.10323272902247968)	(8, 0.10769041207205163)	(9, 0.1134211823615603)	(10, 0.12031988814257435)	(12, 0.12573144776720213)	(14, 0.13127444707736913)	(16, 0.13663530853757466)	(18, 0.14155115277674035)	(20, 0.1470359430833114)	(22, 0.1519292548049561)	(24, 0.15667610516271424)	(26, 0.16114317676125328)	(28, 0.16552199599950174)	(30, 0.17001911095473543)	(32, 0.17412753998273184)	(34, 0.17830919969267148)	(36, 0.18342408116993938)	(38, 0.18935013327796343)	(40, 0.1945964544407705)	(42, 0.19897151825943213)	(44, 0.203419812760037)	(46, 0.20811033182399263)	(48, 0.21223378253033637)	(50, 0.21631967904081176)	(52, 0.22041684181004764)	(54, 0.22412156323245938)	(56, 0.2281210850924376)	(58, 0.23228208999464967)	(60, 0.2367529170127755)	(62, 0.2412256217406948)	(64, 0.2498705976295867)	(66, 0.2580705562974387)	(68, 0.2621170209022523)	(70, 0.2662329607694224)	(72, 0.26991890509389993)	(74, 0.2732499622674217)	(76, 0.27643268036726354)	(78, 0.2796491972433869)	(80, 0.28297649899732175)	(82, 0.286521615087293)	(84, 0.28955974953304175)	(86, 0.292596006268997)	(88, 0.29585007734098867)	(90, 0.29925060977686685)	(92, 0.3024840260411309)	(94, 0.3055540815533677)	(96, 0.30859033828932303)	(98, 0.311543975794368)	(100, 0.3143511519355263)	(102, 0.3168259734432499)	(104, 0.31952987554577045)	(106, 0.32212111506068586)	(108, 0.32461095824675684)	(110, 0.3268285335127823)	(112, 0.32953806874468305)	(114, 0.3320879986441433)	(116, 0.3344088479488067)	(118, 0.3368254604529344)	(120, 0.3390787122050348)	(122, 0.34135074105506935)	(124, 0.34355705006233433)	(126, 0.3459398637901805)	(128, 0.3480729421155022)	(130, 0.3499825729754073)	(132, 0.35183775025130326)	(134, 0.3536741504292651)	(136, 0.3555856589989636)	(138, 0.35671228487501383)
Nac_Sal_2_2 - polya	(1, 0.0266785007448687)	(2, 0.03035505652037918)	(3, 0.0321576579220595)	(4, 0.03418182907936302)	(5, 0.03602198467691168)	(6, 0.037772010204376316)	(7, 0.03964220915861965)	(8, 0.04287938084247055)	(9, 0.04683759308699358)	(10, 0.05144737062983231)	(12, 0.056644871338010556)	(14, 0.061588881224077505)	(16, 0.06639957371481187)	(18, 0.07083096882727598)	(20, 0.07603973579421472)	(22, 0.08071523317982304)	(24, 0.0861549584513521)	(26, 0.09151769762135104)	(28, 0.0959453373142283)	(30, 0.10030162403495574)	(32, 0.10542964948077757)	(34, 0.11012580167411348)	(36, 0.11460413953141302)	(38, 0.11981290649835177)	(40, 0.12475691638441873)	(42, 0.12881464724799285)	(44, 0.1327615932337554)	(46, 0.13705779324109346)	(48, 0.1421783078477416)	(50, 0.14744903923786312)	(52, 0.1528493326037304)	(54, 0.15692020743585847)	(56, 0.1608878082293486)	(58, 0.16536802379644153)	(60, 0.17037587581548466)	(62, 0.17558652049221685)	(64, 0.18086476272151203)	(66, 0.19599347052707278)	(68, 0.22326720527645466)	(70, 0.23981733939563207)	(72, 0.24358778066081338)	(74, 0.24685687341115237)	(76, 0.25010155593417693)	(78, 0.25356780821282476)	(80, 0.2571655001770117)	(82, 0.2606035868087582)	(84, 0.26386141330033674)	(86, 0.2668094176760014)	(88, 0.2697592997614595)	(90, 0.27285564321080413)	(92, 0.27563277599526786)	(94, 0.27829912390192)	(96, 0.28117765301522823)	(98, 0.28369378413840707)	(100, 0.28630755617084347)	(102, 0.28898517033625615)	(104, 0.2916646622114622)	(106, 0.29426716798513813)	(108, 0.2967645220103827)	(110, 0.29912292551091446)	(112, 0.30124661528726915)	(114, 0.3036331844347021)	(116, 0.30565923330179906)	(118, 0.307797944756501)	(120, 0.31008687299467635)	(122, 0.312278160323594)	(124, 0.31419530202267276)	(126, 0.3161443647882396)	(128, 0.3180446070991776)	(130, 0.31989039582610646)	(132, 0.3217756164586971)	(134, 0.32357634015058406)	(136, 0.3247686858694039)	(138, 0.3259215996825619)
Nac_Sal_3_1 - polya	(1, 0.09618664262528233)	(2, 0.09812312087604139)	(3, 0.0986904966692574)	(4, 0.09917564408664503)	(5, 0.09984580534964657)	(6, 0.10040084688648833)	(7, 0.1010956766622384)	(8, 0.1022222054110876)	(9, 0.10362008780017057)	(10, 0.10516392555634897)	(12, 0.10646313389443784)	(14, 0.10774384084796532)	(16, 0.10891353949412445)	(18, 0.11008940526847072)	(20, 0.11119948834215425)	(22, 0.11217800601451232)	(24, 0.11309485240499909)	(26, 0.11386985484718186)	(28, 0.11462018877661609)	(30, 0.11544041682550449)	(32, 0.11626681200257999)	(34, 0.11728849957224799)	(36, 0.11818890028756907)	(38, 0.11917975221630142)	(40, 0.12006987438464395)	(42, 0.12099083219392215)	(44, 0.1218069488240191)	(46, 0.12260045265076326)	(48, 0.12349879765668864)	(50, 0.12428407864584995)	(52, 0.12497068558401717)	(54, 0.12563467971883158)	(56, 0.12649602195563417)	(58, 0.12721140882534132)	(60, 0.12795146420779702)	(62, 0.1289299818801551)	(64, 0.13176686084623523)	(66, 0.13446189586401136)	(68, 0.1353273495196054)	(70, 0.1359933993638155)	(72, 0.13683212879726528)	(74, 0.13756807276092953)	(76, 0.13824234544272251)	(78, 0.13889194961176693)	(80, 0.1396463949599926)	(82, 0.14053035000014802)	(84, 0.1411717313316096)	(86, 0.14187683965433823)	(88, 0.14272790334416227)	(90, 0.1435769113245906)	(92, 0.1443395795103991)	(94, 0.14506935634587625)	(96, 0.14570868196794212)	(98, 0.14641379029067075)	(100, 0.14702228027180098)	(102, 0.14753620762072853)	(104, 0.14819814604614723)	(106, 0.14887858585612732)	(108, 0.14962891978556156)	(110, 0.15030319246735452)	(112, 0.1510843620377244)	(114, 0.15164968212154473)	(116, 0.15243496311070603)	(118, 0.15295300187842503)	(120, 0.15356765898774238)	(122, 0.15421315173799538)	(124, 0.15480314033456424)	(126, 0.15540751889690305)	(128, 0.15599545178407617)	(130, 0.15666972446586913)	(132, 0.15731727292551786)	(134, 0.15791137294087812)	(136, 0.15844996880255421)	(138, 0.15885288784411342)
Nac_Sal_4_1 - polya	(1, 0.03797196945186381)	(2, 0.04168226939404699)	(3, 0.044297262926282846)	(4, 0.04782568542031979)	(5, 0.05073168286958962)	(6, 0.05294250429483385)	(7, 0.05592125272336218)	(8, 0.06125632453565172)	(9, 0.06978435599317515)	(10, 0.08014126623483571)	(12, 0.08739009297373063)	(14, 0.09468135778385967)	(16, 0.10166949351374499)	(18, 0.10892842455531469)	(20, 0.11636721218449567)	(22, 0.12376962432404741)	(24, 0.13030306643356715)	(26, 0.1368445919852267)	(28, 0.14321434439141484)	(30, 0.1496144097056273)	(32, 0.15633983356596806)	(34, 0.1625014373370555)	(36, 0.1689540450251769)	(38, 0.177015257699125)	(40, 0.18440352381493202)	(42, 0.19123605328362556)	(44, 0.19727438456208052)	(46, 0.20342588403049316)	(48, 0.20981584504203088)	(50, 0.21620580605356857)	(52, 0.22196930029926923)	(54, 0.22797327694862993)	(56, 0.23380548045251917)	(58, 0.23998527196842123)	(60, 0.24634896179300447)	(62, 0.25258533740388533)	(64, 0.25890658915723447)	(66, 0.265159131652395)	(68, 0.27117119174389553)	(70, 0.27707412536650833)	(72, 0.2828901619861179)	(74, 0.2884434867361829)	(76, 0.29377047510633264)	(78, 0.2993985716961911)	(80, 0.3051095235679828)	(82, 0.3111579591491126)	(84, 0.31668299185168824)	(86, 0.32195541698739405)	(88, 0.3269711928351602)	(90, 0.33228605604210015)	(92, 0.33758071064369055)	(94, 0.34304511753021744)	(96, 0.3481437486599168)	(98, 0.35278566530871575)	(100, 0.35754883358961215)	(102, 0.36224733433338985)	(104, 0.3670832535935447)	(106, 0.37202425760151747)	(108, 0.3768723020248821)	(110, 0.38200528778367576)	(112, 0.3869826672812777)	(114, 0.39210150701632673)	(116, 0.39734564010454315)	(118, 0.4019471395426429)	(120, 0.4063546363693866)	(122, 0.41106728313690905)	(124, 0.4156889911803584)	(126, 0.4200863837044273)	(128, 0.42451408913652067)	(130, 0.4285861231144613)	(132, 0.43283397195894335)	(134, 0.4370434244532613)	(136, 0.44069309857939565)	(138, 0.44324746629558276)
Nac_Sal_4_2 - polya	(1, 0.02197483745713502)	(2, 0.026954237815271925)	(3, 0.02929035259368356)	(4, 0.032119557342624984)	(5, 0.03482751045946891)	(6, 0.03643611544529561)	(7, 0.03860247793877075)	(8, 0.04332320814843302)	(9, 0.0490664937887841)	(10, 0.056931682990841254)	(12, 0.06436642889895233)	(14, 0.07064322172053236)	(16, 0.07753233528420472)	(18, 0.08429615549470969)	(20, 0.09209667715964819)	(22, 0.0981329875775682)	(24, 0.10601030194283512)	(26, 0.11409172322213279)	(28, 0.1203462865778283)	(30, 0.12638057613521336)	(32, 0.1327786205888909)	(34, 0.13961519177865434)	(36, 0.14607184118784566)	(38, 0.1535328582829112)	(40, 0.16015117653489916)	(42, 0.1662238624424484)	(44, 0.17213487950720102)	(46, 0.1783328587679177)	(48, 0.18530078589245344)	(50, 0.19400867393758814)	(52, 0.2010614772045921)	(54, 0.20719074720712022)	(56, 0.2129784917792404)	(58, 0.21881473700419954)	(60, 0.22597464587955632)	(62, 0.23389237745552238)	(64, 0.2405652589419542)	(66, 0.2704840991620098)	(68, 0.30597243101641003)	(70, 0.3238186504006255)	(72, 0.33001662966134215)	(74, 0.3357639570227632)	(76, 0.34149309663936955)	(78, 0.3469817538523159)	(80, 0.35272301863213207)	(82, 0.3584743877146229)	(84, 0.3637751048978182)	(86, 0.36888788205126233)	(88, 0.37415222374482837)	(90, 0.3795923803049357)	(92, 0.38451923828916373)	(94, 0.3894663048787413)	(96, 0.3942052228332181)	(98, 0.39912399737530635)	(100, 0.40403064675418476)	(102, 0.40862608361067965)	(104, 0.4130638933454477)	(106, 0.417831103347414)	(108, 0.4222002038239936)	(110, 0.42646219869222035)	(112, 0.4308292783082649)	(114, 0.4352145456691241)	(116, 0.439371455789533)	(118, 0.4434798652571029)	(120, 0.44769942205409563)	(122, 0.4520907519965597)	(124, 0.45617693199824505)	(126, 0.45999433754878105)	(128, 0.4637794093307577)	(130, 0.4673037901037247)	(132, 0.47090294271648514)	(134, 0.4742696963677255)	(136, 0.47756976162131215)	(138, 0.47985333402581487)
Nac_Sal_5_1 - polya	(1, 0.04152419154311217)	(2, 0.04595115695578942)	(3, 0.04990566471518095)	(4, 0.05380809052854098)	(5, 0.05740174480471428)	(6, 0.06026625183644662)	(7, 0.06441048668495289)	(8, 0.07073100284977528)	(9, 0.07984162326628502)	(10, 0.09067652811033754)	(12, 0.0985874036986217)	(14, 0.10690563450765225)	(16, 0.11571306359547863)	(18, 0.12421544128512052)	(20, 0.13262481549970617)	(22, 0.14049476955896562)	(24, 0.14808943333205857)	(26, 0.15552971133655813)	(28, 0.16300161052257683)	(30, 0.17032284407900444)	(32, 0.17781892416853778)	(34, 0.185060174736417)	(36, 0.19308637463377093)	(38, 0.20260249020152588)	(40, 0.21109556754366215)	(42, 0.21863442923172136)	(44, 0.2259296218151332)	(46, 0.23336059947212714)	(48, 0.240447464271413)	(50, 0.2472143971165054)	(52, 0.25378788273348074)	(54, 0.26040973015748536)	(56, 0.2669999563999709)	(58, 0.2733967354143394)	(60, 0.2801841290239442)	(62, 0.2872933146572435)	(64, 0.29484333676230945)	(66, 0.30192462135309195)	(68, 0.3083102399504537)	(70, 0.31424200158954096)	(72, 0.3197664080078819)	(74, 0.32516990990864975)	(76, 0.3303688041642938)	(78, 0.3360085348917045)	(80, 0.3415199208235376)	(82, 0.3467746171642154)	(84, 0.3516963610641919)	(86, 0.35650278065509866)	(88, 0.3612831592729896)	(90, 0.36638905005357747)	(92, 0.3713498554130775)	(94, 0.3765636302247306)	(96, 0.3810649984174529)	(98, 0.3853784995905615)	(100, 0.38972734208419146)	(102, 0.3937897338746483)	(104, 0.3978521256651051)	(106, 0.40211168482268106)	(108, 0.40610711411109734)	(110, 0.4097528503333021)	(112, 0.41345066850153844)	(114, 0.41696991999766675)	(116, 0.42052637288381756)	(118, 0.4236996514527366)	(120, 0.4268840904386624)	(122, 0.4301931540811636)	(124, 0.43360452154622664)	(126, 0.43663643483306025)	(128, 0.439566044297332)	(130, 0.44246961278858793)	(132, 0.4453862017663518)	(134, 0.44813166435001206)	(136, 0.45062973769002285)	(138, 0.4523577422565679)
Nac_Sal_5_2 - polya	(1, 0.03120452595087125)	(2, 0.03654664555810195)	(3, 0.04033002692338999)	(4, 0.043462383963284314)	(5, 0.04708207921247336)	(6, 0.04956341192697397)	(7, 0.05293013772401003)	(8, 0.0587633156795377)	(9, 0.06567161380671556)	(10, 0.07408470816030346)	(12, 0.08392261575175304)	(14, 0.0926165806000108)	(16, 0.10185926595110041)	(18, 0.10972735994085872)	(20, 0.12032045574976499)	(22, 0.1289046764974564)	(24, 0.13898067298504996)	(26, 0.14909201079316486)	(28, 0.15735257944766057)	(30, 0.16492864252574224)	(32, 0.17305156603715466)	(34, 0.18210452429912954)	(36, 0.19075198740985916)	(38, 0.20153853044688244)	(40, 0.21007624945704573)	(42, 0.2171891552293473)	(44, 0.22443226586672765)	(46, 0.23215155429639597)	(48, 0.24117475144635284)	(50, 0.2521752024760055)	(52, 0.2618643045073651)	(54, 0.26916321722977915)	(56, 0.2760882559824671)	(58, 0.2836326978790297)	(60, 0.2927674991990541)	(62, 0.3033178134094345)	(64, 0.3132580248234459)	(66, 0.34737169947407653)	(68, 0.39486485404629845)	(70, 0.4156362501653602)	(72, 0.4222264764078457)	(74, 0.42858605403219174)	(76, 0.43443039240472614)	(78, 0.44035099362680663)	(80, 0.4458009972651026)	(82, 0.4512361203473896)	(84, 0.456366192031492)	(86, 0.46150928420210235)	(88, 0.46634918504402934)	(90, 0.47154435916067117)	(92, 0.47633961833457117)	(94, 0.4810660549369295)	(96, 0.4857218088982451)	(98, 0.49034036146953824)	(100, 0.4948361494537571)	(102, 0.49891156173072176)	(104, 0.5029107111581403)	(106, 0.5068298775970104)	(108, 0.5105425763212557)	(110, 0.5138367594077479)	(112, 0.5172648674983211)	(114, 0.5208008596199596)	(116, 0.5240131996484023)	(118, 0.5271864782173212)	(120, 0.5303299956742225)	(122, 0.5336520798032314)	(124, 0.5367360750360965)	(126, 0.5396247629713435)	(128, 0.5423404644429858)	(130, 0.5448459780610011)	(132, 0.5472733687599691)	(134, 0.5496282167483931)	(136, 0.5519068018872713)	(138, 0.553512041866742)
Nac_Sal_6_1 - polya	(1, 0.042706253624864736)	(2, 0.04552351319218764)	(3, 0.04772703904799401)	(4, 0.05084377108900873)	(5, 0.05326173402474256)	(6, 0.055502231790881255)	(7, 0.058297308212004774)	(8, 0.06276351498014923)	(9, 0.06888236614014846)	(10, 0.0770476125370417)	(12, 0.08289102296506512)	(14, 0.08855142243694358)	(16, 0.09457044943904555)	(18, 0.10007186969649501)	(20, 0.10585242787695348)	(22, 0.11126141835857215)	(24, 0.11627480939963497)	(26, 0.12145827122822644)	(28, 0.12652527153927112)	(30, 0.13157563449066628)	(32, 0.13644668367694965)	(34, 0.14091473904061072)	(36, 0.14596140480097264)	(38, 0.1517863292738299)	(40, 0.15737833071159354)	(42, 0.16251742624778626)	(44, 0.16691523498181593)	(46, 0.1717844355725827)	(48, 0.1762580367227936)	(50, 0.18080558169366917)	(52, 0.1854418592493423)	(54, 0.18972320646582513)	(56, 0.19409143767158893)	(58, 0.1981786823588271)	(60, 0.20260052283457278)	(62, 0.20698723999550273)	(64, 0.21305063329000348)	(66, 0.21896244175214172)	(68, 0.22322715160897502)	(70, 0.22758983702818897)	(72, 0.23206898396494974)	(74, 0.23614698567460482)	(76, 0.24016583232772817)	(78, 0.24444163375766118)	(80, 0.24876180147999297)	(82, 0.2529377787520287)	(84, 0.2573799537784571)	(86, 0.26147829003879497)	(88, 0.2655914150632658)	(90, 0.2698579735156157)	(92, 0.27370674938121037)	(94, 0.2779141527770286)	(96, 0.2820494609476988)	(98, 0.2859518460832753)	(100, 0.28966382588064044)	(102, 0.293662337983081)	(104, 0.297500022275576)	(106, 0.30150777735559964)	(108, 0.3055229268176898)	(110, 0.3091239908840579)	(112, 0.31320199259371295)	(114, 0.31699161340277593)	(116, 0.3209623965724673)	(118, 0.3244266645706058)	(120, 0.3278354747032459)	(122, 0.33118882697038743)	(124, 0.33461242586716045)	(126, 0.3380600565056494)	(128, 0.34179791664024717)	(130, 0.3449867439064099)	(132, 0.34828648690356956)	(134, 0.3521056852408984)	(136, 0.35545164312597355)	(138, 0.3574703094301183)
