Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nac_Sal_1_1	(15.0, 2.0)	(16.0, 9.0)	(17.0, 52.0)	(18.0, 156.0)	(19.0, 450.0)	(20.0, 1079.0)	(21.0, 2148.0)	(22.0, 4350.0)	(23.0, 8481.0)	(24.0, 14701.0)	(25.0, 26745.0)	(26.0, 41898.0)	(27.0, 57428.0)	(28.0, 80573.0)	(29.0, 111059.0)	(30.0, 148717.0)	(31.0, 195375.0)	(32.0, 254841.0)	(33.0, 331978.0)	(34.0, 429795.0)	(35.0, 569884.0)	(36.0, 781861.0)	(37.0, 1142408.0)	(38.0, 1874709.0)	(39.0, 4011702.0)	(40.0, 12828049.0)				
Nac_Sal_1_2	(11.0, 1.0)	(12.0, 68.0)	(13.0, 808.0)	(14.0, 4505.0)	(15.0, 10678.0)	(16.0, 17175.0)	(17.0, 23018.0)	(18.0, 28560.0)	(19.0, 36092.0)	(20.0, 61679.0)	(21.0, 94862.0)	(22.0, 124671.0)	(23.0, 152378.0)	(24.0, 181763.0)	(25.0, 214048.0)	(26.0, 249261.0)	(27.0, 285306.0)	(28.0, 329128.0)	(29.0, 381039.0)	(30.0, 442184.0)	(31.0, 516326.0)	(32.0, 609257.0)	(33.0, 725496.0)	(34.0, 878870.0)	(35.0, 1091062.0)	(36.0, 1397106.0)	(37.0, 1875343.0)	(38.0, 2701978.0)	(39.0, 4356310.0)	(40.0, 6129478.0)
Nac_Sal_2_1	(14.0, 2.0)	(15.0, 15.0)	(16.0, 52.0)	(17.0, 181.0)	(18.0, 446.0)	(19.0, 911.0)	(20.0, 1877.0)	(21.0, 4274.0)	(22.0, 8942.0)	(23.0, 17528.0)	(24.0, 34597.0)	(25.0, 123431.0)	(26.0, 159139.0)	(27.0, 90596.0)	(28.0, 101036.0)	(29.0, 128568.0)	(30.0, 164724.0)	(31.0, 210293.0)	(32.0, 267117.0)	(33.0, 341315.0)	(34.0, 442248.0)	(35.0, 584922.0)	(36.0, 805944.0)	(37.0, 1185511.0)	(38.0, 1985878.0)	(39.0, 4503095.0)	(40.0, 15465541.0)			
Nac_Sal_2_2	(12.0, 57.0)	(13.0, 897.0)	(14.0, 4295.0)	(15.0, 10224.0)	(16.0, 16491.0)	(17.0, 23115.0)	(18.0, 30202.0)	(19.0, 40583.0)	(20.0, 70182.0)	(21.0, 112596.0)	(22.0, 154084.0)	(23.0, 198610.0)	(24.0, 250493.0)	(25.0, 335918.0)	(26.0, 384427.0)	(27.0, 356679.0)	(28.0, 410274.0)	(29.0, 471179.0)	(30.0, 545034.0)	(31.0, 630776.0)	(32.0, 738645.0)	(33.0, 873180.0)	(34.0, 1050738.0)	(35.0, 1293713.0)	(36.0, 1653374.0)	(37.0, 2211175.0)	(38.0, 3190321.0)	(39.0, 5216950.0)	(40.0, 6353971.0)	
Nac_Sal_3_1	(15.0, 6.0)	(16.0, 33.0)	(17.0, 87.0)	(18.0, 205.0)	(19.0, 500.0)	(20.0, 1249.0)	(21.0, 2827.0)	(22.0, 5874.0)	(23.0, 11748.0)	(24.0, 22749.0)	(25.0, 64752.0)	(26.0, 87419.0)	(27.0, 73060.0)	(28.0, 94879.0)	(29.0, 128167.0)	(30.0, 170791.0)	(31.0, 223086.0)	(32.0, 289265.0)	(33.0, 374166.0)	(34.0, 487691.0)	(35.0, 645675.0)	(36.0, 887253.0)	(37.0, 1294061.0)	(38.0, 2124300.0)	(39.0, 4550296.0)	(40.0, 12782365.0)				
Nac_Sal_3_2	(11.0, 3.0)	(12.0, 78.0)	(13.0, 886.0)	(14.0, 5185.0)	(15.0, 13502.0)	(16.0, 25212.0)	(17.0, 36886.0)	(18.0, 47740.0)	(19.0, 60981.0)	(20.0, 105261.0)	(21.0, 170790.0)	(22.0, 229701.0)	(23.0, 285216.0)	(24.0, 341314.0)	(25.0, 410276.0)	(26.0, 469866.0)	(27.0, 491615.0)	(28.0, 549436.0)	(29.0, 613104.0)	(30.0, 684599.0)	(31.0, 765943.0)	(32.0, 863823.0)	(33.0, 978812.0)	(34.0, 1129443.0)	(35.0, 1320030.0)	(36.0, 1585213.0)	(37.0, 1970237.0)	(38.0, 2594823.0)	(39.0, 3837105.0)	(40.0, 4735424.0)
Nac_Sal_4_1	(15.0, 2.0)	(16.0, 22.0)	(17.0, 75.0)	(18.0, 199.0)	(19.0, 517.0)	(20.0, 1110.0)	(21.0, 2295.0)	(22.0, 4594.0)	(23.0, 8832.0)	(24.0, 15338.0)	(25.0, 26068.0)	(26.0, 41273.0)	(27.0, 60494.0)	(28.0, 86721.0)	(29.0, 119874.0)	(30.0, 162568.0)	(31.0, 215945.0)	(32.0, 283310.0)	(33.0, 369731.0)	(34.0, 483539.0)	(35.0, 644083.0)	(36.0, 889951.0)	(37.0, 1301731.0)	(38.0, 2138723.0)	(39.0, 4506085.0)	(40.0, 13378855.0)				
Nac_Sal_4_2	(11.0, 1.0)	(12.0, 26.0)	(13.0, 457.0)	(14.0, 2462.0)	(15.0, 7368.0)	(16.0, 15249.0)	(17.0, 25980.0)	(18.0, 39278.0)	(19.0, 56784.0)	(20.0, 97413.0)	(21.0, 158600.0)	(22.0, 223545.0)	(23.0, 287995.0)	(24.0, 352079.0)	(25.0, 414550.0)	(26.0, 478559.0)	(27.0, 542947.0)	(28.0, 612330.0)	(29.0, 690905.0)	(30.0, 775966.0)	(31.0, 877420.0)	(32.0, 996512.0)	(33.0, 1138630.0)	(34.0, 1315802.0)	(35.0, 1539892.0)	(36.0, 1834311.0)	(37.0, 2242287.0)	(38.0, 2814747.0)	(39.0, 3707366.0)	(40.0, 3492474.0)
Nac_Sal_5_1	(14.0, 1.0)	(15.0, 8.0)	(16.0, 38.0)	(17.0, 114.0)	(18.0, 352.0)	(19.0, 748.0)	(20.0, 1608.0)	(21.0, 3331.0)	(22.0, 6566.0)	(23.0, 11738.0)	(24.0, 19728.0)	(25.0, 36955.0)	(26.0, 52360.0)	(27.0, 66766.0)	(28.0, 90414.0)	(29.0, 123057.0)	(30.0, 163531.0)	(31.0, 215361.0)	(32.0, 279814.0)	(33.0, 360408.0)	(34.0, 468205.0)	(35.0, 617591.0)	(36.0, 841707.0)	(37.0, 1220072.0)	(38.0, 2007237.0)	(39.0, 4443188.0)	(40.0, 15849818.0)			
Nac_Sal_5_2	(12.0, 23.0)	(13.0, 313.0)	(14.0, 2172.0)	(15.0, 6884.0)	(16.0, 13966.0)	(17.0, 20964.0)	(18.0, 27397.0)	(19.0, 35123.0)	(20.0, 60013.0)	(21.0, 94947.0)	(22.0, 127700.0)	(23.0, 163564.0)	(24.0, 201774.0)	(25.0, 243982.0)	(26.0, 287712.0)	(27.0, 331624.0)	(28.0, 384854.0)	(29.0, 448879.0)	(30.0, 525258.0)	(31.0, 617243.0)	(32.0, 727502.0)	(33.0, 872843.0)	(34.0, 1067970.0)	(35.0, 1333554.0)	(36.0, 1722269.0)	(37.0, 2332437.0)	(38.0, 3374017.0)	(39.0, 5474484.0)	(40.0, 6381248.0)	
Nac_Sal_6_1	(14.0, 1.0)	(15.0, 11.0)	(16.0, 26.0)	(17.0, 122.0)	(18.0, 304.0)	(19.0, 660.0)	(20.0, 1441.0)	(21.0, 2892.0)	(22.0, 5974.0)	(23.0, 11227.0)	(24.0, 19587.0)	(25.0, 40407.0)	(26.0, 61518.0)	(27.0, 73206.0)	(28.0, 101451.0)	(29.0, 138289.0)	(30.0, 184558.0)	(31.0, 243430.0)	(32.0, 316031.0)	(33.0, 407958.0)	(34.0, 531772.0)	(35.0, 704990.0)	(36.0, 967907.0)	(37.0, 1414711.0)	(38.0, 2320496.0)	(39.0, 4896313.0)	(40.0, 14602279.0)			
Nac_Sal_6_2	(12.0, 40.0)	(13.0, 437.0)	(14.0, 2425.0)	(15.0, 6620.0)	(16.0, 12211.0)	(17.0, 19335.0)	(18.0, 27857.0)	(19.0, 40221.0)	(20.0, 68895.0)	(21.0, 112532.0)	(22.0, 159282.0)	(23.0, 209013.0)	(24.0, 261174.0)	(25.0, 319772.0)	(26.0, 380215.0)	(27.0, 431728.0)	(28.0, 501004.0)	(29.0, 578276.0)	(30.0, 671404.0)	(31.0, 778223.0)	(32.0, 909229.0)	(33.0, 1071197.0)	(34.0, 1279945.0)	(35.0, 1552092.0)	(36.0, 1921973.0)	(37.0, 2457058.0)	(38.0, 3275958.0)	(39.0, 4655029.0)	(40.0, 5344416.0)	
Nac_Sal_7_1	(16.0, 14.0)	(17.0, 62.0)	(18.0, 145.0)	(19.0, 386.0)	(20.0, 930.0)	(21.0, 2416.0)	(22.0, 5314.0)	(23.0, 10598.0)	(24.0, 19124.0)	(25.0, 33088.0)	(26.0, 52300.0)	(27.0, 75009.0)	(28.0, 107339.0)	(29.0, 146676.0)	(30.0, 196993.0)	(31.0, 256009.0)	(32.0, 327652.0)	(33.0, 418681.0)	(34.0, 536919.0)	(35.0, 703960.0)	(36.0, 953642.0)	(37.0, 1379485.0)	(38.0, 2234405.0)	(39.0, 4700657.0)	(40.0, 14095054.0)					
