Sample	Unique Reads	Duplicate Reads
Nac_Sal_1_1	8791014.0	14127436.0
Nac_Sal_1_2	9702123.0	13216327.0
Nac_Sal_2_1	8377433.0	18250750.0
Nac_Sal_2_2	10127160.0	16501023.0
Nac_Sal_3_1	3231440.0	21091064.0
Nac_Sal_3_2	5842859.0	18479645.0
Nac_Sal_4_1	14219492.0	10522443.0
Nac_Sal_4_2	16100974.0	8640961.0
Nac_Sal_5_1	15519110.0	11361606.0
Nac_Sal_5_2	16481649.0	10399067.0
Nac_Sal_6_1	11452837.0	15594724.0
Nac_Sal_6_2	12714295.0	14333266.0
Nac_Sal_7_1	4754491.0	21502367.0
Nac_Sal_7_2	6507864.0	19748994.0
Nac_Sal_8_1	9020336.0	15732550.0
Nac_Sal_8_2	11615097.0	13137789.0
Nac_oxy_1_1	6150000.0	19917702.0
Nac_oxy_1_2	7246866.0	18820836.0
Nac_oxy_2_1	13466964.0	9405474.0
Nac_oxy_2_2	14722799.0	8149639.0
Nac_oxy_3_1	15275060.0	7901679.0
Nac_oxy_3_2	17005316.0	6171423.0
Nac_oxy_4_1	14693531.0	6699026.0
Nac_oxy_4_2	16047682.0	5344875.0
Nac_oxy_5_1	9936745.0	14041283.0
Nac_oxy_5_2	11463945.0	12514083.0
Nac_oxy_6_1	7596557.0	12341792.0
Nac_oxy_6_2	9025955.0	10912394.0
Nac_oxy_7_1	12740866.0	10032367.0
Nac_oxy_7_2	14307539.0	8465694.0
Nac_oxy_8_1	10441812.0	12750634.0
Nac_oxy_8_2	12337255.0	10855191.0
