Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Nac_Sal_1_1	(1.0, 24.86436326876136)	(2.0, 7.030326446372985)	(3.0, 8.735784236678622)	(4.0, 9.07073636606328)	(5.0, 8.115806252268676)	(6.0, 6.563562226988391)	(7.0, 4.976969556960404)	(8.0, 3.3940267321595905)	(9.0, 2.4277515294573835)	('>10', 9.495134607971197)	('>50', 1.1318768155792251)	('>100', 2.76263362122471)	('>500', 1.6250641245279724)	('>1k', 4.42732796190533)	('>5k', 1.6822147825032385)	('>10k+', 3.6964214705775573)
Nac_Sal_1_2	(1.0, 28.616682761401613)	(2.0, 7.690778674468464)	(3.0, 9.22361268745879)	(4.0, 9.15067568634146)	(5.0, 8.049468842104606)	(6.0, 6.354837116091175)	(7.0, 4.553964761086923)	(8.0, 3.097893923543256)	(9.0, 2.117659918730152)	('>10', 7.7767568151294455)	('>50', 1.0524306355447965)	('>100', 2.8363168328194037)	('>500', 1.683369697031651)	('>1k', 3.9343821693552092)	('>5k', 1.8357216687577356)	('>10k+', 2.0254478101352555)
Nac_Sal_2_1	(1.0, 20.285029488777926)	(2.0, 8.61269071445538)	(3.0, 8.391458484076002)	(4.0, 6.669339707253876)	(5.0, 4.939094642905335)	(6.0, 3.2718522716852485)	(7.0, 2.1073235840594515)	(8.0, 1.3360824069792099)	(9.0, 0.9145993544063584)	('>10', 4.293761506694048)	('>50', 1.0709849545556636)	('>100', 2.7280694609264895)	('>500', 1.8634322951999758)	('>1k', 5.881159251255066)	('>5k', 3.3048131607433784)	('>10k+', 24.33030871602658)
Nac_Sal_2_2	(1.0, 27.691946536254296)	(2.0, 8.576624479621607)	(3.0, 7.763355959559992)	(4.0, 5.918100060903407)	(5.0, 4.143498522186765)	(6.0, 2.6489675373047032)	(7.0, 1.6693662676030163)	(8.0, 1.0728355221288506)	(9.0, 0.7130376409741757)	('>10', 3.83834323547593)	('>50', 1.1094916236100263)	('>100', 2.7516705014266103)	('>500', 1.6926291493426504)	('>1k', 5.175967395123635)	('>5k', 3.3749196953216307)	('>10k+', 21.85924587316266)
Nac_Sal_3_1	(1.0, 9.342985665971884)	(2.0, 3.4270844753416907)	(3.0, 2.634076269719009)	(4.0, 1.8421134587771042)	(5.0, 1.2596791017469582)	(6.0, 0.8761243564232425)	(7.0, 0.6145252514441193)	(8.0, 0.46772248797254407)	(9.0, 0.3746221160081284)	('>10', 4.4498564308626465)	('>50', 1.5466065325986538)	('>100', 5.340217216051872)	('>500', 4.033244865701618)	('>1k', 18.76252876745171)	('>5k', 13.18267170464187)	('>10k+', 31.845941299286928)
Nac_Sal_3_2	(1.0, 20.022243084076955)	(2.0, 3.5533471365202485)	(3.0, 2.495636288506727)	(4.0, 1.8073934951831077)	(5.0, 1.2689237742355033)	(6.0, 0.8978298606201246)	(7.0, 0.707532628670093)	(8.0, 0.5473791723482619)	(9.0, 0.4717348824670213)	('>10', 4.681662758461721)	('>50', 0.9596233091459451)	('>100', 3.1013173106884)	('>500', 3.6391435907578837)	('>1k', 23.382202892067035)	('>5k', 13.266890596711903)	('>10k+', 19.197139219539018)
Nac_Sal_4_1	(1.0, 45.872549980878674)	(2.0, 13.807933369989591)	(3.0, 6.53566412384351)	(4.0, 3.6221580364242167)	(5.0, 2.3967637098399495)	(6.0, 1.6700818197781675)	(7.0, 1.3167556746901743)	(8.0, 0.9867249847469186)	(9.0, 0.8461810519968946)	('>10', 6.894168199065909)	('>50', 1.4592757928647622)	('>100', 3.069482949507866)	('>500', 1.7551642067428528)	('>1k', 4.085701868452831)	('>5k', 1.6161252217805702)	('>10k+', 4.0652690093970225)
Nac_Sal_4_2	(1.0, 54.95050910417755)	(2.0, 12.396302879140366)	(3.0, 5.72032064383039)	(4.0, 3.0824226170738642)	(5.0, 1.9668565082785219)	(6.0, 1.3645859744600364)	(7.0, 0.9558917358563629)	(8.0, 0.7439174956295415)	(9.0, 0.6511245105767998)	('>10', 4.983574179767829)	('>50', 1.0443580634643932)	('>100', 2.866381911462431)	('>500', 1.5711740946427073)	('>1k', 3.9152090064720384)	('>5k', 1.5640454200030505)	('>10k+', 2.2233258551639974)
Nac_Sal_5_1	(1.0, 48.09475578428739)	(2.0, 13.103263252837127)	(3.0, 5.076751629534792)	(4.0, 2.3505881646645035)	(5.0, 1.234462335951279)	(6.0, 0.848154285299641)	(7.0, 0.6056203624048347)	(8.0, 0.4603057881177151)	(9.0, 0.38541867845322575)	('>10', 3.46118675931106)	('>50', 1.067644581009413)	('>100', 3.019740482157093)	('>500', 1.731042049475679)	('>1k', 5.350208457906301)	('>5k', 2.9115489647243393)	('>10k+', 10.29930842386551)
Nac_Sal_5_2	(1.0, 52.37119090704455)	(2.0, 12.582591642828763)	(3.0, 4.520464373547839)	(4.0, 1.8818240606532401)	(5.0, 1.0019387496868528)	(6.0, 0.659911330069299)	(7.0, 0.5036560426134764)	(8.0, 0.40515555376722245)	(9.0, 0.28392099313372654)	('>10', 3.2013421478245783)	('>50', 1.0689088434691907)	('>100', 2.8984501575826176)	('>500', 1.6816698434744795)	('>1k', 5.362815040070397)	('>5k', 2.741847276921767)	('>10k+', 8.83431303731221)
