Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Nac_Sal_1_1	4.9	23075215	14847288	23075215	3461282250	14922229	3125354301	9.705303547550912
Nac_Sal_1_2	4.9	23075215	14628967	23075215	3461282250	81736075	3067594309	11.374049053641897
Nac_Sal_2_1	4.9	26877663	21016841	26877663	4031649450	193026850	3049908797	24.35084362307343
Nac_Sal_2_2	4.9	26877663	20404064	26877663	4031649450	269964227	2999764367	25.59461321717839
Nac_Sal_3_1	4.9	24591295	15002112	24591295	3688694250	84188497	3179481636	13.804684787848709
Nac_Sal_3_2	4.9	24591295	14124613	24591295	3688694250	201556684	3075159270	16.632849957678115
Nac_Sal_4_1	4.9	24876193	13460988	24876193	3731428950	15480789	3432829508	8.002281324423985
Nac_Sal_4_2	4.9	24876193	13182509	24876193	3731428950	115999947	3340408348	10.479111547869618
Nac_Sal_5_1	4.9	26997272	21209418	26997272	4049590800	61442805	3139323687	22.478002295935678
Nac_Sal_5_2	4.9	26997272	20560976	26997272	4049590800	121838723	3102239928	23.393743190052685
Nac_Sal_6_1	4.9	27230339	14250058	27230339	4084550850	36945596	3775920696	7.556036522351044
Nac_Sal_6_2	4.9	27230339	14112748	27230339	4084550850	111454201	3705472687	9.280779623541717
Nac_Sal_7_1	4.9	26361668	14411920	26361668	3954250200	26782336	3515261090	11.101702922086215
Nac_Sal_7_2	4.9	26361668	13966441	26361668	3954250200	101721965	3441418070	12.969137107206825
Nac_Sal_8_1	4.9	26193820	16347407	26193820	3929073000	113159288	3297152753	16.08318926627222
Nac_Sal_8_2	4.9	26193820	15785486	26193820	3929073000	222834001	3201859902	18.508515825488608
Nac_oxy_1_1	4.9	26198436	23205031	26198436	3929765400	123950780	2618601669	33.36493651758449
Nac_oxy_1_2	4.9	26198436	22418665	26198436	3929765400	186136984	2598069362	33.88741826674946
Nac_oxy_2_1	4.9	23092623	15717912	23092623	3463893450	83510678	2929399698	15.430432826968163
Nac_oxy_2_2	4.9	23092623	15391766	23092623	3463893450	150030633	2874665447	17.01056950813542
Nac_oxy_3_1	4.9	23345167	11862018	23345167	3501775050	11184467	3310925969	5.4500668453846
Nac_oxy_3_2	4.9	23345167	11383738	23345167	3501775050	115840970	3213212177	8.240474298884504
Nac_oxy_4_1	4.9	21521303	12587876	21521303	3228195450	13431147	2955023011	8.462078682379657
Nac_oxy_4_2	4.9	21521303	12010660	21521303	3228195450	95292699	2885107322	10.627861085672492
Nac_oxy_5_1	4.9	24089362	12763616	24089362	3613404300	21361786	3286500331	9.046980128960383
Nac_oxy_5_2	4.9	24089362	12333694	24089362	3613404300	95579907	3216150374	10.993896420613659
Nac_oxy_6_1	4.9	20677059	11260460	20677059	3101558850	65362699	2780076921	10.365172629240938
Nac_oxy_6_2	4.9	20677059	11081122	20677059	3101558850	127036448	2722465756	12.222663258509508
Nac_oxy_7_1	4.9	22879468	16093547	22879468	3431920200	30354273	2872925814	16.288093936449922
Nac_oxy_7_2	4.9	22879468	15591665	22879468	3431920200	97327733	2818775862	17.8659264280096
Nac_oxy_8_1	4.9	23320167	16344796	23320167	3498025050	37486677	2913950884	16.69725509827324
Nac_oxy_8_2	4.9	23320167	15916635	23320167	3498025050	111485868	2855071618	18.380469630999354
