Sample	Strand inference method	Status	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Unstranded (%)
Nac_Sal_1	RSeQC	pass	auto	reverse	1.0400000115484	92.9899998352956	5.970000153155999
Nac_Sal_1 	Salmon	pass	auto	reverse	0.5463307823585604	99.45366921764143	0.0
Nac_Sal_2	RSeQC	pass	auto	reverse	1.5499999602325265	92.38999995971099	6.060000080056488
Nac_Sal_2 	Salmon	pass	auto	reverse	0.8261465594150968	99.1738534405849	0.0
Nac_Sal_3	RSeQC	fail	auto	reverse	5.569999913051726	89.56000008672476	4.870000000223518
Nac_Sal_3 	Salmon	fail	auto	undetermined	43.936653606671975	56.06334639332802	0.0
Nac_Sal_4	RSeQC	pass	auto	reverse	1.0200000377558174	95.51000007941389	3.4699998828303067
Nac_Sal_4 	Salmon	pass	auto	reverse	0.6550905398060475	99.34490946019395	0.0
Nac_Sal_5	RSeQC	pass	auto	reverse	1.3899999321158993	94.52000022675841	4.089999841125686
Nac_Sal_5 	Salmon	pass	auto	reverse	1.083798031205166	98.91620196879484	0.0
Nac_Sal_6	RSeQC	pass	auto	reverse	1.06010599013581	91.66916673394826	7.270727275915932
Nac_Sal_6 	Salmon	pass	auto	reverse	0.6758446434196894	99.3241553565803	0.0
Nac_Sal_7	RSeQC	fail	auto	reverse	9.349065120903303	85.64143611549373	5.009498763602971
Nac_Sal_7 	Salmon	fail	auto	unstranded	48.319926737309736	51.680073262690264	0.0
Nac_Sal_8	RSeQC	pass	auto	reverse	1.2099999799206855	92.50000015832484	6.289999861754479
Nac_Sal_8 	Salmon	pass	auto	reverse	1.182903545677065	98.81709645432294	0.0
Nac_oxy_1	RSeQC	pass	auto	reverse	1.2299999319762007	93.44000011444092	5.329999953582884
Nac_oxy_1 	Salmon	pass	auto	reverse	1.6739472930392438	98.32605270696075	0.0
Nac_oxy_2	RSeQC	pass	auto	reverse	1.6698329460809513	95.08049219453916	3.2496748593798848
Nac_oxy_2 	Salmon	pass	auto	reverse	1.4415690527437952	98.5584309472562	0.0
Nac_oxy_3	RSeQC	pass	auto	reverse	1.0099999568983913	95.43999994009734	3.5500001030042765
Nac_oxy_3 	Salmon	pass	auto	reverse	2.2099582290310114	97.790041770969	0.0
Nac_oxy_4	RSeQC	pass	auto	reverse	1.2400000644847764	95.0999997346662	3.6600002008490313
Nac_oxy_4 	Salmon	pass	auto	reverse	1.265398833566687	98.73460116643331	0.0
Nac_oxy_5	RSeQC	pass	auto	reverse	1.0499999613966802	93.37000033422372	5.579999704379595
Nac_oxy_5 	Salmon	pass	auto	reverse	3.378746249002899	96.6212537509971	0.0
Nac_oxy_6	RSeQC	pass	auto	reverse	1.2699999550823131	93.19000027165748	5.539999773260211
Nac_oxy_6 	Salmon	pass	auto	reverse	0.5434372140324131	99.45656278596758	0.0
Nac_oxy_7	RSeQC	pass	auto	reverse	1.4298569961414118	95.72042799461734	2.849715009241251
Nac_oxy_7 	Salmon	pass	auto	reverse	0.5791033341668308	99.42089666583317	0.0
Nac_oxy_8	RSeQC	pass	auto	reverse	1.390000004610047	93.58999981927684	5.020000176113103
Nac_oxy_8 	Salmon	pass	auto	reverse	0.5411298141250894	99.45887018587491	0.0
