Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Nac_Sal_1_1	Nac_Sal_1_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22918450.0	3.1 Gbp	0.0	20-150	47.0	38.357802543101606	135.28980980389161	147	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
Nac_Sal_1_2	Nac_Sal_1_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22918450.0	3 Gbp	0.0	20-150	47.0	42.33324191060836	133.63427354380423	147	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
Nac_Sal_2_1	Nac_Sal_2_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26628183.0	3 Gbp	0.0	20-150	56.0	31.460772377953848	113.64401326218916	112	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Nac_Sal_2_2	Nac_Sal_2_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26628183.0	2.9 Gbp	0.0	20-150	56.0	38.03173247699693	112.45087327212676	112	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Nac_Sal_3_1	Nac_Sal_3_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24322504.0	3.1 Gbp	0.0	20-150	57.0	13.285800122901078	129.37649532301444	147	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Nac_Sal_3_2	Nac_Sal_3_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24322504.0	3 Gbp	0.0	20-150	57.0	24.022438035392753	126.2186895724223	142	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Nac_Sal_4_1	Nac_Sal_4_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24741935.0	3.4 Gbp	0.0	20-150	48.0	57.471216718214215	137.86530463361092	147	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
Nac_Sal_4_2	Nac_Sal_4_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24741935.0	3.3 Gbp	0.0	20-150	48.0	65.07564580849666	134.76858929990723	147	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
Nac_Sal_5_1	Nac_Sal_5_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26880716.0	3.1 Gbp	0.0	20-150	52.0	57.73324293482589	116.17811034125728	122	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
Nac_Sal_5_2	Nac_Sal_5_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26880716.0	3.1 Gbp	0.0	20-150	52.0	61.3140236816206	115.26639775889898	117	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
Nac_Sal_6_1	Nac_Sal_6_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27047561.0	3.7 Gbp	0.0	20-150	49.0	42.343323990723604	138.89227888237318	147	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
