Sample	TEC	snRNA	protein_coding	processed_pseudogene	antisense	sense_intronic	lincRNA	processed_transcript	miRNA	snoRNA	misc_RNA	unprocessed_pseudogene	transcribed_unprocessed_pseudogene	sense_overlapping	rRNA	transcribed_processed_pseudogene	pseudogene	ribozyme	unitary_pseudogene	scaRNA	polymorphic_pseudogene	IG_C_gene	IG_C_pseudogene	IG_J_gene	IG_D_gene	IG_D_pseudogene	IG_V_pseudogene	IG_V_gene	IG_LV_gene	TR_V_gene	TR_J_gene	TR_C_gene	TR_V_pseudogene	TR_D_gene	TR_J_pseudogene	sRNA	macro_lncRNA	3prime_overlapping_ncrna	translated_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
Nac_Sal_1	77154	80621	20306475	19149	46341	13172	566203	87562	30776	24554	314369	6876	8787	1977	4515	2402	4433	130591	520	10340	400	199	0	5	0	0	2	8	0	18	10	0	0	0	0	0	0	14	0	768	1024500
Nac_Sal_2	74403	18817	11464695	14074	30649	12104	458335	61135	39979	10897	214975	3284	5079	1396	20804	1718	3204	105295	323	7895	524	47	0	20	0	0	0	0	0	6	2	0	0	0	0	0	0	4	0	1437	371146
Nac_Sal_3	10161	1096	4523067	3367	165823	1443	56752	10986	162553	949	24248	1340	1142	174	1399269	394	585	4982	78	674	84	14	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	441	213896
Nac_Sal_4	65154	18211	25459794	23751	48545	12780	700749	95780	74729	13333	502939	7702	11080	2355	1135	3134	5318	154558	744	11750	622	279	0	14	0	0	0	10	0	16	0	10	0	0	0	0	0	9	0	569	1561469
Nac_Sal_5	98354	23142	13041722	16418	34986	15929	631442	63100	42167	12568	174542	4379	6775	1271	25095	1673	3718	65606	330	5098	536	157	0	4	0	0	1	5	0	10	0	1	4	0	0	0	0	8	0	1120	618409
Nac_Sal_6	75250	28568	25540317	23871	48894	14685	712816	106760	108496	20953	497593	5380	10968	2372	1978	3512	5456	220263	923	19043	786	229	0	8	0	0	0	8	0	18	0	12	0	0	0	0	0	6	0	410	1527966
Nac_Sal_7	14162	17770	4693369	5041	48682	2600	109449	15189	2025746	4341	73254	1908	1409	243	2953253	441	652	15948	85	1948	96	26	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	2	0	1284	2121096
Nac_Sal_8	44351	25508	17527329	17589	33654	8695	475756	67087	36902	14038	355528	4851	8931	1558	684236	2346	3427	121166	501	9202	521	238	0	15	0	0	0	1	0	4	0	0	6	0	0	8	0	20	8	469	1319102
Nac_oxy_1	34153	10600	4410249	5171	11543	5798	245691	21915	23347	5226	86830	1430	2044	379	72899	496	1386	34115	104	2146	164	35	0	12	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	723	208304
Nac_oxy_2	68483	51518	17093838	18567	38130	11141	478049	74513	38352	25163	511952	5948	8211	1838	3323	2183	3885	193681	487	13852	631	133	0	15	0	0	0	6	0	20	0	10	0	0	0	0	0	6	0	734	1054776
Nac_oxy_3	90849	14351	19180211	22549	43701	13292	509382	92749	10850	11118	353563	6452	8880	2173	1647	2520	4907	155514	547	9592	692	109	2	4	0	0	0	12	0	10	0	2	1	0	0	0	0	11	1	474	123197
Nac_oxy_4	99142	6971	14184746	18656	36325	14779	474566	71490	14116	6412	165032	5116	6902	1589	4167	2007	3971	49303	421	4521	621	100	0	9	0	0	0	4	0	12	5	10	1	0	0	0	0	18	2	272	557073
Nac_oxy_5	52766	6477	10988082	9625	48240	8705	2320505	46767	1076945	4996	124944	2425	4435	904	4704	1154	2347	49086	276	3065	380	68	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	6	4	177	237044
Nac_oxy_6	64558	15978	17729285	16247	35992	10842	439875	73923	54324	11095	393628	4605	7406	1402	2964	2032	4185	170217	383	9836	597	294	0	0	0	0	0	6	0	16	0	12	0	0	0	0	0	0	0	624	443259
Nac_oxy_7	100438	22226	13815471	16496	38754	15497	601658	67366	62917	12419	203449	4334	7804	1364	10223	1853	3689	66433	410	4909	678	131	0	6	0	0	0	0	0	6	6	10	0	0	0	0	0	8	0	625	817153
Nac_oxy_8	80063	26647	17117551	18319	39533	13492	495967	78387	20266	15542	329892	5745	7027	1473	13997	2154	4085	117062	496	8676	486	120	0	8	0	0	0	0	0	21	12	16	0	0	0	0	0	4	0	861	316139
