Sample	custom_content_biotype_counts-percent_rRNA	custom_content_dupradar-dupRadar_intercept	picard_mark_duplicates-PERCENT_DUPLICATION	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	rseqc_bam_stat-proper_pairs_percent	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
Nac_Sal_1	0.019835045348888344	1.04422984267175	73.676	1.07	20.960558	21.113281999999998	14.537007	2.4099299999999997	1.065289	21.340288884922263	0.448407	7.648963999999999	41.959371	100.0	99.90882847123709	0.9250925138987426	41.959371	762.5	49.608335	49.608335	100.0	22.91845	20.998813	91.62	19.133193	83.48	1.8656199999999998													
Nac_Sal_1_1																												61.74737131762462	48.0	150.0	150	27.27272727272727	23.075215	9.705303547550912	61.642197456898394	47.0	135.28980980389161	147	18.181818181818183	22.91845
Nac_Sal_1_2																												57.38148590349036	48.0	150.0	150	18.181818181818183	23.075215	11.374049053641897	57.66675808939164	47.0	133.63427354380423	147	18.181818181818183	22.91845
Nac_Sal_2	0.16099367238530576	0.756710664189424	64.43100000000001	1.0	15.790626	11.833274999999999	14.771075	2.261003	0.708531	29.296294114508225	0.5394718	5.146866999999999	31.622159	100.0	99.87063818128294	0.7296276006960815	31.622159	551.9	36.769026	36.769026	100.0	26.628183	15.831532999999999	59.45	14.50451	54.47	1.3270229999999998													
Nac_Sal_2_1																												68.51132007709484	55.0	150.0	150	45.45454545454545	26.877663	24.35084362307343	68.53922762204616	56.0	113.64401326218916	112	36.36363636363637	26.628183
Nac_Sal_2_2																												61.53696899910958	55.0	150.0	150	36.36363636363637	26.877663	25.59461321717839	61.96826752300307	56.0	112.45087327212676	112	36.36363636363637	26.628183
Nac_Sal_3	21.25409374033098	0.566723408183504	87.9632	1.01	15.794889	6.313092999999999	8.258739	5.795179	1.470133	8.537663572231178	1.708757	7.9799	31.665888	100.0	99.75964672141832	1.7177980292231185	31.665888	568.9	39.645787999999996	39.645787999999996	100.0	24.322504	15.870999	65.25	13.483044999999999	55.43	2.3879539999999997													
Nac_Sal_3_1																												86.48429172759501	56.0	150.0	150	45.45454545454545	24.591295	13.804684787848709	86.71419987709892	57.0	129.37649532301444	147	36.36363636363637	24.322504
Nac_Sal_3_2																												75.80072283159603	56.0	150.0	150	36.36363636363637	24.591295	16.632849957678115	75.97756196460725	57.0	126.2186895724223	142	36.36363636363637	24.322504
Nac_Sal_4	0.003944185226722366	0.130091435778971	31.179299999999998	1.03	23.315877	26.640442	12.556011	2.461627	1.410946	57.281996673278	0.6059969000000001	7.523963999999999	46.719221999999995	100.0	99.81277941657505	0.4337037119325317	46.719221999999995	950.1	54.243185999999994	54.243185999999994	100.0	24.741934999999998	23.403344999999998	94.59	20.962111	84.72	2.4412339999999997													
Nac_Sal_4_1																												42.693729374966395	48.0	150.0	150	18.181818181818183	24.876192999999997	8.002281324423985	42.528783281785785	48.0	137.86530463361092	147	9.090909090909092	24.741934999999998
Nac_Sal_4_2																												34.84447972086906	49.0	150.0	150	9.090909090909092	24.876192999999997	10.479111547869618	34.92435419150334	48.0	134.76858929990723	147	9.090909090909092	24.741934999999998
Nac_Sal_5	0.1685521174968449	0.112879288748866	23.064999999999998	0.97	19.748687999999998	13.630215	20.404854	3.056117	0.794631	66.21769616644396	0.4836124	4.997256999999999	39.544050999999996	100.0	99.88196707514867	0.6743062312963334	39.544050999999996	478.1	44.541308	44.541308	100.0	26.880716	19.795363	73.64	18.625373	69.29	1.1699899999999999													
Nac_Sal_5_1																												42.317082961657384	51.0	150.0	150	27.27272727272727	26.997272	22.478002295935678	42.26675706517411	52.0	116.17811034125728	122	18.181818181818183	26.880716
Nac_Sal_5_2																												38.61524923369005	51.0	150.0	150	18.181818181818183	26.997272	23.393743190052685	38.6859763183794	52.0	115.26639775889898	117	18.181818181818183	26.880716
Nac_Sal_6	0.0068259760205325905	0.585340764001595	59.645	1.03	24.932729	26.645108	14.947669	2.695071	1.51763	33.28134073224085	0.5163763	8.410681	49.916849	100.0	99.8970467867473	0.5058732773777447	49.916849	897.7	58.327529999999996	58.327529999999996	100.0	27.047560999999998	24.984119999999997	92.37	22.271566999999997	82.34	2.7125529999999998													
Nac_Sal_6_1																												57.915380903250416	49.0	150.0	150	27.27272727272727	27.230338999999997	7.556036522351044	57.656676009276396	49.0	138.89227888237318	147	18.181818181818183	27.047560999999998
Nac_Sal_6_2																												53.02410295846585	50.0	150.0	150	18.181818181818183	27.230338999999997	9.280779623541717	52.992824000780075	49.0	136.75428276139206	147	18.181818181818183	27.047560999999998
Nac_Sal_7	24.390917313119264	0.0943387283641629	81.4131	1.05	21.723793	11.380663	10.263869999999999	7.008671	3.230323	13.09654758057437	1.352684	12.832175	43.49948	100.0	99.88070202218509	1.2911855498042735	43.49948	253.8	56.331655	56.331655	100.0	26.256857999999998	21.775686999999998	82.93	17.965598999999997	68.42	3.810088													
Nac_Sal_7_1																												81.83145153146656	56.0	150.0	150	36.36363636363637	26.361667999999998	11.101702922086215	81.8923877069482	57.0	133.31219672209068	147	18.181818181818183	26.256857999999998
Nac_Sal_7_2																												75.1307111568441	56.0	150.0	150	36.36363636363637	26.361667999999998	12.969137107206825	75.2146147565757	57.0	130.914247984279	147	27.27272727272727	26.256857999999998
Nac_Sal_8	3.295450807388723	0.65266228498707	67.95020000000001	1.05	21.006164	19.781729	11.472733	4.317062	1.353218	25.46244225982155	0.8941858	8.119570999999999	42.088535	100.0	99.81893643957909	0.9345823037081239	42.088535	787.2	50.208106	50.208106	100.0	24.752886	21.082371	85.17	18.628685	75.26	2.453686													
Nac_Sal_8_1																												64.87153314295779	51.0	150.0	150	27.27272727272727	26.19382	16.08318926627222	63.55844780318932	52.0	132.135163128049	147	18.181818181818183	24.752886
Nac_Sal_8_2																												54.796730490081806	52.0	150.0	150	27.27272727272727	26.19382	18.508515825488608	53.07579065680109	52.0	129.05630070772352	147	18.181818181818183	24.752886
Nac_oxy_1	1.4060234949941792	0.271050488532845	38.9484	0.83	7.345041999999999	4.772787	7.427334	1.318277	0.285308	49.70064529426798	0.5868529	2.521991	14.711077	100.0	99.85729800748103	0.9802001580169827	14.711077	434.3	17.233068	17.233068	100.0	26.067702	7.366035	28.25	6.804328	26.1	0.561707													
Nac_oxy_1_1																												76.45454568040606	63.0	150.0	150	36.36363636363637	26.198435999999997	33.36493651758449	76.40758928687754	68.0	99.88422186198078	97	36.36363636363637	26.067702
Nac_oxy_1_2																												71.71804124315862	63.0	150.0	150	45.45454545454545	26.198435999999997	33.88741826674946	72.19982917110482	68.0	99.55692287337027	97	36.36363636363637	26.067702
Nac_oxy_2	0.016868495533757424	0.132782678707418	32.0926	1.01	19.906302999999998	18.230065	13.775072	2.478916	1.03162	53.418427161885894	0.5241487	8.982569	39.878161999999996	100.0	99.83560927406835	0.7570810309662718	39.878161999999996	708.2	48.860731	48.860731	100.0	22.872438	19.971859	87.31	17.344981999999998	75.83	2.626877													
Nac_oxy_2_1																												41.362249030562914	49.0	150.0	150	27.27272727272727	23.092623	15.430432826968163	41.12143500074964	49.0	127.32279809874225	142	18.181818181818183	22.872438
Nac_oxy_2_2																												35.71859047366735	49.0	150.0	150	18.181818181818183	23.092623	17.01056950813542	35.63083197734572	49.0	125.4705261415508	137	18.181818181818183	22.872438
Nac_oxy_3	0.007972172615979139	0.129809894889322	26.412200000000002	1.04	21.053864	18.92223	16.835795	2.6149	1.176952	62.29902375764612	0.5786779	6.106814	42.233539	100.0	99.70210642304923	0.608248813815958	42.233539	825.7	48.340353	48.340353	100.0	23.176738999999998	21.179675	91.38	19.311218999999998	83.32	1.868456													
Nac_oxy_3_1																												34.30252710489843	47.0	150.0	150	18.181818181818183	23.345167	5.4500668453846	34.09314715426248	47.0	141.65663152611762	147	9.090909090909092	23.176738999999998
Nac_oxy_3_2																												26.578843337872556	47.0	150.0	150	9.090909090909092	23.345167	8.240474298884504	26.627659833728586	47.0	138.3663296635476	147	9.090909090909092	23.176738999999998
Nac_oxy_4	0.02649354583017847	0.152721485396704	25.360599999999998	0.99	19.067269	14.291872	19.157459	2.7026	0.9252659999999999	66.31596812941012	0.5604872000000001	3.585758	38.211774	100.0	99.79787381763538	0.41830824185236726	38.211774	644.4	41.797532	41.797532	100.0	21.392557	19.144505	89.5	18.16364	84.91	0.980865													
Nac_oxy_4_1																												31.381343084007113	47.0	150.0	150	18.181818181818183	21.521303	8.462078682379657	31.314753351240626	46.0	137.08763174032913	147	9.090909090909092	21.392557
Nac_oxy_4_2																												24.839600658290877	47.0	150.0	150	9.090909090909092	21.521303	10.627861085672492	24.984742844495358	46.0	134.62164576679638	147	9.090909090909092	21.392557
Nac_oxy_5	0.03137226655622348	0.116830367368545	50.4742	0.98	19.62086	12.614022	14.995915	8.090973	1.678323	41.26212971683674	1.053431	6.000166999999999	39.293244	100.0	99.86887313249066	0.8220878886965911	39.293244	531.9	45.293411	45.293411	100.0	23.978028	19.672383999999997	82.05	17.913	74.71	1.7593839999999998													
Nac_oxy_5_1																												58.54887497158195	53.0	150.0	150	36.36363636363637	24.089361999999998	9.046980128960383	58.5589599787643	54.0	136.42927867129023	147	27.27272727272727	23.978028
Nac_oxy_5_2																												51.830867690219904	54.0	150.0	150	27.27272727272727	24.089361999999998	10.993896420613659	52.18979514019224	54.0	133.94286116856648	147	27.27272727272727	23.978028
Nac_oxy_6	0.015205002055804513	0.985273522356037	71.77210000000001	1.01	18.103749	17.962982	12.047905	2.087565	1.014811	23.03015139809866	0.5090648	6.311909	36.247212	100.0	99.89043571130381	0.510745488508192	36.247212	889.4	42.559121	42.559121	100.0	19.938349	18.143463	91.0	16.133962	80.92	2.0095009999999998													
Nac_oxy_6_1																												62.84641434687248	48.0	150.0	150	36.36363636363637	20.677059	10.365172629240938	61.89977208640729	48.0	138.5002720134952	147	18.181818181818183	19.938349
Nac_oxy_6_2																												55.48168484108007	48.0	150.0	150	27.27272727272727	20.677059	12.222663258509508	54.73068207144786	48.0	136.24112166960262	147	18.181818181818183	19.938349
Nac_oxy_7	0.06439144354052034	0.350350952184826	44.1787	0.93	20.359182	14.402158	20.639176	3.116815	0.9325519999999999	48.145170837401416	0.5475825999999999	5.015726	40.767573999999996	100.0	99.87929132108768	0.6132422792683224	40.767573999999996	539.8	45.7833	45.7833	100.0	22.773232999999998	20.408392	89.61	19.157718	84.12	1.2506739999999998													
Nac_oxy_7_1																												44.17453190684623	47.0	150.0	150	18.181818181818183	22.879468	16.288093936449922	44.05333107221612	47.0	125.48011211232064	142	18.181818181818183	22.773232999999998
Nac_oxy_7_2																												37.12460625087065	48.0	150.0	150	9.090909090909092	22.879468	17.8659264280096	37.17388101551563	47.0	123.59785299259003	137	18.181818181818183	22.773232999999998
Nac_oxy_8	0.0747941078038677	0.599557738499653	58.784400000000005	1.03	19.360521	17.233836	15.545442	2.4670829999999997	0.9641839999999999	33.98379876556267	0.547242	6.394101999999999	38.773196999999996	100.0	99.86548697544852	0.7210934914652511	38.773196999999996	715.1	45.167299	45.167299	100.0	23.192446	19.412675999999998	83.71000000000001	17.718049	76.4	1.6946269999999999													
Nac_oxy_8_1																												54.99947185907071	49.0	150.0	150	36.36363636363637	23.320166999999998	16.69725509827324	54.97753346236412	50.0	124.84177018241198	142	27.27272727272727	23.192446
Nac_oxy_8_2																												46.62229744707969	50.0	150.0	150	18.181818181818183	23.320166999999998	18.380469630999354	46.804858842511706	50.0	122.91613758635032	137	18.181818181818183	23.192446
