Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Nac_Sal_1	Unknown Library	38255.0	20960558.0	7648964.0	0.0	31498.0	15441250.0	0.0	0.73676	5658625.0
Nac_Sal_2	Unknown Library	40907.0	15790626.0	5146867.0	0.0	30006.0	10172239.0	0.0	0.64431	6068072.0
Nac_Sal_3	Unknown Library	76110.0	15794889.0	7979900.0	0.0	69944.0	13892200.0	0.0	0.879632	1903162.0
Nac_Sal_4	Unknown Library	87468.0	23315877.0	7523964.0	0.0	57263.0	7254734.0	0.0	0.311793	29207288.0
Nac_Sal_5	Unknown Library	46675.0	19748688.0	4997257.0	0.0	21014.0	4549912.0	0.0	0.23065	35986655.0
Nac_Sal_6	Unknown Library	51391.0	24932729.0	8410681.0	0.0	40505.0	14866192.0	0.0	0.59645	11316362.0
Nac_Sal_7	Unknown Library	51894.0	21723793.0	12832175.0	0.0	47454.0	17683421.0	0.0	0.814131	4059624.0
Nac_Sal_8	Unknown Library	76207.0	21006164.0	8119571.0	0.0	62687.0	14268274.0	0.0	0.679502	7107949.0
Nac_oxy_1	Unknown Library	20993.0	7345042.0	2521991.0	0.0	10692.0	2859520.0	0.0	0.389484	6781028.0
Nac_oxy_2	Unknown Library	65556.0	19906303.0	8982569.0	0.0	36174.0	6380887.0	0.0	0.320926	23983029.0
Nac_oxy_3	Unknown Library	125811.0	21053864.0	6106814.0	0.0	64985.0	5544919.0	0.0	0.264122	32591657.0
Nac_oxy_4	Unknown Library	77236.0	19067269.0	3585758.0	0.0	35922.0	4827416.0	0.0	0.253606	30988135.0
Nac_oxy_5	Unknown Library	51524.0	19620860.0	6000167.0	0.0	35852.0	9898545.0	0.0	0.504742	12127335.0
Nac_oxy_6	Unknown Library	39714.0	18103749.0	6311909.0	0.0	33603.0	12990892.0	0.0	0.717721	5284760.0
Nac_oxy_7	Unknown Library	49210.0	20359182.0	5015726.0	0.0	34603.0	8987985.0	0.0	0.441787	15603115.0
Nac_oxy_8	Unknown Library	52155.0	19360521.0	6394102.0	0.0	42213.0	11375197.0	0.0	0.587844	9051368.0
