Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
Nac_Sal_1	49608335	0	30913998	7648964	0	452332	10593041	5299608	5293433	5296539	5296502	8349551	2243490	10586562	0	21.353349190211684	21.340288884922263
Nac_Sal_2	36769026	0	20374484	5146867	0	465196	10782479	5396317	5386162	5391170	5391309	9266841	1515638	10771962	0	29.324896993464012	29.296294114508225
Nac_Sal_3	39645788	0	27854344	7979900	0	420725	3390819	1698364	1692455	1695377	1695442	2912080	478739	3384824	0	8.552784976805103	8.537663572231178
Nac_Sal_4	54243186	0	14566731	7523964	0	1051500	31100991	15564815	15536176	15550197	15550794	23341340	7759651	31071580	0	57.33621730847447	57.281996673278
Nac_Sal_5	44541308	0	9120838	4997257	0	903927	29519286	14771558	14747728	14759554	14759732	25999022	3520264	29494228	0	66.27395405631106	66.21769616644396
Nac_Sal_6	58327530	0	29772889	8410681	0	721368	19422592	9716213	9706379	9711186	9711406	14670886	4751706	19412184	0	33.29918479318428	33.28134073224085
Nac_Sal_7	56331655	0	35414296	12832175	0	703375	7381809	3692964	3688845	3690865	3690944	6192125	1189684	7377502	0	13.104193370494796	13.09654758057437
Nac_Sal_8	50208106	0	28599235	8119571	0	692094	12797206	6404929	6392277	6398465	6398741	9849237	2947969	12784210	0	25.488326526397948	25.46244225982155
Nac_oxy_1	17233068	0	5729732	2521991	0	406445	8574900	4292181	4282719	4287522	4287378	7647378	927522	8564946	0	49.75840633832583	49.70064529426798
Nac_oxy_2	48860731	0	12797948	8982569	0	950825	26129389	13078619	13050770	13064446	13064943	20989877	5139512	26100634	0	53.47727810294119	53.418427161885894
Nac_oxy_3	48340353	0	11154823	6106814	0	903665	30175051	15116725	15058326	15087126	15087925	24355362	5819689	30115568	0	62.422074162346306	62.29902375764612
Nac_oxy_4	41797532	0	9690754	3585758	0	762116	27758904	13899155	13859749	13879134	13879770	23803690	3955214	27718438	0	66.41278245806474	66.31596812941012
Nac_oxy_5	45293411	0	19832942	6000167	0	755991	18704311	9359435	9344876	9352028	9352283	15596956	3107355	18689026	0	41.2958763472241	41.26212971683674
Nac_oxy_6	42559121	0	26015387	6311909	0	424604	9807221	4906335	4900886	4903618	4903603	7625588	2181633	9801430	0	23.04375835205807	23.03015139809866
Nac_oxy_7	45783300	0	18010573	5015726	0	700458	22056543	11034956	11021587	11028268	11028275	19240679	2815864	22042448	0	48.17595717215666	48.145170837401416
Nac_oxy_8	45167299	0	22792607	6394102	0	621546	15359044	7684022	7675022	7679517	7679527	12604411	2754633	15349564	0	34.00478740161106	33.98379876556267
