Sample	pe_sense	pe_antisense	failed
Nac_Sal_1	0.0104	0.9299	0.0597
Nac_Sal_2	0.0155	0.9239	0.0606
Nac_Sal_3	0.0557	0.8956	0.0487
Nac_Sal_4	0.0102	0.9551	0.0347
Nac_Sal_5	0.0139	0.9452	0.0409
Nac_Sal_6	0.0106	0.9166	0.0727
Nac_Sal_7	0.0935	0.8565	0.0501
Nac_Sal_8	0.0121	0.925	0.0629
Nac_oxy_1	0.0123	0.9344	0.0533
Nac_oxy_2	0.0167	0.9509	0.0325
Nac_oxy_3	0.0101	0.9544	0.0355
Nac_oxy_4	0.0124	0.951	0.0366
Nac_oxy_5	0.0105	0.9337	0.0558
Nac_oxy_6	0.0127	0.9319	0.0554
Nac_oxy_7	0.0143	0.9573	0.0285
Nac_oxy_8	0.0139	0.9359	0.0502
