Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
Nac_Sal_1	2703096	2644264	31895	25786	149852	134594	9067	6191	97.82353271951865	1.1799432946517623	0.9539431821881279	89.81795371433148	6.050636628139765	4.131409657528762
Nac_Sal_2	1778824	1731375	20868	25385	140449	127845	6664	5940	97.33256353635885	1.1731346102818492	1.4270664214109996	91.02592400088288	4.744782803722348	4.22929319539477
Nac_Sal_3	559078	460078	5018	91125	91505	86349	2267	2889	82.292274065515	0.8975491791842998	16.29915682606005	94.36533522758319	2.477460248073876	3.157204524342932
Nac_Sal_4	9490416	9297829	113306	74854	203955	164076	24593	15286	97.97072119915502	1.193899192617057	0.7887325487101936	80.44715746120468	12.058052021279202	7.494790517516119
Nac_Sal_5	4135488	4031278	50057	52190	167149	143752	12418	10979	97.48010392002104	1.2104254685299534	1.2620034201525914	86.00230931683708	7.429299606937523	6.568391076225404
Nac_Sal_6	5811325	5689575	67933	50680	183758	155342	17421	10995	97.90495282917408	1.168976094092139	0.8720902720119766	84.53618345867935	9.480403574266154	5.9834129670544955
Nac_Sal_7	1436349	1345584	15102	69172	129414	119229	5697	4488	93.6808533302143	1.0514157770848171	4.815821224507414	92.12990866521396	4.402151235569567	3.4679400992164684
Nac_Sal_8	3547620	3443795	40839	60337	160186	141686	11344	7156	97.07339004741206	1.1511661339151318	1.7007740400606604	88.45092579875895	7.081767445344787	4.467306755896271
Nac_oxy_1	1083103	1052158	11961	18268	118084	109450	4166	4468	97.14293100471517	1.1043271046243985	1.6866355277383591	92.68825581789235	3.5279970190711696	3.783747163036483
Nac_oxy_2	6153101	6008128	76535	65999	182457	153709	17237	11511	97.64390345615975	1.2438443640044266	1.0726136301029352	84.2439588505785	9.447157412431423	6.308883736990086
Nac_oxy_3	7157785	6998281	88673	66905	193796	158932	20915	13949	97.77160113079675	1.2388329629906458	0.9347165359115983	82.00994860575037	10.792276414373877	7.197774979875746
Nac_oxy_4	4816188	4706470	57278	50435	175308	149208	15163	10937	97.72189125507559	1.18928081711096	1.0471974931211157	85.11191731124649	8.649348575079289	6.238734113674219
Nac_oxy_5	3788250	3684672	42762	57483	165346	144753	12553	8040	97.26580875074242	1.1288061769946547	1.5174024945555336	87.54551062620203	7.5919586805849555	4.86253069321302
Nac_oxy_6	2676592	2620436	31220	24172	152345	136095	9757	6493	97.90195890894093	1.1664086270899712	0.9030887038442915	89.33342085398273	6.404542321704026	4.2620368243132365
Nac_oxy_7	3347039	3264332	40751	40124	162031	141753	11050	9228	97.52895021539935	1.2175239069517863	1.1987909313276601	87.48511087384513	6.819682653319427	5.695206472835445
Nac_oxy_8	3272807	3199357	38139	33742	158501	139973	10602	7926	97.75574911688956	1.1653299446010719	1.0309804397265099	88.31048384552778	6.688916789168522	5.000599365303689
