Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
Nac_Sal_1	11045373	13930328	13445049	74244259	7282413	98.09	4624675	187423	40.53	24606306	1806149	73.4	1007265330	3867190	3.84	30156312	22865	0.76	0.37	0.3	31556701	68131	2.16	1.33	0.92	485279	52.27739791913012	1.345431349498734	12.965588462812935	27.760940015195622	0.16413827441823337	0.36617228251911943	0.5365487445808886	0.4890839612678179	1.3219071367163788	1.6304784783244157	3.483615030457287	111645395	107505217	23734	28144	108148470	106598443	42985	116015
Nac_Sal_2	11247675	13219645	12593865	74244259	5388974	72.58	4624675	133768	28.92	24606306	1365983	55.51	1007265330	5369916	5.33	30156312	23378	0.78	0.44	0.38	31556701	61644	1.95	1.36	0.98	625780	40.76489194679585	1.0118879894278554	10.332977927924691	40.62072771243101	0.17684287286080677	0.4543692360876559	0.7128860116894213	0.46630601653826553	1.4244860584380292	1.8229158196002995	4.733712592130878	111645395	107505217	34175	36688	108148470	106598443	52671	126668
Nac_Sal_3	3811544	4603379	4208875	74244259	2127260	28.65	4624675	30393	6.57	24606306	463438	18.83	1007265330	1313706	1.3	30156312	5134	0.17	0.09	0.1	31556701	23932	0.76	1.58	1.01	394504	46.21083773462928	0.6602324075423727	10.067344009693748	28.537863165296624	0.11152677196468073	0.2638713866488073	0.5568301024095561	0.5198789845459173	4.746774054450003	5.3970138022526495	8.56987877817577	111645395	107505217	13486	7013	108148470	106598443	29933	194580
Nac_Sal_4	32152491	42197073	41042355	74244259	24275050	326.96	4624675	554943	120.0	24606306	6357371	258.36	1007265330	8966011	8.9	30156312	63745	2.11	1.04	0.81	31556701	217835	6.9	4.14	2.79	1154718	57.527805305358505	1.3151220228000173	15.065905163611703	21.247945325496868	0.15106498026533738	0.3393576611344583	0.48057598686998976	0.5162324884477176	1.3549541694515161	1.6261578143109596	2.736488381551962	111645395	107505217	59590	79454	108148470	106598443	114440	353916
Nac_Sal_5	30423213	35009222	33232528	74244259	12338296	166.19	4624675	267607	57.87	24606306	3455609	140.44	1007265330	16296700	16.18	30156312	48590	1.61	1.08	0.99	31556701	161268	5.11	3.47	2.55	1776694	35.24298826177857	0.7643900227202992	9.870567817816688	46.54973480987381	0.13879200171886139	0.42486234055701094	0.7041458961870104	0.4606443410824725	1.3696134121460912	1.793241792119802	5.074931399503822	111645395	107505217	97775	100151	108148470	106598443	148309	318223
Nac_Sal_6	20143960	26311365	25519645	74244259	14984271	201.82	4624675	372519	80.55	24606306	3399175	138.14	1007265330	6205760	6.16	30156312	43885	1.46	0.72	0.57	31556701	123818	3.92	2.48	1.69	791720	56.949804770676096	1.4158102401756807	12.919037077703873	23.585853489547198	0.16679104257798863	0.3793189748992498	0.5414808391734902	0.4705875198797174	1.3023915710948482	1.5789716725072986	3.0090419102163644	111645395	107505217	42667	55919	108148470	106598443	72772	218859
Nac_Sal_7	8085184	9894960	9259822	74244259	5094297	68.62	4624675	82967	17.94	24606306	1005512	40.86	1007265330	2706943	2.69	30156312	10706	0.36	0.19	0.18	31556701	39949	1.27	2.02	1.32	635138	51.483755366368335	0.838477366255144	10.161860179323615	27.35678567674857	0.10819649599392014	0.2601021125906522	0.46527727247002515	0.4037307881992449	2.8242458787099696	3.275041030989514	6.418803107844802	111645395	107505217	20302	15031	108148470	106598443	44606	239509
Nac_Sal_8	13489300	17332170	16698174	74244259	9882191	133.1	4624675	235456	50.91	24606306	2286960	92.94	1007265330	3814714	3.79	30156312	29012	0.96	0.45	0.36	31556701	84037	2.66	2.42	1.58	633996	57.01646706673198	1.358491175657751	13.194885579820644	22.009442556817753	0.16738815739748686	0.35650469618057057	0.5240197851740435	0.4848613878123743	1.9263081310649504	2.238779102674391	3.6579147331234343	111645395	107505217	29034	32778	108148470	106598443	54158	249834
Nac_oxy_1	8981345	10221293	9653445	74244259	3526574	47.5	4624675	76821	16.61	24606306	1023519	41.6	1007265330	4734645	4.7	30156312	17592	0.58	0.35	0.33	31556701	49021	1.55	1.18	0.85	567848	34.502229805955075	0.7515781026920958	10.013596127221868	46.32139006288148	0.1721112974650076	0.4760356639810639	0.8011608707430655	0.4795968572664926	1.5923621404845747	2.0545052372532515	5.555539793253163	111645395	107505217	33232	31065	108148470	106598443	47237	113739
Nac_oxy_2	27080214	33638599	32477839	74244259	16736289	225.42	4624675	410163	88.69	24606306	4183874	170.03	1007265330	10407647	10.33	30156312	54398	1.8	0.92	0.75	31556701	163627	5.19	3.24	2.24	1160760	49.75322842666545	1.219322481295966	12.437717753940941	30.93959709796475	0.1617130368598288	0.3782737800703293	0.5574964641066056	0.4864263223328653	1.3287206164561134	1.6419589888389823	3.4506787871873024	111645395	107505217	60288	72848	108148470	106598443	105369	283336
