Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Nac_Sal_1	49608335	0	7648964	0	0	0	30913998	0	49608335	0	100.0	nan	41959371	0	20996789	0	20962582	0	41921116	0	99.91	nan	41921116	0	38255	0	0.09	nan	0	0	0	0	49608335
Nac_Sal_2	36769026	0	5146867	0	0	0	20374484	0	36769026	0	100.0	nan	31622159	0	15830821	0	15791338	0	31581252	0	99.87	nan	31581252	0	40907	0	0.13	nan	0	0	0	0	36769026
Nac_Sal_3	39645788	0	7979900	0	0	0	0	0	39645788	0	100.0	nan	31665888	0	15870714	0	15795174	0	31589778	0	99.76	nan	31589778	0	76110	0	0.24	nan	0	0	0	0	39645788
Nac_Sal_4	54243186	0	7523964	0	0	0	0	0	54243186	0	100.0	nan	46719222	0	23401598	0	23317624	0	46631754	0	99.81	nan	46631754	0	87468	0	0.19	nan	0	0	0	0	54243186
Nac_Sal_5	44541308	0	4997257	0	0	0	0	0	44541308	0	100.0	nan	39544051	0	19792910	0	19751141	0	39497376	0	99.88	nan	39497376	0	46675	0	0.12	nan	0	0	0	0	44541308
Nac_Sal_6	58327530	0	8410681	0	0	0	0	0	58327530	0	100.0	nan	49916849	0	24982202	0	24934647	0	49865458	0	99.9	nan	49865458	0	51391	0	0.1	nan	0	0	0	0	58327530
Nac_Sal_7	56331655	0	12832175	0	0	0	0	0	56331655	0	100.0	nan	43499480	0	21775403	0	21724077	0	43447586	0	99.88	nan	43447586	0	51894	0	0.12	nan	0	0	0	0	56331655
Nac_Sal_8	50208106	0	8119571	0	0	0	0	0	50208106	0	100.0	nan	42088535	0	21081044	0	21007491	0	42012328	0	99.82	nan	42012328	0	76207	0	0.18	nan	0	0	0	0	50208106
Nac_oxy_1	17233068	0	2521991	0	0	0	0	0	17233068	0	100.0	nan	14711077	0	7365432	0	7345645	0	14690084	0	99.86	nan	14690084	0	20993	0	0.14	nan	0	0	0	0	17233068
Nac_oxy_2	48860731	0	8982569	0	0	0	12797948	0	48860731	0	100.0	nan	39878162	0	19969597	0	19908565	0	39812606	0	99.84	nan	39812606	0	65556	0	0.16	nan	0	0	0	0	48860731
Nac_oxy_3	48340353	0	6106814	0	0	0	0	0	48340353	0	100.0	nan	42233539	0	21178203	0	21055336	0	42107728	0	99.7	nan	42107728	0	125811	0	0.3	nan	0	0	0	0	48340353
Nac_oxy_4	41797532	0	3585758	0	0	0	9690754	0	41797532	0	100.0	nan	38211774	0	19143190	0	19068584	0	38134538	0	99.8	nan	38134538	0	77236	0	0.2	nan	0	0	0	0	41797532
Nac_oxy_5	45293411	0	6000167	0	0	0	19832942	0	45293411	0	100.0	nan	39293244	0	19671679	0	19621565	0	39241720	0	99.87	nan	39241720	0	51524	0	0.13	nan	0	0	0	0	45293411
Nac_oxy_6	42559121	0	6311909	0	0	0	0	0	42559121	0	100.0	nan	36247212	0	18142218	0	18104994	0	36207498	0	99.89	nan	36207498	0	39714	0	0.11	nan	0	0	0	0	42559121
Nac_oxy_7	45783300	0	5015726	0	0	0	0	0	45783300	0	100.0	nan	40767574	0	20406795	0	20360779	0	40718364	0	99.88	nan	40718364	0	49210	0	0.12	nan	0	0	0	0	45783300
Nac_oxy_8	45167299	0	6394102	0	0	0	0	0	45167299	0	100.0	nan	38773197	0	19411214	0	19361983	0	38721042	0	99.87	nan	38721042	0	52155	0	0.13	nan	0	0	0	0	45167299
