Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
Nac_Sal_1	41959371.0	0.0	41959371.0	1.0	20996789.0	20962582.0	41959371.0	41921116.0	0.0	41921116.0	41959371.0	0.0	388163.0	0.0	7648964.0	0.0	5667252321.0	2847359640.0	2819892681.0	5667252321.0	5634653532.0	0.0	0.0	25266178.0	0.00448407	135.0	136.0	135.0	150.0	150.0	150.0	38.2	762.5	1724.4	15580086.0	5380472.0	0.0	0.0	99.9	100.0	99.90882847123709	0.0	99.90882847123709	100.0	0.0	0.9250925138987426	0.0	41571208.0
Nac_Sal_2	31622159.0	0.0	31622159.0	1.0	15830821.0	15791338.0	31622159.0	31581252.0	0.0	31581252.0	31622159.0	20374484.0	230724.0	0.0	5146867.0	0.0	3913618829.0	1969532073.0	1944086756.0	3913618829.0	3883163615.0	0.0	2561472492.0	20948573.0	0.005394718	124.0	124.0	123.0	150.0	150.0	150.0	38.0	551.9	1446.0	10941357.0	4849269.0	0.0	0.0	99.9	100.0	99.87063818128294	0.0	99.87063818128294	100.0	64.43103394679662	0.7296276006960815	0.0	31391435.0
Nac_Sal_3	31665888.0	0.0	31665888.0	1.0	15870714.0	15795174.0	31665888.0	31589778.0	0.0	31589778.0	31665888.0	27854344.0	543956.0	0.0	7979900.0	0.0	4104325138.0	2072585449.0	2031739689.0	4104325138.0	3914866744.0	0.0	3614680559.0	66895554.0	0.01708757	130.0	131.0	129.0	150.0	150.0	150.0	37.8	568.9	1623.6	13142272.0	2652617.0	0.0	0.0	99.8	100.0	99.75964672141832	0.0	99.75964672141832	100.0	87.96324928579297	1.7177980292231185	0.0	31121932.0
Nac_Sal_4	46719222.0	0.0	46719222.0	1.0	23401598.0	23317624.0	46719222.0	46631754.0	0.0	46631754.0	46719222.0	14566731.0	202623.0	0.0	7523964.0	0.0	6399479470.0	3234655729.0	3164823741.0	6399479470.0	6350037625.0	0.0	2000981480.0	38481028.0	0.006059969	137.0	138.0	136.0	150.0	150.0	150.0	37.4	950.1	1927.3	19153782.0	4162095.0	0.0	0.0	99.8	100.0	99.81277941657505	0.0	99.81277941657505	100.0	31.17930987806261	0.4337037119325317	0.0	46516599.0
Nac_Sal_5	39544051.0	0.0	39544051.0	1.0	19792910.0	19751141.0	39544051.0	39497376.0	0.0	39497376.0	39544051.0	0.0	266648.0	0.0	4997257.0	0.0	4816585344.0	2420019356.0	2396565988.0	4816585344.0	4777686273.0	0.0	0.0	23105483.0	0.004836124	122.0	122.0	121.0	150.0	150.0	150.0	38.1	478.1	1327.2	13222459.0	6526229.0	0.0	0.0	99.9	100.0	99.88196707514867	0.0	99.88196707514867	100.0	0.0	0.6743062312963334	0.0	39277403.0
Nac_Sal_6	49916849.0	0.0	49916849.0	1.0	24982202.0	24934647.0	49916849.0	49865458.0	0.0	49865458.0	49916849.0	0.0	252516.0	0.0	8410681.0	0.0	6941327599.0	3494288836.0	3447038763.0	6941327599.0	6893647367.0	0.0	0.0	35597161.0	0.005163763	139.0	140.0	138.0	150.0	150.0	150.0	37.8	897.7	1867.0	20837928.0	4094801.0	0.0	0.0	99.9	100.0	99.8970467867473	0.0	99.8970467867473	100.0	0.0	0.5058732773777447	0.0	49664333.0
Nac_Sal_7	43499480.0	0.0	43499480.0	1.0	21775403.0	21724077.0	43499480.0	43447586.0	0.0	43447586.0	43499480.0	0.0	561659.0	0.0	12832175.0	0.0	5738348768.0	2890137386.0	2848211382.0	5738348768.0	5572866086.0	0.0	0.0	75383296.0	0.01352684	132.0	133.0	131.0	150.0	150.0	150.0	37.8	253.8	411.7	15173343.0	6550450.0	0.0	0.0	99.9	100.0	99.88070202218509	0.0	99.88070202218509	100.0	0.0	1.2911855498042735	0.0	42937821.0
Nac_Sal_8	42088535.0	0.0	42088535.0	1.0	21081044.0	21007491.0	42088535.0	42012328.0	0.0	42012328.0	42088535.0	0.0	393352.0	0.0	8119571.0	0.0	5536503821.0	2797171245.0	2739332576.0	5536503821.0	5434539426.0	0.0	0.0	48594882.0	0.008941858	132.0	133.0	130.0	150.0	150.0	150.0	37.5	787.2	1798.7	16409560.0	4596604.0	0.0	0.0	99.8	100.0	99.81893643957909	0.0	99.81893643957909	100.0	0.0	0.9345823037081239	0.0	41695183.0
Nac_oxy_1	14711077.0	0.0	14711077.0	1.0	7365432.0	7345645.0	14711077.0	14690084.0	0.0	14690084.0	14711077.0	0.0	144198.0	0.0	2521991.0	0.0	1748195743.0	878683966.0	869511777.0	1748195743.0	1726477362.0	0.0	0.0	10131882.0	0.005868529	119.0	119.0	118.0	150.0	150.0	150.0	38.2	434.3	1263.1	4860575.0	2484467.0	0.0	0.0	99.9	100.0	99.85729800748103	0.0	99.85729800748103	100.0	0.0	0.9802001580169827	0.0	14566879.0
Nac_oxy_2	39878162.0	0.0	39878162.0	1.0	19969597.0	19908565.0	39878162.0	39812606.0	0.0	39812606.0	39878162.0	12797948.0	301910.0	0.0	8982569.0	0.0	5136738025.0	2586878434.0	2549859591.0	5136738025.0	5094413523.0	0.0	1657125138.0	26702301.0	0.005241487	129.0	130.0	128.0	150.0	150.0	150.0	37.9	708.2	1696.2	14080327.0	5825976.0	0.0	0.0	99.8	100.0	99.83560927406835	0.0	99.83560927406835	100.0	32.092622523575685	0.7570810309662718	0.0	39576252.0
Nac_oxy_3	42233539.0	0.0	42233539.0	1.0	21178203.0	21055336.0	42233539.0	42107728.0	0.0	42107728.0	42233539.0	11154823.0	256885.0	0.0	6106814.0	0.0	5949114393.0	3008699869.0	2940414524.0	5949114393.0	5901897174.0	0.0	1575296057.0	34152974.0	0.005786779	141.0	142.0	140.0	150.0	150.0	150.0	37.4	825.7	1790.1	18140489.0	2913375.0	0.0	0.0	99.7	100.0	99.70210642304923	0.0	99.70210642304923	100.0	26.4122383871264	0.608248813815958	0.0	41976654.0
