Module	Section	Sample Name	Source
Picard	DuplicationMetrics	Nac_Sal_1	/scratch/15612049/nxf.3xZ5GB01x2/177/Nac_Sal_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_2	/scratch/15612049/nxf.3xZ5GB01x2/172/Nac_Sal_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_3	/scratch/15612049/nxf.3xZ5GB01x2/175/Nac_Sal_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_4	/scratch/15612049/nxf.3xZ5GB01x2/168/Nac_Sal_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_5	/scratch/15612049/nxf.3xZ5GB01x2/167/Nac_Sal_5.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_6	/scratch/15612049/nxf.3xZ5GB01x2/171/Nac_Sal_6.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_7	/scratch/15612049/nxf.3xZ5GB01x2/170/Nac_Sal_7.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_Sal_8	/scratch/15612049/nxf.3xZ5GB01x2/179/Nac_Sal_8.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_1	/scratch/15612049/nxf.3xZ5GB01x2/173/Nac_oxy_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_2	/scratch/15612049/nxf.3xZ5GB01x2/178/Nac_oxy_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_3	/scratch/15612049/nxf.3xZ5GB01x2/180/Nac_oxy_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_4	/scratch/15612049/nxf.3xZ5GB01x2/169/Nac_oxy_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_5	/scratch/15612049/nxf.3xZ5GB01x2/174/Nac_oxy_5.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_6	/scratch/15612049/nxf.3xZ5GB01x2/165/Nac_oxy_6.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_7	/scratch/15612049/nxf.3xZ5GB01x2/176/Nac_oxy_7.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Nac_oxy_8	/scratch/15612049/nxf.3xZ5GB01x2/166/Nac_oxy_8.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	Nac_oxy_8	/scratch/15612049/nxf.3xZ5GB01x2/408/Nac_oxy_8/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_3	/scratch/15612049/nxf.3xZ5GB01x2/422/Nac_oxy_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_2	/scratch/15612049/nxf.3xZ5GB01x2/420/Nac_oxy_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_5	/scratch/15612049/nxf.3xZ5GB01x2/409/Nac_Sal_5/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_4	/scratch/15612049/nxf.3xZ5GB01x2/411/Nac_Sal_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_7	/scratch/15612049/nxf.3xZ5GB01x2/414/Nac_Sal_7/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_2	/scratch/15612049/nxf.3xZ5GB01x2/413/Nac_Sal_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_5	/scratch/15612049/nxf.3xZ5GB01x2/416/Nac_oxy_5/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_3	/scratch/15612049/nxf.3xZ5GB01x2/417/Nac_Sal_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_7	/scratch/15612049/nxf.3xZ5GB01x2/418/Nac_oxy_7/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_6	/scratch/15612049/nxf.3xZ5GB01x2/415/Nac_Sal_6/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_6	/scratch/15612049/nxf.3xZ5GB01x2/407/Nac_oxy_6/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_4	/scratch/15612049/nxf.3xZ5GB01x2/410/Nac_oxy_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_oxy_1	/scratch/15612049/nxf.3xZ5GB01x2/412/Nac_oxy_1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_8	/scratch/15612049/nxf.3xZ5GB01x2/421/Nac_Sal_8/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Nac_Sal_1	/scratch/15612049/nxf.3xZ5GB01x2/419/Nac_Sal_1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	Nac_oxy_8	/scratch/15612049/nxf.3xZ5GB01x2/408/Nac_oxy_8/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_3	/scratch/15612049/nxf.3xZ5GB01x2/422/Nac_oxy_3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_2	/scratch/15612049/nxf.3xZ5GB01x2/420/Nac_oxy_2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_5	/scratch/15612049/nxf.3xZ5GB01x2/409/Nac_Sal_5/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_4	/scratch/15612049/nxf.3xZ5GB01x2/411/Nac_Sal_4/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_7	/scratch/15612049/nxf.3xZ5GB01x2/414/Nac_Sal_7/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_2	/scratch/15612049/nxf.3xZ5GB01x2/413/Nac_Sal_2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_5	/scratch/15612049/nxf.3xZ5GB01x2/416/Nac_oxy_5/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_3	/scratch/15612049/nxf.3xZ5GB01x2/417/Nac_Sal_3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_7	/scratch/15612049/nxf.3xZ5GB01x2/418/Nac_oxy_7/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_6	/scratch/15612049/nxf.3xZ5GB01x2/415/Nac_Sal_6/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_6	/scratch/15612049/nxf.3xZ5GB01x2/407/Nac_oxy_6/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_4	/scratch/15612049/nxf.3xZ5GB01x2/410/Nac_oxy_4/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_oxy_1	/scratch/15612049/nxf.3xZ5GB01x2/412/Nac_oxy_1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_8	/scratch/15612049/nxf.3xZ5GB01x2/421/Nac_Sal_8/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Nac_Sal_1	/scratch/15612049/nxf.3xZ5GB01x2/419/Nac_Sal_1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
RSeQC	read_distribution	Nac_Sal_1	/scratch/15612049/nxf.3xZ5GB01x2/355/Nac_Sal_1.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_2	/scratch/15612049/nxf.3xZ5GB01x2/349/Nac_Sal_2.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_3	/scratch/15612049/nxf.3xZ5GB01x2/353/Nac_Sal_3.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_4	/scratch/15612049/nxf.3xZ5GB01x2/346/Nac_Sal_4.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_5	/scratch/15612049/nxf.3xZ5GB01x2/345/Nac_Sal_5.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_6	/scratch/15612049/nxf.3xZ5GB01x2/350/Nac_Sal_6.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_7	/scratch/15612049/nxf.3xZ5GB01x2/348/Nac_Sal_7.read_distribution.txt
RSeQC	read_distribution	Nac_Sal_8	/scratch/15612049/nxf.3xZ5GB01x2/357/Nac_Sal_8.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_1	/scratch/15612049/nxf.3xZ5GB01x2/351/Nac_oxy_1.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_2	/scratch/15612049/nxf.3xZ5GB01x2/356/Nac_oxy_2.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_3	/scratch/15612049/nxf.3xZ5GB01x2/358/Nac_oxy_3.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_4	/scratch/15612049/nxf.3xZ5GB01x2/347/Nac_oxy_4.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_5	/scratch/15612049/nxf.3xZ5GB01x2/352/Nac_oxy_5.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_6	/scratch/15612049/nxf.3xZ5GB01x2/343/Nac_oxy_6.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_7	/scratch/15612049/nxf.3xZ5GB01x2/354/Nac_oxy_7.read_distribution.txt
RSeQC	read_distribution	Nac_oxy_8	/scratch/15612049/nxf.3xZ5GB01x2/344/Nac_oxy_8.read_distribution.txt
