Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
Nac_Sal_1	22918450.0	269.0	19133193.0	83.48	268.95	9434245.0	9425754.0	9330917.0	85402.0	10115.0	7811.0	0.42	0.01	1.71	0.01	1.33	1865620.0	8.14	19238.0	0.08	0.0	7.89	0.4	0	1808703	91696	91.62	20998813.0
Nac_Sal_2	26628183.0	226.0	14504510.0	54.47	246.03	4740259.0	4734591.0	4679900.0	43909.0	11963.0	4487.0	0.5	0.01	1.85	0.01	1.39	1327023.0	4.98	26697.0	0.1	0.0	40.03	0.42	0	10658127	111826	59.45	15831533.0
Nac_Sal_3	24322504.0	255.0	13483045.0	55.43	249.61	2754444.0	2748750.0	2272333.0	466515.0	12450.0	3146.0	1.51	0.04	3.79	0.16	4.37	2387954.0	9.82	4348.0	0.02	0.0	34.63	0.1	0	8422835	24322	65.25	15870999.0
Nac_Sal_4	24741935.0	273.0	20962111.0	84.72	272.27	12146842.0	12133150.0	11998581.0	125073.0	13637.0	9551.0	0.57	0.01	1.84	0.01	1.39	2441234.0	9.87	17103.0	0.07	0.0	5.01	0.34	0	1237505	83982	94.59	23403345.0
Nac_Sal_5	26880716.0	231.0	18625373.0	69.29	241.94	5092267.0	5083771.0	5035121.0	45146.0	7089.0	4911.0	0.45	0.01	1.83	0.01	1.33	1169990.0	4.35	34946.0	0.13	0.0	25.66	0.56	0	6899826	150581	73.64	19795363.0
Nac_Sal_6	27047561.0	276.0	22271567.0	82.34	276.7	12839203.0	12827015.0	12687253.0	127655.0	15445.0	8850.0	0.48	0.01	1.88	0.01	1.43	2712553.0	10.03	22282.0	0.08	0.0	7.15	0.39	0	1935582	105577	92.37	24984120.0
Nac_Sal_7	26256858.0	264.0	17965599.0	68.42	258.09	2709273.0	2704533.0	2655827.0	47091.0	1925.0	4430.0	1.14	0.11	5.1	0.07	3.24	3810088.0	14.51	5897.0	0.02	0.0	16.84	0.21	0	4420153	55121	82.93	21775687.0
Nac_Sal_8	24752886.0	261.0	18628685.0	75.26	259.47	8682522.0	8674259.0	8435392.0	228480.0	12254.0	6396.0	0.81	0.01	2.57	0.05	3.91	2453686.0	9.91	20529.0	0.08	0.0	14.5	0.24	0	3590556	59430	85.17	21082371.0
Nac_oxy_1	26067702.0	199.0	6804328.0	26.1	235.61	1648674.0	1644876.0	1623580.0	18541.0	4501.0	2052.0	0.54	0.01	2.08	0.01	1.71	561707.0	2.15	18145.0	0.07	0.0	71.39	0.29	0	18607933	75589	28.25	7366035.0
Nac_oxy_2	22872438.0	253.0	17344982.0	75.83	255.93	7932727.0	7922594.0	7829087.0	89082.0	8850.0	5708.0	0.49	0.01	1.72	0.01	1.39	2626877.0	11.48	27547.0	0.12	0.0	12.15	0.41	0	2779247	93785	87.31	19971859.0
Nac_oxy_3	23176739.0	280.0	19311219.0	83.32	279.13	9020161.0	9009000.0	8917177.0	83554.0	12457.0	6973.0	0.55	0.01	1.67	0.01	1.3	1868456.0	8.06	19028.0	0.08	0.0	8.08	0.45	0	1873685	104351	91.38	21179675.0
Nac_oxy_4	21392557.0	272.0	18163640.0	84.91	273.22	6191956.0	6184082.0	6125391.0	55107.0	6819.0	4639.0	0.53	0.01	1.72	0.01	1.31	980865.0	4.59	19651.0	0.09	0.0	9.94	0.48	0	2125749	102652	89.5	19144505.0
Nac_oxy_5	23978028.0	270.0	17913000.0	74.71	266.32	4932282.0	4925847.0	4841987.0	81309.0	5462.0	3524.0	0.88	0.05	4.28	0.07	2.8	1759384.0	7.34	12355.0	0.05	0.0	17.65	0.26	0	4230963	62326	82.05	19672384.0
Nac_oxy_6	19938349.0	275.0	16133962.0	80.92	277.14	8638034.0	8631060.0	8537967.0	84590.0	9173.0	6304.0	0.48	0.01	1.66	0.01	1.36	2009501.0	10.08	14662.0	0.07	0.0	8.52	0.41	0	1698489	81735	91.0	18143463.0
Nac_oxy_7	22773233.0	249.0	19157718.0	84.12	252.67	5691024.0	5683860.0	5628540.0	51313.0	6896.0	4275.0	0.52	0.01	1.94	0.01	1.6	1250674.0	5.49	26021.0	0.11	0.0	9.71	0.56	0	2211289	127531	89.61	20408392.0
Nac_oxy_8	23192446.0	248.0	17718049.0	76.4	254.84	7555906.0	7548412.0	7469754.0	71052.0	9458.0	5642.0	0.52	0.01	1.85	0.01	1.36	1694627.0	7.31	26125.0	0.11	0.0	15.68	0.5	0	3637649	115996	83.71000000000001	19412676.0
