Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Nonoptical	Duplicate Unpaired
Nac_Sal_1	11038616.0	6757.0	30882500.0	31498.0
Nac_Sal_2	11236774.0	10901.0	20344478.0	30006.0
Nac_Sal_3	3805378.0	6166.0	27784400.0	69944.0
Nac_Sal_4	32122286.0	30205.0	14509468.0	57263.0
Nac_Sal_5	30397552.0	25661.0	9099824.0	21014.0
Nac_Sal_6	20133074.0	10886.0	29732384.0	40505.0
Nac_Sal_7	8080744.0	4440.0	35366842.0	47454.0
Nac_Sal_8	13475780.0	13520.0	28536548.0	62687.0
Nac_oxy_1	8971044.0	10301.0	5719040.0	10692.0
Nac_oxy_2	27050832.0	29382.0	12761774.0	36174.0
Nac_oxy_3	31017890.0	60826.0	11089838.0	64985.0
Nac_oxy_4	28479706.0	41314.0	9654832.0	35922.0
Nac_oxy_5	19444630.0	15672.0	19797090.0	35852.0
Nac_oxy_6	10225714.0	6111.0	25981784.0	33603.0
Nac_oxy_7	22742394.0	14607.0	17975970.0	34603.0
Nac_oxy_8	15970648.0	9942.0	22750394.0	42213.0
