Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Nac_Sal_1	(0, 23251.270516412165)	(1, 25321.580443398794)	(2, 27254.304468702885)	(3, 29103.328115692468)	(4, 30927.859978886318)	(5, 32898.60031293342)	(6, 34828.251594119574)	(7, 36815.55955618977)	(8, 38364.19286604678)	(9, 39782.241749259534)	(10, 41000.78953277474)	(11, 42883.2632201192)	(12, 43682.27560664941)	(13, 44449.10077626037)	(14, 45239.10758331826)	(15, 45820.4400161591)	(16, 46050.30175485146)	(17, 46623.31835310793)	(18, 46801.078591779966)	(19, 47028.40473052438)	(20, 47382.85758314034)	(21, 47583.37805871382)	(22, 47956.618474317234)	(23, 48330.73909840274)	(24, 48605.87362902478)	(25, 48964.35044781852)	(26, 49477.591280731176)	(27, 49717.17339245241)	(28, 49760.53763670389)	(29, 49781.107311615495)	(30, 49822.92086517942)	(31, 50063.00436433818)	(32, 50162.69497667485)	(33, 50160.62208512467)	(34, 50250.98820115158)	(35, 50267.15163714024)	(36, 50256.837103680424)	(37, 50224.50647637927)	(38, 50080.731881480395)	(39, 50052.1011392781)	(40, 49982.83706078809)	(41, 49857.35117018236)	(42, 49841.0195355639)	(43, 49910.72941952563)	(44, 49770.21404194585)	(45, 49379.470503367025)	(46, 48699.31483638756)	(47, 48602.312984186196)	(48, 48275.525027249525)	(49, 48141.13495510194)	(50, 48103.42733021664)	(51, 47982.538412918286)	(52, 47707.16968378972)	(53, 47519.33284542714)	(54, 47251.36765864093)	(55, 47073.612037586914)	(56, 46855.047778613254)	(57, 46787.94941335779)	(58, 46740.28981219218)	(59, 46486.206142858384)	(60, 46464.10258305251)	(61, 46295.316060477955)	(62, 46083.630616168506)	(63, 45904.90542650927)	(64, 45737.737996251184)	(65, 45328.90386499976)	(66, 44984.46938241793)	(67, 44658.719817359095)	(68, 44400.20741297025)	(69, 44291.59737759591)	(70, 43818.81186616084)	(71, 43747.67375723128)	(72, 43671.31196070522)	(73, 43557.18351958542)	(74, 43474.73831162982)	(75, 43359.20656136614)	(76, 43023.3286304041)	(77, 42699.822759094815)	(78, 42342.91781158443)	(79, 42209.466370736816)	(80, 41929.63680846062)	(81, 41550.26104112883)	(82, 41148.27297942489)	(83, 40750.25825496897)	(84, 40092.350109880565)	(85, 39438.976755715754)	(86, 38453.2835716375)	(87, 37556.071389823206)	(88, 36452.506792074164)	(89, 35072.91853384464)	(90, 33392.21162067191)	(91, 31411.335370340086)	(92, 29272.564250990643)	(93, 26872.402330204757)	(94, 24176.571713225265)	(95, 21399.692812072324)	(96, 18042.67460350575)	(97, 13783.812599652969)	(98, 8542.430012004617)	(99, 2771.8822730509114)
Nac_Sal_2	(0, 11918.638060825611)	(1, 12999.553159761826)	(2, 14033.830360098858)	(3, 14975.366079518537)	(4, 15958.843043406858)	(5, 16935.01481208059)	(6, 17837.47393788563)	(7, 18774.87028038878)	(8, 19510.836055061776)	(9, 20206.844103153046)	(10, 20819.8520150647)	(11, 21897.78788764488)	(12, 22369.596542576983)	(13, 22852.191136018813)	(14, 23308.591332107273)	(15, 23676.3540990153)	(16, 23837.728427368635)	(17, 24206.463299485014)	(18, 24340.786486558536)	(19, 24450.74568165394)	(20, 24595.832021906797)	(21, 24684.937770445908)	(22, 24773.773892128705)	(23, 24872.931355832312)	(24, 24957.198552113172)	(25, 25110.072677640317)	(26, 25334.856214718624)	(27, 25360.301163011645)	(28, 25385.860303610607)	(29, 25343.60118833691)	(30, 25337.663335193854)	(31, 25450.736256954697)	(32, 25492.962647172317)	(33, 25462.72925009403)	(34, 25415.400058778112)	(35, 25460.93657569357)	(36, 25452.902845708377)	(37, 25389.204048079275)	(38, 25221.411323741824)	(39, 25114.260591962076)	(40, 25053.878234372467)	(41, 25022.648513163716)	(42, 25112.538006451137)	(43, 25183.332331269732)	(44, 25169.7997998589)	(45, 25026.101421036026)	(46, 24770.6314379)	(47, 24752.83155066369)	(48, 24591.617356565483)	(49, 24505.495710419946)	(50, 24441.597546920853)	(51, 24319.228617062538)	(52, 24120.872394617883)	(53, 23985.09140178324)	(54, 23746.43320054019)	(55, 23668.342654112716)	(56, 23560.59759976012)	(57, 23521.249867692448)	(58, 23470.075524752257)	(59, 23325.41583167632)	(60, 23311.603518963122)	(61, 23343.524152015103)	(62, 23252.611909087507)	(63, 23169.828285942785)	(64, 23071.233959159934)	(65, 22845.27696168877)	(66, 22765.58324021331)	(67, 22649.02945708219)	(68, 22562.685721662237)	(69, 22540.253124316918)	(70, 22429.450491562773)	(71, 22406.53932376601)	(72, 22375.922569398863)	(73, 22268.432717106803)	(74, 22194.466456199836)	(75, 22150.226139912676)	(76, 21984.975303695166)	(77, 21796.666735503914)	(78, 21554.988156516134)	(79, 21490.534856232378)	(80, 21353.238812623204)	(81, 21184.038210785202)	(82, 20989.936074285357)	(83, 20778.102738266938)	(84, 20415.582899990695)	(85, 20098.575426894982)	(86, 19656.04162027118)	(87, 19251.918008709552)	(88, 18752.468327269442)	(89, 18081.127601258155)	(90, 17272.365852954103)	(91, 16211.938466217687)	(92, 15096.60619771381)	(93, 13916.416115123377)	(94, 12571.803723502682)	(95, 11110.929739892952)	(96, 9355.024141526788)	(97, 7148.05592343585)	(98, 4438.76296733548)	(99, 1436.3478830434112)
Nac_Sal_3	(0, 4886.191919813094)	(1, 7590.63977194834)	(2, 9769.815980676922)	(3, 12513.091329362695)	(4, 15400.491392581107)	(5, 17394.05669010599)	(6, 19219.62891862637)	(7, 20606.685198551906)	(8, 19672.638058027667)	(9, 18635.039488383074)	(10, 16409.396985435786)	(11, 16285.988285524687)	(12, 17480.10473725322)	(13, 18102.140102214107)	(14, 19754.107199374746)	(15, 20938.712079188663)	(16, 22155.3518272519)	(17, 22066.881913165045)	(18, 22844.951317512532)	(19, 23156.49559700454)	(20, 22758.483041013096)	(21, 21406.458895593096)	(22, 19619.21701860122)	(23, 18163.69809700444)	(24, 17596.483810355065)	(25, 17635.208575726174)	(26, 17128.71655924803)	(27, 17840.2436717193)	(28, 18501.265100511722)	(29, 18182.84961755981)	(30, 20378.638594240496)	(31, 21072.05944817547)	(32, 23006.409972691716)	(33, 24369.09866741756)	(34, 26254.269969495348)	(35, 28145.06655895839)	(36, 31119.031672098277)	(37, 34202.51851968445)	(38, 34534.716861055866)	(39, 34923.83179482174)	(40, 34112.49432899125)	(41, 33994.02162018385)	(42, 33670.37670535115)	(43, 33450.07982634889)	(44, 32685.693175792047)	(45, 31883.05104245702)	(46, 31002.668383168122)	(47, 32688.003911788146)	(48, 34296.8576746596)	(49, 34619.78179101293)	(50, 34946.22586785349)	(51, 33109.43515033243)	(52, 31284.437738792833)	(53, 30464.572114038972)	(54, 28119.754863140864)	(55, 27496.5345806653)	(56, 26909.32501628585)	(57, 26782.750425851988)	(58, 27177.84652308953)	(59, 28501.824610016156)	(60, 27625.304980417844)	(61, 29525.511033427647)	(62, 31907.044286475022)	(63, 31349.44259447543)	(64, 31150.641146904214)	(65, 29916.38171116544)	(66, 29349.492366415394)	(67, 28206.388276092635)	(68, 27345.021947665)	(69, 28447.39904379245)	(70, 28264.907962100602)	(71, 27337.699137360018)	(72, 27135.222873521743)	(73, 26558.97461304812)	(74, 27517.10275333083)	(75, 27620.000505883487)	(76, 26578.624729583487)	(77, 25449.005009357512)	(78, 24931.722135873635)	(79, 26982.497478171455)	(80, 29614.647964195705)	(81, 33222.748999754825)	(82, 36885.10276319058)	(83, 38044.24863421211)	(84, 35430.76266594772)	(85, 33033.278877540964)	(86, 27167.213703307876)	(87, 18396.0031076272)	(88, 15336.222844033853)	(89, 12121.412688451725)	(90, 10213.545303896117)	(91, 8717.212322135343)	(92, 5259.433553731637)	(93, 5776.4084402905555)	(94, 4957.099975753131)	(95, 4262.468243449528)	(96, 2943.7390509470497)	(97, 1580.9808616642745)	(98, 975.1817599443006)	(99, 316.57624886189325)
Nac_Sal_4	(0, 29072.11070032548)	(1, 31471.397308162206)	(2, 33747.473302487575)	(3, 35994.4912551024)	(4, 38397.46522231953)	(5, 40923.558581480866)	(6, 43325.54903260776)	(7, 45854.87301272912)	(8, 47761.074651869436)	(9, 49536.10322677484)	(10, 51081.125559335844)	(11, 53761.299244675574)	(12, 54877.9027507118)	(13, 56054.538582772526)	(14, 57168.77999990572)	(15, 58220.46596017596)	(16, 58745.993356510226)	(17, 59537.25792358449)	(18, 59840.63131623011)	(19, 60147.23822412377)	(20, 60576.824071304465)	(21, 60909.771294491926)	(22, 61323.45059450811)	(23, 61856.738388669284)	(24, 62310.14321955761)	(25, 62830.152816205504)	(26, 63505.61715595101)	(27, 63769.06396866047)	(28, 63934.98954891489)	(29, 63938.6842320892)	(30, 63953.5918831583)	(31, 64263.637167902816)	(32, 64402.87256765409)	(33, 64506.81187971381)	(34, 64651.61489108963)	(35, 64885.05961879571)	(36, 65026.725492225865)	(37, 65052.83675652124)	(38, 64806.38851004069)	(39, 64829.049981777396)	(40, 64828.4277399687)	(41, 64761.587716119)	(42, 64890.15825250879)	(43, 64946.8630123182)	(44, 64694.62223980713)	(45, 64215.09412597737)	(46, 63581.27900617181)	(47, 63591.91329356098)	(48, 63201.97323670603)	(49, 63046.5863638741)	(50, 63039.672474439176)	(51, 62962.73055178924)	(52, 62669.319231268804)	(53, 62406.903527592876)	(54, 61994.412913953645)	(55, 61783.63430516884)	(56, 61438.9953565184)	(57, 61285.42859016232)	(58, 61192.42987255315)	(59, 60956.981828908116)	(60, 60897.442464828986)	(61, 60709.9819110762)	(62, 60349.01904718272)	(63, 60175.54073388136)	(64, 60016.928339928265)	(65, 59630.03281144725)	(66, 59426.31261336977)	(67, 59132.034874247474)	(68, 58802.23957132541)	(69, 58742.660929519036)	(70, 58387.39899760012)	(71, 58285.74323848379)	(72, 58106.11605814929)	(73, 57857.79782909542)	(74, 57673.43102010766)	(75, 57448.249044984535)	(76, 56974.17560422117)	(77, 56682.8042296145)	(78, 56241.626109512064)	(79, 56009.565719056416)	(80, 55591.5221934186)	(81, 55098.84591088525)	(82, 54487.94127647787)	(83, 53874.53586159187)	(84, 53009.67598919411)	(85, 52098.24687569314)	(86, 50812.5126244905)	(87, 49549.49378177119)	(88, 48008.87109657605)	(89, 46053.7077514354)	(90, 43759.965676928274)	(91, 41056.24737639354)	(92, 38157.28201828239)	(93, 34959.16584712483)	(94, 31380.975114132147)	(95, 27658.75028539965)	(96, 23208.784973450314)	(97, 17615.97201010889)	(98, 10951.618095751292)	(99, 3567.3166965837518)
Nac_Sal_5	(0, 11364.486403207133)	(1, 12339.97701750333)	(2, 13320.105999838)	(3, 14294.685615965955)	(4, 15352.252129764913)	(5, 16390.175919800033)	(6, 17346.306246517892)	(7, 18303.299110727927)	(8, 19145.453797622424)	(9, 19870.785068128007)	(10, 20600.390535599436)	(11, 21727.986137038624)	(12, 22246.88225496875)	(13, 22793.676587642818)	(14, 23302.123935481828)	(15, 23716.315032316437)	(16, 23920.229620022536)	(17, 24307.008356144812)	(18, 24484.21397378378)	(19, 24672.50464200797)	(20, 24880.571095865722)	(21, 25012.156639457182)	(22, 25140.606733814977)	(23, 25346.479378171665)	(24, 25494.859442226825)	(25, 25757.24437078444)	(26, 26075.247725072044)	(27, 26221.350615724376)	(28, 26331.2883515668)	(29, 26270.882040374363)	(30, 26225.626404879098)	(31, 26330.37290678454)	(32, 26398.60416150247)	(33, 26376.486551000326)	(34, 26432.772383797903)	(35, 26515.21755820849)	(36, 26622.780499804176)	(37, 26697.733550542693)	(38, 26566.35478245433)	(39, 26487.026279674745)	(40, 26435.554940827733)	(41, 26416.180467996724)	(42, 26454.400242770334)	(43, 26528.373619597907)	(44, 26528.090178861377)	(45, 26245.684572587666)	(46, 25891.718282401675)	(47, 25847.973126969162)	(48, 25666.02993690106)	(49, 25554.104662830236)	(50, 25518.68024545073)	(51, 25365.74871418812)	(52, 25117.092315777616)	(53, 24914.02668509625)	(54, 24712.5543263999)	(55, 24719.35715654069)	(56, 24666.01978872805)	(57, 24695.107789275608)	(58, 24694.794594944975)	(59, 24581.043214516092)	(60, 24518.071503946885)	(61, 24511.64305057882)	(62, 24460.775670131785)	(63, 24389.870838687402)	(64, 24336.46558000205)	(65, 24124.692097991814)	(66, 24059.405342820563)	(67, 23963.75736466835)	(68, 23930.787025346395)	(69, 23993.085631515554)	(70, 23853.74293464059)	(71, 23827.77782003896)	(72, 23827.538904452907)	(73, 23796.220907479925)	(74, 23762.297564468478)	(75, 23739.73230932587)	(76, 23584.803105549327)	(77, 23392.535382886505)	(78, 23161.91777692053)	(79, 23062.57837228425)	(80, 22850.30478833413)	(81, 22684.391616301215)	(82, 22456.473741094407)	(83, 22239.11513216016)	(84, 21902.634178144082)	(85, 21559.120190681228)	(86, 20987.53003723735)	(87, 20498.762532123423)	(88, 19923.307574778195)	(89, 19262.20522442024)	(90, 18399.596473201585)	(91, 17365.993536699243)	(92, 16168.799663212763)	(93, 14903.556664980348)	(94, 13531.578052316974)	(95, 12061.10392660405)	(96, 10257.423717077081)	(97, 7926.62230297881)	(98, 4940.684308220133)	(99, 1590.074330796746)
Nac_Sal_6	(0, 31984.438885058695)	(1, 34539.32589657653)	(2, 37091.467386139404)	(3, 39544.14334986783)	(4, 42136.72327026508)	(5, 44825.88743245695)	(6, 47417.1238750053)	(7, 49990.77201981681)	(8, 52074.273415612)	(9, 53974.60353294174)	(10, 55575.14398136324)	(11, 58066.863144768045)	(12, 59244.447454156616)	(13, 60419.99125255383)	(14, 61556.64719659743)	(15, 62584.66731347619)	(16, 63124.227418750976)	(17, 63984.93758148137)	(18, 64404.46948573722)	(19, 64777.52379178596)	(20, 65128.17714440784)	(21, 65361.87026220142)	(22, 65622.43279017527)	(23, 66068.0433684203)	(24, 66401.3433372431)	(25, 66867.09569833131)	(26, 67563.08772742192)	(27, 67753.84500196684)	(28, 67941.53949712375)	(29, 67947.43747390396)	(30, 67977.4059078851)	(31, 68298.56254350184)	(32, 68310.8432724078)	(33, 68289.05583369365)	(34, 68444.43236595142)	(35, 68674.54841058818)	(36, 68712.32154905055)	(37, 68654.61715956134)	(38, 68371.10631453164)	(39, 68446.56674453347)	(40, 68492.31798230678)	(41, 68489.1937793163)	(42, 68762.500851188)	(43, 68961.24255692677)	(44, 68751.48407450411)	(45, 68456.94583947955)	(46, 67771.4004860006)	(47, 67648.28170251835)	(48, 67177.98058624926)	(49, 67000.9923851395)	(50, 66916.6895771735)	(51, 66634.69477391697)	(52, 66256.0682257925)	(53, 65860.11688257319)	(54, 65297.099780274766)	(55, 64985.650346938084)	(56, 64576.11471382427)	(57, 64382.10582611441)	(58, 64201.463137440456)	(59, 63895.94803195638)	(60, 63729.65177907353)	(61, 63541.08913268092)	(62, 63108.225477985034)	(63, 62866.52365827227)	(64, 62601.42038994166)	(65, 62086.90171001399)	(66, 61743.12990860975)	(67, 61318.568555992024)	(68, 60914.345192361565)	(69, 60842.78350735811)	(70, 60489.904098787294)	(71, 60375.1094402124)	(72, 60235.841158847434)	(73, 60009.59575074219)	(74, 59847.59655370955)	(75, 59600.12103320972)	(76, 59087.287615340174)	(77, 58752.98141538877)	(78, 58261.45376602414)	(79, 58073.804291299726)	(80, 57672.37014419567)	(81, 57124.35963545792)	(82, 56586.69057639132)	(83, 56066.151944078076)	(84, 55099.70720944212)	(85, 54180.655743427036)	(86, 52812.92500284613)	(87, 51477.90644899521)	(88, 49855.045794232705)	(89, 47890.0789574468)	(90, 45442.06542095916)	(91, 42520.047870662165)	(92, 39365.48848360833)	(93, 36018.22652001573)	(94, 32285.269287472944)	(95, 28362.493110376032)	(96, 23761.521860320398)	(97, 18035.68352403206)	(98, 11259.782885585906)	(99, 3716.1997552407333)
Nac_Sal_7	(0, 6645.040025869951)	(1, 12858.758885825806)	(2, 17516.626026910802)	(3, 21980.32864512162)	(4, 27324.98571249292)	(5, 32096.740894052993)	(6, 35854.29150167275)	(7, 38754.70289552671)	(8, 38459.77961143504)	(9, 39197.83534805085)	(10, 36814.925245779596)	(11, 40327.97515465166)	(12, 40301.076479505726)	(13, 41089.817971609016)	(14, 41739.91246264943)	(15, 42743.9554750051)	(16, 40594.69893977661)	(17, 36742.446899624076)	(18, 35086.778395862566)	(19, 35608.72263171247)	(20, 35739.53324914757)	(21, 35504.30542969839)	(22, 35235.01955363223)	(23, 34077.225527252645)	(24, 35909.666799050705)	(25, 37126.335377390606)	(26, 38628.644949207795)	(27, 38281.31167336974)	(28, 38310.77115899138)	(29, 38907.042308485165)	(30, 37982.83433602569)	(31, 35728.85280191513)	(32, 32327.46350494471)	(33, 31381.750549711294)	(34, 31440.478448642174)	(35, 34880.30252645194)	(36, 37846.806427339136)	(37, 40624.6275506986)	(38, 42920.29204431712)	(39, 45415.7716902525)	(40, 45543.31535431948)	(41, 46109.52084762599)	(42, 46827.777142257386)	(43, 44029.17145222786)	(44, 41216.91939949241)	(45, 39158.58918260893)	(46, 36875.077224605935)	(47, 36278.15687981596)	(48, 35436.36931123182)	(49, 32730.998016740567)	(50, 32524.242997343827)	(51, 35513.16364936139)	(52, 36747.509251413234)	(53, 37288.89268120451)	(54, 36703.034327365414)	(55, 35244.93454521269)	(56, 36357.90472940341)	(57, 36874.26728682525)	(58, 36629.258093062956)	(59, 36292.38298302236)	(60, 35929.591971585825)	(61, 36612.329640753305)	(62, 35497.88041029186)	(63, 32440.607671688274)	(64, 29965.34947442271)	(65, 28381.98393565406)	(66, 27454.629788059934)	(67, 29145.476871489907)	(68, 30151.9788484527)	(69, 31215.016548727872)	(70, 32322.787428290798)	(71, 34258.965253817885)	(72, 35065.35332503083)	(73, 34114.9602188704)	(74, 33466.14056213563)	(75, 32575.446096844113)	(76, 32059.555900067156)	(77, 31443.78650796901)	(78, 29907.315093052268)	(79, 28707.692492417624)	(80, 30134.38598383755)	(81, 31257.912139154745)	(82, 33144.737442279176)	(83, 33451.35797040429)	(84, 32678.096751585363)	(85, 31833.362652247743)	(86, 28810.876884621073)	(87, 23807.124883182914)	(88, 20485.864677701516)	(89, 17063.551585839876)	(90, 12051.122802978241)	(91, 9180.606591010786)	(92, 6819.613825191158)	(93, 6601.925428894774)	(94, 5938.387778160322)	(95, 4953.065352115971)	(96, 3719.8604207721464)	(97, 2528.0820835700806)	(98, 1495.2025507640649)	(99, 484.65778735155806)
Nac_Sal_8	(0, 21402.42683931132)	(1, 23911.21752825345)	(2, 26283.57350227178)	(3, 28644.058079852894)	(4, 31194.931027647453)	(5, 33472.984560575205)	(6, 35608.95220150991)	(7, 37586.62863904445)	(8, 38531.329806750655)	(9, 39443.52147168927)	(10, 39912.458044935236)	(11, 41512.18349947864)	(12, 42641.004434816736)	(13, 43638.53200011879)	(14, 44925.41346085035)	(15, 45894.75069688967)	(16, 46424.26895419034)	(17, 46872.210600775725)	(18, 47306.211695899)	(19, 47433.385982375796)	(20, 47504.32917663817)	(21, 47176.43759795394)	(22, 46717.6467623067)	(23, 46556.52526263145)	(24, 46606.00627934601)	(25, 46963.393263231264)	(26, 47348.757869459)	(27, 47705.527237706556)	(28, 48024.09361916426)	(29, 47967.66919669994)	(30, 48516.72855199458)	(31, 49031.24071487281)	(32, 49840.16667581546)	(33, 50392.532282226166)	(34, 51174.03287496232)	(35, 51812.1585036051)	(36, 52766.586301140385)	(37, 53443.64329954872)	(38, 53289.84132981315)	(39, 53006.22856468389)	(40, 52590.08817301105)	(41, 52501.05039324775)	(42, 52422.32284413395)	(43, 52621.29635149153)	(44, 52381.82206585014)	(45, 52228.94752304275)	(46, 51632.2952785114)	(47, 52019.1045186232)	(48, 52146.81644012036)	(49, 52225.14081414731)	(50, 52439.90186194072)	(51, 51799.0872650663)	(52, 51053.14505905316)	(53, 50600.4480619772)	(54, 49582.53890017675)	(55, 49183.17804891954)	(56, 48767.40275370137)	(57, 48611.45161823167)	(58, 48526.40405025768)	(59, 48460.40490455327)	(60, 47880.788945697874)	(61, 48327.348024539504)	(62, 48715.66316846465)	(63, 48647.86173174857)	(64, 48709.98005713755)	(65, 48083.9132899195)	(66, 47938.81492756722)	(67, 47415.708873659256)	(68, 46870.27406988044)	(69, 47027.87540212419)	(70, 46809.0179294865)	(71, 46223.10693787163)	(72, 46037.76053680439)	(73, 45905.12962867597)	(74, 45994.30655010932)	(75, 46055.84440946804)	(76, 45435.6592574138)	(77, 45008.88149745898)	(78, 44682.88719883166)	(79, 45234.66492043434)	(80, 45985.96306261726)	(81, 46939.45286546858)	(82, 47928.20019816111)	(83, 47819.00645841297)	(84, 46208.8966707034)	(85, 44320.288141781)	(86, 41490.77390004777)	(87, 37966.092667552606)	(88, 36049.14339766052)	(89, 33862.17923854665)	(90, 31632.43638248933)	(91, 29247.836747210087)	(92, 26243.25441765523)	(93, 24231.586849437314)	(94, 21808.377964906405)	(95, 19304.064525530164)	(96, 16138.869639457771)	(97, 12018.531500988398)	(98, 7478.634680086365)	(99, 2430.8797390816308)
Nac_oxy_1	(0, 3631.982127756929)	(1, 3972.183971223873)	(2, 4319.91363882568)	(3, 4711.275540630578)	(4, 5188.355153918626)	(5, 5543.231583777831)	(6, 5839.491359461273)	(7, 6071.303651472271)	(8, 6343.11456583947)	(9, 6611.8808409643725)	(10, 6890.703411614916)	(11, 7374.676783698017)	(12, 7598.250804433435)	(13, 7893.859872598073)	(14, 8062.158983887561)	(15, 8255.533873819806)	(16, 8390.436371685202)	(17, 8507.762221520401)	(18, 8587.911413784928)	(19, 8587.632823700616)	(20, 8592.461918755724)	(21, 8626.22639461474)	(22, 8677.146723868058)	(23, 8753.005264983278)	(24, 8812.096339837824)	(25, 8912.736647028321)	(26, 9030.54660992188)	(27, 9077.31753426524)	(28, 9139.51716857373)	(29, 9135.858760730578)	(30, 9147.647613307405)	(31, 9196.620068884102)	(32, 9248.502650134827)	(33, 9265.873165488563)	(34, 9308.00297089188)	(35, 9431.536279541844)	(36, 9570.757566321723)	(37, 9638.909933704894)	(38, 9626.38733916205)	(39, 9523.02337585767)	(40, 9452.38378729001)	(41, 9364.64992211453)	(42, 9307.084426077041)	(43, 9259.560981649132)	(44, 9256.61842069839)	(45, 9156.543115040144)	(46, 8969.392426436927)	(47, 8933.195100469411)	(48, 8850.325138486945)	(49, 8786.940539658453)	(50, 8729.925329420277)	(51, 8662.045289078524)	(52, 8559.868545138868)	(53, 8489.535689628627)	(54, 8407.223746032054)	(55, 8455.693406410448)	(56, 8515.120510622275)	(57, 8729.989043624808)	(58, 8832.809940379522)	(59, 8787.440928857191)	(60, 8537.428701419625)	(61, 8460.407424268018)	(62, 8447.876069148399)	(63, 8381.689494621794)	(64, 8337.233379917036)	(65, 8225.090718713867)	(66, 8172.2803762562735)	(67, 8162.999040413499)	(68, 8150.773581591833)	(69, 8180.690837287639)	(70, 8173.845219262013)	(71, 8185.88594664009)	(72, 8198.417806909914)	(73, 8172.110062237646)	(74, 8179.583983115507)	(75, 8170.13495704552)	(76, 8125.624724988094)	(77, 8054.323460906237)	(78, 7971.114312641786)	(79, 7945.95018906792)	(80, 7902.021809068274)	(81, 7860.1265584519315)	(82, 7804.552292961478)	(83, 7693.491433883368)	(84, 7533.907735824039)	(85, 7401.701061616944)	(86, 7207.446153178377)	(87, 7095.754916914704)	(88, 6995.133966164017)	(89, 6967.626095506367)	(90, 6724.967119105466)	(91, 6363.622300683514)	(92, 5691.342879586221)	(93, 5253.935901365228)	(94, 4794.090501851398)	(95, 4310.825795842711)	(96, 3690.268136301715)	(97, 2836.2316264561246)	(98, 1747.1433534734954)	(99, 548.0182562923912)
Nac_oxy_2	(0, 20027.68394394009)	(1, 21868.41106954651)	(2, 23532.98474158546)	(3, 25055.45461353378)	(4, 26662.71902726063)	(5, 28383.53093117192)	(6, 30084.834037462642)	(7, 32115.229416040733)	(8, 33577.33615484472)	(9, 34990.83458429603)	(10, 36296.06856790419)	(11, 38546.8518173795)	(12, 39372.37296756952)	(13, 40234.09519049478)	(14, 41074.020112988816)	(15, 41708.64665890107)	(16, 41932.25916118997)	(17, 42591.76870645858)	(18, 43159.10866078492)	(19, 43476.72529896251)	(20, 43811.253311079214)	(21, 44040.88429763843)	(22, 44323.59247510687)	(23, 44674.49774514528)	(24, 44897.21430236351)	(25, 45220.92150066253)	(26, 45685.82495345139)	(27, 45824.40453983164)	(28, 45921.81203532791)	(29, 45942.565758395926)	(30, 46102.90867781543)	(31, 46356.21111882861)	(32, 46428.68817670637)	(33, 46367.027803353936)	(34, 46217.64218707673)	(35, 46164.283929720805)	(36, 46100.959560588)	(37, 46064.18089631543)	(38, 45808.9143240246)	(39, 45654.816848169365)	(40, 45603.49427672596)	(41, 45513.61690245243)	(42, 45694.18830235027)	(43, 45742.20414010958)	(44, 45571.50184737246)	(45, 45150.00620837125)	(46, 44374.41623216921)	(47, 44270.32368351552)	(48, 43851.57723961833)	(49, 43603.34624945003)	(50, 43459.99251050603)	(51, 43224.75903723591)	(52, 42854.144799858215)	(53, 42609.53393425058)	(54, 42231.260131181436)	(55, 41940.09729832149)	(56, 41664.23653803007)	(57, 41495.617491508296)	(58, 41265.268497684214)	(59, 40897.28058037759)	(60, 40789.89933654515)	(61, 40649.13855339223)	(62, 40378.27417136429)	(63, 40113.834214621)	(64, 39965.73462680932)	(65, 39609.514467057576)	(66, 39388.54723846635)	(67, 39080.303697183066)	(68, 38744.398716425276)	(69, 38625.253802957835)	(70, 38300.47621852165)	(71, 38213.43561525599)	(72, 38160.35753946813)	(73, 38036.72852105224)	(74, 37647.7912469045)	(75, 37343.776173692095)	(76, 37031.456628483655)	(77, 36756.4044137981)	(78, 36431.59313857921)	(79, 36308.79450126826)	(80, 36029.38848311276)	(81, 35687.08644153522)	(82, 35186.096755276594)	(83, 34764.48235755506)	(84, 34198.256175638635)	(85, 33630.31537576978)	(86, 32786.65461201707)	(87, 32020.787476793146)	(88, 31074.394788952945)	(89, 29895.3302675958)	(90, 28459.615562020346)	(91, 26728.054475169873)	(92, 24887.346040454646)	(93, 22813.171111948242)	(94, 20516.958338579658)	(95, 18104.408876066773)	(96, 15161.736456028788)	(97, 11509.752366265087)	(98, 7139.756455197775)	(99, 2311.3089322999926)
