Sample	Exonic	Intronic	Intergenic
Nac_Sal_1	21113282.0	14537007.0	2409930.0
Nac_Sal_2	11833275.0	14771075.0	2261003.0
Nac_Sal_3	6313093.0	8258739.0	5795179.0
Nac_Sal_4	26640442.0	12556011.0	2461627.0
Nac_Sal_5	13630215.0	20404854.0	3056117.0
Nac_Sal_6	26645108.0	14947669.0	2695071.0
Nac_Sal_7	11380663.0	10263870.0	7008671.0
Nac_Sal_8	19781729.0	11472733.0	4317062.0
Nac_oxy_1	4772787.0	7427334.0	1318277.0
Nac_oxy_2	18230065.0	13775072.0	2478916.0
Nac_oxy_3	18922230.0	16835795.0	2614900.0
Nac_oxy_4	14291872.0	19157459.0	2702600.0
Nac_oxy_5	12614022.0	14995915.0	8090973.0
Nac_oxy_6	17962982.0	12047905.0	2087565.0
Nac_oxy_7	14402158.0	20639176.0	3116815.0
Nac_oxy_8	17233836.0	15545442.0	2467083.0
