Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Nac_Sal_1	23251.270516412165	25321.580443398794	27254.304468702885	29103.328115692468	30927.859978886318	32898.60031293342	34828.251594119574	36815.55955618977	38364.19286604678	39782.241749259534	41000.78953277474	42883.2632201192	43682.27560664941	44449.10077626037	45239.10758331826	45820.4400161591	46050.30175485146	46623.31835310793	46801.078591779966	47028.40473052438	47382.85758314034	47583.37805871382	47956.618474317234	48330.73909840274	48605.87362902478	48964.35044781852	49477.591280731176	49717.17339245241	49760.53763670389	49781.107311615495	49822.92086517942	50063.00436433818	50162.69497667485	50160.62208512467	50250.98820115158	50267.15163714024	50256.837103680424	50224.50647637927	50080.731881480395	50052.1011392781	49982.83706078809	49857.35117018236	49841.0195355639	49910.72941952563	49770.21404194585	49379.470503367025	48699.31483638756	48602.312984186196	48275.525027249525	48141.13495510194	48103.42733021664	47982.538412918286	47707.16968378972	47519.33284542714	47251.36765864093	47073.612037586914	46855.047778613254	46787.94941335779	46740.28981219218	46486.206142858384	46464.10258305251	46295.316060477955	46083.630616168506	45904.90542650927	45737.737996251184	45328.90386499976	44984.46938241793	44658.719817359095	44400.20741297025	44291.59737759591	43818.81186616084	43747.67375723128	43671.31196070522	43557.18351958542	43474.73831162982	43359.20656136614	43023.3286304041	42699.822759094815	42342.91781158443	42209.466370736816	41929.63680846062	41550.26104112883	41148.27297942489	40750.25825496897	40092.350109880565	39438.976755715754	38453.2835716375	37556.071389823206	36452.506792074164	35072.91853384464	33392.21162067191	31411.335370340086	29272.564250990643	26872.402330204757	24176.571713225265	21399.692812072324	18042.67460350575	13783.812599652969	8542.430012004617	2771.8822730509114
Nac_Sal_2	11918.638060825611	12999.553159761826	14033.830360098858	14975.366079518537	15958.843043406858	16935.01481208059	17837.47393788563	18774.87028038878	19510.836055061776	20206.844103153046	20819.8520150647	21897.78788764488	22369.596542576983	22852.191136018813	23308.591332107273	23676.3540990153	23837.728427368635	24206.463299485014	24340.786486558536	24450.74568165394	24595.832021906797	24684.937770445908	24773.773892128705	24872.931355832312	24957.198552113172	25110.072677640317	25334.856214718624	25360.301163011645	25385.860303610607	25343.60118833691	25337.663335193854	25450.736256954697	25492.962647172317	25462.72925009403	25415.400058778112	25460.93657569357	25452.902845708377	25389.204048079275	25221.411323741824	25114.260591962076	25053.878234372467	25022.648513163716	25112.538006451137	25183.332331269732	25169.7997998589	25026.101421036026	24770.6314379	24752.83155066369	24591.617356565483	24505.495710419946	24441.597546920853	24319.228617062538	24120.872394617883	23985.09140178324	23746.43320054019	23668.342654112716	23560.59759976012	23521.249867692448	23470.075524752257	23325.41583167632	23311.603518963122	23343.524152015103	23252.611909087507	23169.828285942785	23071.233959159934	22845.27696168877	22765.58324021331	22649.02945708219	22562.685721662237	22540.253124316918	22429.450491562773	22406.53932376601	22375.922569398863	22268.432717106803	22194.466456199836	22150.226139912676	21984.975303695166	21796.666735503914	21554.988156516134	21490.534856232378	21353.238812623204	21184.038210785202	20989.936074285357	20778.102738266938	20415.582899990695	20098.575426894982	19656.04162027118	19251.918008709552	18752.468327269442	18081.127601258155	17272.365852954103	16211.938466217687	15096.60619771381	13916.416115123377	12571.803723502682	11110.929739892952	9355.024141526788	7148.05592343585	4438.76296733548	1436.3478830434112
Nac_Sal_3	4886.191919813094	7590.63977194834	9769.815980676922	12513.091329362695	15400.491392581107	17394.05669010599	19219.62891862637	20606.685198551906	19672.638058027667	18635.039488383074	16409.396985435786	16285.988285524687	17480.10473725322	18102.140102214107	19754.107199374746	20938.712079188663	22155.3518272519	22066.881913165045	22844.951317512532	23156.49559700454	22758.483041013096	21406.458895593096	19619.21701860122	18163.69809700444	17596.483810355065	17635.208575726174	17128.71655924803	17840.2436717193	18501.265100511722	18182.84961755981	20378.638594240496	21072.05944817547	23006.409972691716	24369.09866741756	26254.269969495348	28145.06655895839	31119.031672098277	34202.51851968445	34534.716861055866	34923.83179482174	34112.49432899125	33994.02162018385	33670.37670535115	33450.07982634889	32685.693175792047	31883.05104245702	31002.668383168122	32688.003911788146	34296.8576746596	34619.78179101293	34946.22586785349	33109.43515033243	31284.437738792833	30464.572114038972	28119.754863140864	27496.5345806653	26909.32501628585	26782.750425851988	27177.84652308953	28501.824610016156	27625.304980417844	29525.511033427647	31907.044286475022	31349.44259447543	31150.641146904214	29916.38171116544	29349.492366415394	28206.388276092635	27345.021947665	28447.39904379245	28264.907962100602	27337.699137360018	27135.222873521743	26558.97461304812	27517.10275333083	27620.000505883487	26578.624729583487	25449.005009357512	24931.722135873635	26982.497478171455	29614.647964195705	33222.748999754825	36885.10276319058	38044.24863421211	35430.76266594772	33033.278877540964	27167.213703307876	18396.0031076272	15336.222844033853	12121.412688451725	10213.545303896117	8717.212322135343	5259.433553731637	5776.4084402905555	4957.099975753131	4262.468243449528	2943.7390509470497	1580.9808616642745	975.1817599443006	316.57624886189325
Nac_Sal_4	29072.11070032548	31471.397308162206	33747.473302487575	35994.4912551024	38397.46522231953	40923.558581480866	43325.54903260776	45854.87301272912	47761.074651869436	49536.10322677484	51081.125559335844	53761.299244675574	54877.9027507118	56054.538582772526	57168.77999990572	58220.46596017596	58745.993356510226	59537.25792358449	59840.63131623011	60147.23822412377	60576.824071304465	60909.771294491926	61323.45059450811	61856.738388669284	62310.14321955761	62830.152816205504	63505.61715595101	63769.06396866047	63934.98954891489	63938.6842320892	63953.5918831583	64263.637167902816	64402.87256765409	64506.81187971381	64651.61489108963	64885.05961879571	65026.725492225865	65052.83675652124	64806.38851004069	64829.049981777396	64828.4277399687	64761.587716119	64890.15825250879	64946.8630123182	64694.62223980713	64215.09412597737	63581.27900617181	63591.91329356098	63201.97323670603	63046.5863638741	63039.672474439176	62962.73055178924	62669.319231268804	62406.903527592876	61994.412913953645	61783.63430516884	61438.9953565184	61285.42859016232	61192.42987255315	60956.981828908116	60897.442464828986	60709.9819110762	60349.01904718272	60175.54073388136	60016.928339928265	59630.03281144725	59426.31261336977	59132.034874247474	58802.23957132541	58742.660929519036	58387.39899760012	58285.74323848379	58106.11605814929	57857.79782909542	57673.43102010766	57448.249044984535	56974.17560422117	56682.8042296145	56241.626109512064	56009.565719056416	55591.5221934186	55098.84591088525	54487.94127647787	53874.53586159187	53009.67598919411	52098.24687569314	50812.5126244905	49549.49378177119	48008.87109657605	46053.7077514354	43759.965676928274	41056.24737639354	38157.28201828239	34959.16584712483	31380.975114132147	27658.75028539965	23208.784973450314	17615.97201010889	10951.618095751292	3567.3166965837518
Nac_Sal_5	11364.486403207133	12339.97701750333	13320.105999838	14294.685615965955	15352.252129764913	16390.175919800033	17346.306246517892	18303.299110727927	19145.453797622424	19870.785068128007	20600.390535599436	21727.986137038624	22246.88225496875	22793.676587642818	23302.123935481828	23716.315032316437	23920.229620022536	24307.008356144812	24484.21397378378	24672.50464200797	24880.571095865722	25012.156639457182	25140.606733814977	25346.479378171665	25494.859442226825	25757.24437078444	26075.247725072044	26221.350615724376	26331.2883515668	26270.882040374363	26225.626404879098	26330.37290678454	26398.60416150247	26376.486551000326	26432.772383797903	26515.21755820849	26622.780499804176	26697.733550542693	26566.35478245433	26487.026279674745	26435.554940827733	26416.180467996724	26454.400242770334	26528.373619597907	26528.090178861377	26245.684572587666	25891.718282401675	25847.973126969162	25666.02993690106	25554.104662830236	25518.68024545073	25365.74871418812	25117.092315777616	24914.02668509625	24712.5543263999	24719.35715654069	24666.01978872805	24695.107789275608	24694.794594944975	24581.043214516092	24518.071503946885	24511.64305057882	24460.775670131785	24389.870838687402	24336.46558000205	24124.692097991814	24059.405342820563	23963.75736466835	23930.787025346395	23993.085631515554	23853.74293464059	23827.77782003896	23827.538904452907	23796.220907479925	23762.297564468478	23739.73230932587	23584.803105549327	23392.535382886505	23161.91777692053	23062.57837228425	22850.30478833413	22684.391616301215	22456.473741094407	22239.11513216016	21902.634178144082	21559.120190681228	20987.53003723735	20498.762532123423	19923.307574778195	19262.20522442024	18399.596473201585	17365.993536699243	16168.799663212763	14903.556664980348	13531.578052316974	12061.10392660405	10257.423717077081	7926.62230297881	4940.684308220133	1590.074330796746
Nac_Sal_6	31984.438885058695	34539.32589657653	37091.467386139404	39544.14334986783	42136.72327026508	44825.88743245695	47417.1238750053	49990.77201981681	52074.273415612	53974.60353294174	55575.14398136324	58066.863144768045	59244.447454156616	60419.99125255383	61556.64719659743	62584.66731347619	63124.227418750976	63984.93758148137	64404.46948573722	64777.52379178596	65128.17714440784	65361.87026220142	65622.43279017527	66068.0433684203	66401.3433372431	66867.09569833131	67563.08772742192	67753.84500196684	67941.53949712375	67947.43747390396	67977.4059078851	68298.56254350184	68310.8432724078	68289.05583369365	68444.43236595142	68674.54841058818	68712.32154905055	68654.61715956134	68371.10631453164	68446.56674453347	68492.31798230678	68489.1937793163	68762.500851188	68961.24255692677	68751.48407450411	68456.94583947955	67771.4004860006	67648.28170251835	67177.98058624926	67000.9923851395	66916.6895771735	66634.69477391697	66256.0682257925	65860.11688257319	65297.099780274766	64985.650346938084	64576.11471382427	64382.10582611441	64201.463137440456	63895.94803195638	63729.65177907353	63541.08913268092	63108.225477985034	62866.52365827227	62601.42038994166	62086.90171001399	61743.12990860975	61318.568555992024	60914.345192361565	60842.78350735811	60489.904098787294	60375.1094402124	60235.841158847434	60009.59575074219	59847.59655370955	59600.12103320972	59087.287615340174	58752.98141538877	58261.45376602414	58073.804291299726	57672.37014419567	57124.35963545792	56586.69057639132	56066.151944078076	55099.70720944212	54180.655743427036	52812.92500284613	51477.90644899521	49855.045794232705	47890.0789574468	45442.06542095916	42520.047870662165	39365.48848360833	36018.22652001573	32285.269287472944	28362.493110376032	23761.521860320398	18035.68352403206	11259.782885585906	3716.1997552407333
Nac_Sal_7	6645.040025869951	12858.758885825806	17516.626026910802	21980.32864512162	27324.98571249292	32096.740894052993	35854.29150167275	38754.70289552671	38459.77961143504	39197.83534805085	36814.925245779596	40327.97515465166	40301.076479505726	41089.817971609016	41739.91246264943	42743.9554750051	40594.69893977661	36742.446899624076	35086.778395862566	35608.72263171247	35739.53324914757	35504.30542969839	35235.01955363223	34077.225527252645	35909.666799050705	37126.335377390606	38628.644949207795	38281.31167336974	38310.77115899138	38907.042308485165	37982.83433602569	35728.85280191513	32327.46350494471	31381.750549711294	31440.478448642174	34880.30252645194	37846.806427339136	40624.6275506986	42920.29204431712	45415.7716902525	45543.31535431948	46109.52084762599	46827.777142257386	44029.17145222786	41216.91939949241	39158.58918260893	36875.077224605935	36278.15687981596	35436.36931123182	32730.998016740567	32524.242997343827	35513.16364936139	36747.509251413234	37288.89268120451	36703.034327365414	35244.93454521269	36357.90472940341	36874.26728682525	36629.258093062956	36292.38298302236	35929.591971585825	36612.329640753305	35497.88041029186	32440.607671688274	29965.34947442271	28381.98393565406	27454.629788059934	29145.476871489907	30151.9788484527	31215.016548727872	32322.787428290798	34258.965253817885	35065.35332503083	34114.9602188704	33466.14056213563	32575.446096844113	32059.555900067156	31443.78650796901	29907.315093052268	28707.692492417624	30134.38598383755	31257.912139154745	33144.737442279176	33451.35797040429	32678.096751585363	31833.362652247743	28810.876884621073	23807.124883182914	20485.864677701516	17063.551585839876	12051.122802978241	9180.606591010786	6819.613825191158	6601.925428894774	5938.387778160322	4953.065352115971	3719.8604207721464	2528.0820835700806	1495.2025507640649	484.65778735155806
Nac_Sal_8	21402.42683931132	23911.21752825345	26283.57350227178	28644.058079852894	31194.931027647453	33472.984560575205	35608.95220150991	37586.62863904445	38531.329806750655	39443.52147168927	39912.458044935236	41512.18349947864	42641.004434816736	43638.53200011879	44925.41346085035	45894.75069688967	46424.26895419034	46872.210600775725	47306.211695899	47433.385982375796	47504.32917663817	47176.43759795394	46717.6467623067	46556.52526263145	46606.00627934601	46963.393263231264	47348.757869459	47705.527237706556	48024.09361916426	47967.66919669994	48516.72855199458	49031.24071487281	49840.16667581546	50392.532282226166	51174.03287496232	51812.1585036051	52766.586301140385	53443.64329954872	53289.84132981315	53006.22856468389	52590.08817301105	52501.05039324775	52422.32284413395	52621.29635149153	52381.82206585014	52228.94752304275	51632.2952785114	52019.1045186232	52146.81644012036	52225.14081414731	52439.90186194072	51799.0872650663	51053.14505905316	50600.4480619772	49582.53890017675	49183.17804891954	48767.40275370137	48611.45161823167	48526.40405025768	48460.40490455327	47880.788945697874	48327.348024539504	48715.66316846465	48647.86173174857	48709.98005713755	48083.9132899195	47938.81492756722	47415.708873659256	46870.27406988044	47027.87540212419	46809.0179294865	46223.10693787163	46037.76053680439	45905.12962867597	45994.30655010932	46055.84440946804	45435.6592574138	45008.88149745898	44682.88719883166	45234.66492043434	45985.96306261726	46939.45286546858	47928.20019816111	47819.00645841297	46208.8966707034	44320.288141781	41490.77390004777	37966.092667552606	36049.14339766052	33862.17923854665	31632.43638248933	29247.836747210087	26243.25441765523	24231.586849437314	21808.377964906405	19304.064525530164	16138.869639457771	12018.531500988398	7478.634680086365	2430.8797390816308
Nac_oxy_1	3631.982127756929	3972.183971223873	4319.91363882568	4711.275540630578	5188.355153918626	5543.231583777831	5839.491359461273	6071.303651472271	6343.11456583947	6611.8808409643725	6890.703411614916	7374.676783698017	7598.250804433435	7893.859872598073	8062.158983887561	8255.533873819806	8390.436371685202	8507.762221520401	8587.911413784928	8587.632823700616	8592.461918755724	8626.22639461474	8677.146723868058	8753.005264983278	8812.096339837824	8912.736647028321	9030.54660992188	9077.31753426524	9139.51716857373	9135.858760730578	9147.647613307405	9196.620068884102	9248.502650134827	9265.873165488563	9308.00297089188	9431.536279541844	9570.757566321723	9638.909933704894	9626.38733916205	9523.02337585767	9452.38378729001	9364.64992211453	9307.084426077041	9259.560981649132	9256.61842069839	9156.543115040144	8969.392426436927	8933.195100469411	8850.325138486945	8786.940539658453	8729.925329420277	8662.045289078524	8559.868545138868	8489.535689628627	8407.223746032054	8455.693406410448	8515.120510622275	8729.989043624808	8832.809940379522	8787.440928857191	8537.428701419625	8460.407424268018	8447.876069148399	8381.689494621794	8337.233379917036	8225.090718713867	8172.2803762562735	8162.999040413499	8150.773581591833	8180.690837287639	8173.845219262013	8185.88594664009	8198.417806909914	8172.110062237646	8179.583983115507	8170.13495704552	8125.624724988094	8054.323460906237	7971.114312641786	7945.95018906792	7902.021809068274	7860.1265584519315	7804.552292961478	7693.491433883368	7533.907735824039	7401.701061616944	7207.446153178377	7095.754916914704	6995.133966164017	6967.626095506367	6724.967119105466	6363.622300683514	5691.342879586221	5253.935901365228	4794.090501851398	4310.825795842711	3690.268136301715	2836.2316264561246	1747.1433534734954	548.0182562923912
Nac_oxy_2	20027.68394394009	21868.41106954651	23532.98474158546	25055.45461353378	26662.71902726063	28383.53093117192	30084.834037462642	32115.229416040733	33577.33615484472	34990.83458429603	36296.06856790419	38546.8518173795	39372.37296756952	40234.09519049478	41074.020112988816	41708.64665890107	41932.25916118997	42591.76870645858	43159.10866078492	43476.72529896251	43811.253311079214	44040.88429763843	44323.59247510687	44674.49774514528	44897.21430236351	45220.92150066253	45685.82495345139	45824.40453983164	45921.81203532791	45942.565758395926	46102.90867781543	46356.21111882861	46428.68817670637	46367.027803353936	46217.64218707673	46164.283929720805	46100.959560588	46064.18089631543	45808.9143240246	45654.816848169365	45603.49427672596	45513.61690245243	45694.18830235027	45742.20414010958	45571.50184737246	45150.00620837125	44374.41623216921	44270.32368351552	43851.57723961833	43603.34624945003	43459.99251050603	43224.75903723591	42854.144799858215	42609.53393425058	42231.260131181436	41940.09729832149	41664.23653803007	41495.617491508296	41265.268497684214	40897.28058037759	40789.89933654515	40649.13855339223	40378.27417136429	40113.834214621	39965.73462680932	39609.514467057576	39388.54723846635	39080.303697183066	38744.398716425276	38625.253802957835	38300.47621852165	38213.43561525599	38160.35753946813	38036.72852105224	37647.7912469045	37343.776173692095	37031.456628483655	36756.4044137981	36431.59313857921	36308.79450126826	36029.38848311276	35687.08644153522	35186.096755276594	34764.48235755506	34198.256175638635	33630.31537576978	32786.65461201707	32020.787476793146	31074.394788952945	29895.3302675958	28459.615562020346	26728.054475169873	24887.346040454646	22813.171111948242	20516.958338579658	18104.408876066773	15161.736456028788	11509.752366265087	7139.756455197775	2311.3089322999926
