Sample	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon	5_bias	3_bias	5_3_bias	ssp_estimation
Nac_Sal_1	20960558	49608335	11375973	21113282	172143	0	21113282	14537007	2409930	1065289	0.8	0.69	1.07	
Nac_Sal_2	15790626	36769026	7794366	11833275	109307	0	11833275	14771075	2261003	708531	0.77	0.7	1.0	
Nac_Sal_3	15794889	39645788	12742518	6313093	6536259	0	6313093	8258739	5795179	1470133	0.7	0.64	1.01	0.35
Nac_Sal_4	23315877	54243186	12393462	26640442	191644	0	26640442	12556011	2461627	1410946	0.74	0.64	1.03	
Nac_Sal_5	19748688	44541308	7333618	13630215	116504	0	13630215	20404854	3056117	794631	0.72	0.69	0.97	
Nac_Sal_6	24932729	58327530	13826701	26645108	212981	0	26645108	14947669	2695071	1517630	0.77	0.67	1.03	
Nac_Sal_7	21723793	56331655	20444371	11380663	7234080	0	11380663	10263870	7008671	3230323	0.69	0.63	1.05	0.53
Nac_Sal_8	21006164	50208106	13015505	19781729	1621077	0	19781729	11472733	4317062	1353218	0.78	0.66	1.05	
Nac_oxy_1	7345042	17233068	3641875	4772787	72795	0	4772787	7427334	1318277	285308	0.61	0.68	0.83	
Nac_oxy_2	19906303	48860731	14225680	18230065	150998	0	18230065	13775072	2478916	1031620	0.77	0.71	1.01	
Nac_oxy_3	21053864	48340353	9828237	18922230	139191	0	18922230	16835795	2614900	1176952	0.76	0.64	1.04	
Nac_oxy_4	19067269	41797532	5541481	14291872	104120	0	14291872	19157459	2702600	925266	0.73	0.64	0.99	
Nac_oxy_5	19620860	45293411	9512992	12614022	79509	0	12614022	14995915	8090973	1678323	0.72	0.63	0.98	
Nac_oxy_6	18103749	42559121	10323286	17962982	137383	0	17962982	12047905	2087565	1014811	0.72	0.65	1.01	
Nac_oxy_7	20359182	45783300	7511475	14402158	113676	0	14402158	20639176	3116815	932552	0.71	0.67	0.93	
Nac_oxy_8	19360521	45167299	9774548	17233836	146390	0	17233836	15545442	2467083	964184	0.75	0.69	1.03	
