Sample	Total records	QC failed	Duplicates	Non primary hit	Unmapped	Unique	Read-1	Read-2	+ve strand	-ve strand	Non-splice reads	Splice reads	Proper pairs	Different chrom
Nac_Sal_1	49.608335	0.0	30.913998	7.648963999999999	0.0	10.593041	5.299608	5.293432999999999	5.296539	5.296501999999999	8.349551	2.24349	10.586561999999999	0.0
Nac_Sal_2	36.769026	0.0	20.374484	5.146866999999999	0.0	10.782479	5.396317	5.386162	5.39117	5.391309	9.266841	1.515638	10.771962	0.0
Nac_Sal_3	39.645787999999996	0.0	27.854343999999998	7.9799	0.0	3.390819	1.698364	1.6924549999999998	1.695377	1.695442	2.91208	0.47873899999999997	3.384824	0.0
Nac_Sal_4	54.243185999999994	0.0	14.566730999999999	7.523963999999999	0.0	31.100990999999997	15.564815	15.536176	15.550196999999999	15.550794	23.34134	7.759651	31.071579999999997	0.0
Nac_Sal_5	44.541308	0.0	9.120838	4.997256999999999	0.0	29.519285999999997	14.771557999999999	14.747727999999999	14.759554	14.759732	25.999022	3.520264	29.494228	0.0
Nac_Sal_6	58.327529999999996	0.0	29.772889	8.410681	0.0	19.422591999999998	9.716213	9.706379	9.711186	9.711406	14.670886	4.7517059999999995	19.412184	0.0
Nac_Sal_7	56.331655	0.0	35.414296	12.832175	0.0	7.381809	3.692964	3.6888449999999997	3.6908649999999996	3.690944	6.192125	1.189684	7.377502	0.0
Nac_Sal_8	50.208106	0.0	28.599235	8.119570999999999	0.0	12.797206	6.404929	6.392277	6.398465	6.398740999999999	9.849236999999999	2.947969	12.78421	0.0
Nac_oxy_1	17.233068	0.0	5.729731999999999	2.521991	0.0	8.5749	4.292181	4.282719	4.287522	4.2873779999999995	7.647378	0.927522	8.564945999999999	0.0
Nac_oxy_2	48.860731	0.0	12.797948	8.982569	0.0	26.129389	13.078619	13.05077	13.064446	13.064943	20.989877	5.139512	26.100634	0.0
Nac_oxy_3	48.340353	0.0	11.154823	6.106814	0.0	30.175051	15.116724999999999	15.058326	15.087126	15.087924999999998	24.355362	5.8196889999999994	30.115568	0.0
Nac_oxy_4	41.797532	0.0	9.690754	3.585758	0.0	27.758903999999998	13.899154999999999	13.859748999999999	13.879133999999999	13.879769999999999	23.80369	3.955214	27.718438	0.0
Nac_oxy_5	45.293411	0.0	19.832942	6.000166999999999	0.0	18.704311	9.359435	9.344876	9.352027999999999	9.352283	15.596955999999999	3.1073549999999996	18.689026	0.0
Nac_oxy_6	42.559121	0.0	26.015387	6.311909	0.0	9.807221	4.9063349999999994	4.900886	4.903618	4.9036029999999995	7.625588	2.1816329999999997	9.80143	0.0
Nac_oxy_7	45.7833	0.0	18.010573	5.015726	0.0	22.056542999999998	11.034956	11.021587	11.028267999999999	11.028274999999999	19.240679	2.815864	22.042448	0.0
Nac_oxy_8	45.167299	0.0	22.792607	6.394101999999999	0.0	15.359043999999999	7.684022	7.675021999999999	7.679517	7.679526999999999	12.604410999999999	2.7546329999999997	15.349563999999999	0.0
