Sample	Sense	Antisense	Undetermined
Nac_Sal_1	1.04	92.99	5.970000000000001
Nac_Sal_2	1.55	92.39	6.0600000000000005
Nac_Sal_3	5.57	89.56	4.87
Nac_Sal_4	1.02	95.50999999999999	3.47
Nac_Sal_5	1.39	94.52000000000001	4.09
Nac_Sal_6	1.06	91.66	7.2700000000000005
Nac_Sal_7	9.35	85.65	5.01
Nac_Sal_8	1.21	92.5	6.29
Nac_oxy_1	1.23	93.44	5.33
Nac_oxy_2	1.67	95.09	3.25
Nac_oxy_3	1.01	95.44	3.55
Nac_oxy_4	1.24	95.1	3.66
Nac_oxy_5	1.05	93.37	5.58
Nac_oxy_6	1.27	93.19	5.54
Nac_oxy_7	1.43	95.73	2.85
Nac_oxy_8	1.39	93.58999999999999	5.0200000000000005
