Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
Nac_Sal_1	2644264.0	31895.0	25786.0
Nac_Sal_2	1731375.0	20868.0	25385.0
Nac_Sal_3	460078.0	5018.0	91125.0
Nac_Sal_4	9297829.0	113306.0	74854.0
Nac_Sal_5	4031278.0	50057.0	52190.0
Nac_Sal_6	5689575.0	67933.0	50680.0
Nac_Sal_7	1345584.0	15102.0	69172.0
Nac_Sal_8	3443795.0	40839.0	60337.0
Nac_oxy_1	1052158.0	11961.0	18268.0
Nac_oxy_2	6008128.0	76535.0	65999.0
Nac_oxy_3	6998281.0	88673.0	66905.0
Nac_oxy_4	4706470.0	57278.0	50435.0
Nac_oxy_5	3684672.0	42762.0	57483.0
Nac_oxy_6	2620436.0	31220.0	24172.0
Nac_oxy_7	3264332.0	40751.0	40124.0
Nac_oxy_8	3199357.0	38139.0	33742.0
