Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
Nac_Sal_1	134594.0	9067.0	6191.0
Nac_Sal_2	127845.0	6664.0	5940.0
Nac_Sal_3	86349.0	2267.0	2889.0
Nac_Sal_4	164076.0	24593.0	15286.0
Nac_Sal_5	143752.0	12418.0	10979.0
Nac_Sal_6	155342.0	17421.0	10995.0
Nac_Sal_7	119229.0	5697.0	4488.0
Nac_Sal_8	141686.0	11344.0	7156.0
Nac_oxy_1	109450.0	4166.0	4468.0
Nac_oxy_2	153709.0	17237.0	11511.0
Nac_oxy_3	158932.0	20915.0	13949.0
Nac_oxy_4	149208.0	15163.0	10937.0
Nac_oxy_5	144753.0	12553.0	8040.0
Nac_oxy_6	136095.0	9757.0	6493.0
Nac_oxy_7	141753.0	11050.0	9228.0
Nac_oxy_8	139973.0	10602.0	7926.0
