Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Nac_Sal_1	(5.0, 40.321784160371564)	(10.0, 56.51042361796973)	(15.0, 66.00445773162853)	(20.0, 72.47684381923497)	(25.0, 77.1901609588127)	(30.0, 80.98790806929503)	(35.0, 83.99754424365373)	(40.0, 86.55073005365294)	(45.0, 88.74756426340656)	(50.0, 90.64610415610069)	(55.0, 92.27104076021675)	(60.0, 93.64172650348344)	(65.0, 94.84558097322692)	(70.0, 95.88193684435309)	(75.0, 96.81952860155353)	(80.0, 97.59762966126578)	(85.0, 98.34970504230841)	(90.0, 98.9843312067907)	(95.0, 99.51018338093586)	(100.0, 100.0)
Nac_Sal_2	(5.0, 34.426731411402)	(10.0, 50.99431110225064)	(15.0, 61.52055194412207)	(20.0, 68.89404694942648)	(25.0, 74.44980028337689)	(30.0, 78.74459768314478)	(35.0, 82.20208047049107)	(40.0, 85.03798531851419)	(45.0, 87.51076903359939)	(50.0, 89.61188758908928)	(55.0, 91.46878938262287)	(60.0, 93.0273622453702)	(65.0, 94.37660645501214)	(70.0, 95.59270624924349)	(75.0, 96.58310133927618)	(80.0, 97.49019216939956)	(85.0, 98.28977066408447)	(90.0, 98.97614080555931)	(95.0, 99.51868649830188)	(100.0, 100.0)
Nac_Sal_3	(5.0, 19.9639363969182)	(10.0, 33.50527293590514)	(15.0, 43.88284793180701)	(20.0, 52.26271788426862)	(25.0, 59.287470630020216)	(30.0, 65.1603737500683)	(35.0, 70.21911370963335)	(40.0, 74.54018906070706)	(45.0, 78.30501065515546)	(50.0, 81.62723348450905)	(55.0, 84.62925523195455)	(60.0, 87.19086388721928)	(65.0, 89.52625539588)	(70.0, 91.66930768810448)	(75.0, 93.57849297852576)	(80.0, 95.23632588383148)	(85.0, 96.65154909567784)	(90.0, 97.89847549314246)	(95.0, 99.03611824490466)	(100.0, 100.0)
Nac_Sal_4	(5.0, 52.18994386016523)	(10.0, 63.8150572430193)	(15.0, 70.30521438552621)	(20.0, 74.7978720796254)	(25.0, 78.41925915030276)	(30.0, 81.3037189576132)	(35.0, 83.80181902870731)	(40.0, 85.98808560711922)	(45.0, 87.8821308622)	(50.0, 89.58789929151038)	(55.0, 91.13382854060944)	(60.0, 92.53756956191317)	(65.0, 93.76529136329093)	(70.0, 94.88416562477018)	(75.0, 95.9437130739624)	(80.0, 96.94197249393248)	(85.0, 97.83873893751073)	(90.0, 98.62665784119046)	(95.0, 99.33661837169964)	(100.0, 100.0)
Nac_Sal_5	(5.0, 45.79566733872174)	(10.0, 60.847507313833766)	(15.0, 69.33933197326935)	(20.0, 75.02408031157829)	(25.0, 79.35135717234324)	(30.0, 82.71781464441905)	(35.0, 85.4088268550814)	(40.0, 87.68404238134838)	(45.0, 89.61226211344369)	(50.0, 91.34245493541691)	(55.0, 92.789666704557)	(60.0, 94.08372170937308)	(65.0, 95.20009093682881)	(70.0, 96.1836445327223)	(75.0, 97.06130458453237)	(80.0, 97.84683127030374)	(85.0, 98.5001405931235)	(90.0, 99.11157111319841)	(95.0, 99.59557041920682)	(100.0, 100.0)
Nac_Sal_6	(5.0, 49.1265686391885)	(10.0, 62.8837928144625)	(15.0, 70.30605470238031)	(20.0, 75.34801205933891)	(25.0, 79.16662131716714)	(30.0, 82.22553575898736)	(35.0, 84.79358721797146)	(40.0, 86.97961449297445)	(45.0, 88.88374927894296)	(50.0, 90.53537805156782)	(55.0, 91.9530034066544)	(60.0, 93.2938974085482)	(65.0, 94.49384516592475)	(70.0, 95.5517582907955)	(75.0, 96.50899552672537)	(80.0, 97.36338009773723)	(85.0, 98.12253071975098)	(90.0, 98.82508516636011)	(95.0, 99.44818728980508)	(100.0, 100.0)
Nac_Sal_7	(5.0, 30.719242122181527)	(10.0, 46.50656034123047)	(15.0, 56.97837946435471)	(20.0, 64.49534053502713)	(25.0, 70.31078554097702)	(30.0, 75.01970420510918)	(35.0, 78.82609300384811)	(40.0, 82.10703633300879)	(45.0, 84.8084442177817)	(50.0, 87.16908526125458)	(55.0, 89.25618557497643)	(60.0, 91.09910828812957)	(65.0, 92.73185281345141)	(70.0, 94.16523714590384)	(75.0, 95.41780641970729)	(80.0, 96.58305901988966)	(85.0, 97.57522370068153)	(90.0, 98.5225709737741)	(95.0, 99.29219404392106)	(100.0, 100.0)
Nac_Sal_8	(5.0, 43.337120597305635)	(10.0, 58.85220930668098)	(15.0, 67.7281410360456)	(20.0, 73.67997203251221)	(25.0, 78.09109410310514)	(30.0, 81.51149288951594)	(35.0, 84.25642690372442)	(40.0, 86.56124754972345)	(45.0, 88.59138751201728)	(50.0, 90.3543380819797)	(55.0, 91.84510506536152)	(60.0, 93.25097074650718)	(65.0, 94.47704543468218)	(70.0, 95.60947898068495)	(75.0, 96.54526612812606)	(80.0, 97.39864907045559)	(85.0, 98.15901514489406)	(90.0, 98.83510419137752)	(95.0, 99.45625710111995)	(100.0, 100.0)
Nac_oxy_1	(5.0, 28.837945869042375)	(10.0, 44.91548389282206)	(15.0, 55.87971274685817)	(20.0, 63.84607567494326)	(25.0, 70.18901798719556)	(30.0, 75.19985772839674)	(35.0, 79.38501405778938)	(40.0, 82.82917245350767)	(45.0, 85.60092815284035)	(50.0, 88.12455540123979)	(55.0, 90.39836048914333)	(60.0, 92.14796246739608)	(65.0, 93.78069848582365)	(70.0, 95.11872904034416)	(75.0, 96.2721452525321)	(80.0, 97.25534365367027)	(85.0, 98.163171979269)	(90.0, 98.90332305816199)	(95.0, 99.52491446766709)	(100.0, 100.0)
Nac_oxy_2	(5.0, 50.149350257868974)	(10.0, 63.79968978992311)	(15.0, 71.2091068032468)	(20.0, 76.30181357799371)	(25.0, 80.11695906432749)	(30.0, 83.15603128408337)	(35.0, 85.64100034528684)	(40.0, 87.82946118811556)	(45.0, 89.61344316743123)	(50.0, 91.27849301479253)	(55.0, 92.67553450950086)	(60.0, 93.9010287355377)	(65.0, 95.0492444795212)	(70.0, 96.05167244885097)	(75.0, 96.94448555002)	(80.0, 97.69041472785369)	(85.0, 98.44401694645862)	(90.0, 99.0364853088673)	(95.0, 99.53578103333936)	(100.0, 100.0)
