Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Nac_Sal_1	(5.0, 43.92900699173566)	(10.0, 60.92278790725156)	(15.0, 70.50366251808533)	(20.0, 76.82955466507086)	(25.0, 81.26093642292804)	(30.0, 84.7272617090741)	(35.0, 87.34594320256339)	(40.0, 89.53663654337073)	(45.0, 91.36145682622166)	(50.0, 92.92039420360116)	(55.0, 94.21647868012998)	(60.0, 95.27849529970533)	(65.0, 96.22006923560558)	(70.0, 97.01014294046799)	(75.0, 97.70628650208691)	(80.0, 98.27819987425481)	(85.0, 98.80693568057691)	(90.0, 99.27431389332868)	(95.0, 99.65230696976813)	(100.0, 100.0)
Nac_Sal_2	(5.0, 36.87193858514008)	(10.0, 54.21750831593405)	(15.0, 64.91509411493851)	(20.0, 72.25613870739821)	(25.0, 77.62358787898033)	(30.0, 81.70891452251851)	(35.0, 84.88445019569238)	(40.0, 87.45187078745346)	(45.0, 89.65331089288124)	(50.0, 91.48003778887451)	(55.0, 93.06463008978827)	(60.0, 94.40073672427617)	(65.0, 95.5280518882529)	(70.0, 96.51564348260997)	(75.0, 97.30079467780222)	(80.0, 98.02402292736755)	(85.0, 98.64484015147305)	(90.0, 99.17753626064797)	(95.0, 99.62290513881061)	(100.0, 100.0)
Nac_Sal_3	(5.0, 20.31994395142457)	(10.0, 34.19780476412891)	(15.0, 44.74194301728164)	(20.0, 53.22629612330687)	(25.0, 60.279075198505375)	(30.0, 66.18986454927604)	(35.0, 71.21788883699206)	(40.0, 75.4542269967305)	(45.0, 79.15109761793555)	(50.0, 82.39841195702942)	(55.0, 85.32928538066324)	(60.0, 87.81293787949556)	(65.0, 90.07122839794489)	(70.0, 92.1076599719757)	(75.0, 93.92923867351705)	(80.0, 95.5056048575432)	(85.0, 96.8612797758057)	(90.0, 98.02662307333021)	(95.0, 99.09271368519383)	(100.0, 100.0)
Nac_Sal_4	(5.0, 63.37189682726653)	(10.0, 75.46623200494088)	(15.0, 81.38828578159521)	(20.0, 85.03982630509942)	(25.0, 87.65225364039807)	(30.0, 89.62860617482825)	(35.0, 91.24266985871371)	(40.0, 92.60650591823351)	(45.0, 93.71947764187524)	(50.0, 94.69046269825604)	(55.0, 95.54174599030925)	(60.0, 96.29943269004247)	(65.0, 96.92595681822523)	(70.0, 97.5091845635661)	(75.0, 98.05930331026315)	(80.0, 98.5597585589945)	(85.0, 99.00545661766111)	(90.0, 99.37538600635438)	(95.0, 99.70010887766861)	(100.0, 100.0)
Nac_Sal_5	(5.0, 51.68083090534774)	(10.0, 67.51462134110288)	(15.0, 75.8870755180692)	(20.0, 81.16643039814214)	(25.0, 85.007515476182)	(30.0, 87.84914907712802)	(35.0, 90.00762233129359)	(40.0, 91.73938750650035)	(45.0, 93.1619852254999)	(50.0, 94.40862819407738)	(55.0, 95.41164150822428)	(60.0, 96.3106491804213)	(65.0, 97.04225051112361)	(70.0, 97.7040398355856)	(75.0, 98.25683694622339)	(80.0, 98.72913653946159)	(85.0, 99.12521281976392)	(90.0, 99.47498521837623)	(95.0, 99.76705585672866)	(100.0, 100.0)
Nac_Sal_6	(5.0, 56.897457204587006)	(10.0, 71.4688382915074)	(15.0, 78.68505899950141)	(20.0, 83.17633372112348)	(25.0, 86.33737743061326)	(30.0, 88.75120491939505)	(35.0, 90.6245637360811)	(40.0, 92.1715140435433)	(45.0, 93.41864716636198)	(50.0, 94.52152235333223)	(55.0, 95.41831477480471)	(60.0, 96.2546119328569)	(65.0, 96.97789596144258)	(70.0, 97.57952468007312)	(75.0, 98.11002160545122)	(80.0, 98.580023267409)	(85.0, 99.00216054512215)	(90.0, 99.3943825826824)	(95.0, 99.71414326076118)	(100.0, 100.0)
Nac_Sal_7	(5.0, 32.46174770486229)	(10.0, 48.88388303298198)	(15.0, 59.61237674260455)	(20.0, 67.15572934376063)	(25.0, 72.93437606256376)	(30.0, 77.51105066303978)	(35.0, 81.16456987419245)	(40.0, 84.24345460727643)	(45.0, 86.72645358721523)	(50.0, 88.87453247194831)	(55.0, 90.75824549472968)	(60.0, 92.39799387963278)	(65.0, 93.84138048282897)	(70.0, 95.07735464127848)	(75.0, 96.16116967018021)	(80.0, 97.15062903774226)	(85.0, 97.99642978578714)	(90.0, 98.78017681060864)	(95.0, 99.41006460387624)	(100.0, 100.0)
Nac_Sal_8	(5.0, 47.97314854915548)	(10.0, 64.3308791684712)	(15.0, 73.24238487079543)	(20.0, 78.91078388912949)	(25.0, 82.97964486790819)	(30.0, 86.0300274289014)	(35.0, 88.38386025696549)	(40.0, 90.29666522304028)	(45.0, 91.91713584524325)	(50.0, 93.29796448679082)	(55.0, 94.42471488378807)	(60.0, 95.45474231268948)	(65.0, 96.32597083874693)	(70.0, 97.09975458351379)	(75.0, 97.745055579616)	(80.0, 98.32394976180164)	(85.0, 98.82200086617583)	(90.0, 99.24859246427025)	(95.0, 99.64919878735384)	(100.0, 100.0)
Nac_oxy_1	(5.0, 30.30887852624775)	(10.0, 46.94491897132831)	(15.0, 58.09594164088831)	(20.0, 66.04552380072948)	(25.0, 72.3496006279145)	(30.0, 77.22424858026686)	(35.0, 81.26044600397064)	(40.0, 84.52098434830786)	(45.0, 87.11667205318805)	(50.0, 89.46211736460593)	(55.0, 91.5342351909137)	(60.0, 93.10309801929914)	(65.0, 94.58885451775244)	(70.0, 95.80497714575927)	(75.0, 96.82349138926081)	(80.0, 97.6536312849162)	(85.0, 98.4339073826123)	(90.0, 99.07197931575789)	(95.0, 99.60847684565307)	(100.0, 100.0)
Nac_oxy_2	(5.0, 57.98367829051569)	(10.0, 72.28530777697243)	(15.0, 79.36833910499047)	(20.0, 83.83868889425787)	(25.0, 86.9345789374782)	(30.0, 89.26874446323589)	(35.0, 91.10493678022067)	(40.0, 92.67133768220987)	(45.0, 93.86727873077233)	(50.0, 94.95516898875198)	(55.0, 95.81017959249417)	(60.0, 96.5631795119594)	(65.0, 97.23832917237121)	(70.0, 97.82287723819495)	(75.0, 98.3302461678881)	(80.0, 98.74902687176183)	(85.0, 99.15841185471531)	(90.0, 99.46578615339186)	(95.0, 99.7389331830018)	(100.0, 100.0)
