Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Nac_Sal_1	(5.0, 13.627445484612366)	(10.0, 23.857839564998038)	(15.0, 32.70923258030159)	(20.0, 40.2657099613207)	(25.0, 47.065418465160604)	(30.0, 53.31576882112226)	(35.0, 59.21856606312013)	(40.0, 64.45428555412299)	(45.0, 69.4041145804137)	(50.0, 73.8157968495992)	(55.0, 77.87432030943438)	(60.0, 81.52923370144066)	(65.0, 84.67402881327429)	(70.0, 87.53293346039577)	(75.0, 90.25730141824093)	(80.0, 92.56124222209765)	(85.0, 94.9660855429116)	(90.0, 96.83838780200684)	(95.0, 98.45843376870901)	(100.0, 100.0)
Nac_Sal_2	(5.0, 13.164434626535966)	(10.0, 22.96700262322242)	(15.0, 32.003313544111556)	(20.0, 39.658981085185694)	(25.0, 46.852133094021816)	(30.0, 52.96838326660224)	(35.0, 58.87753693221041)	(40.0, 64.04804638961757)	(45.0, 68.88029821897004)	(50.0, 73.36738920336877)	(55.0, 77.59215794560265)	(60.0, 81.08518569653458)	(65.0, 84.3642137235952)	(70.0, 87.56730636476598)	(75.0, 90.34239955819412)	(80.0, 92.84826729255833)	(85.0, 95.2022642551429)	(90.0, 97.22490680657187)	(95.0, 98.61245340328593)	(100.0, 100.0)
Nac_Sal_3	(5.0, 14.765558397271953)	(10.0, 23.39300937766411)	(15.0, 31.3384484228474)	(20.0, 38.192668371696506)	(25.0, 44.808184143222505)	(30.0, 50.12787723785166)	(35.0, 55.63512361466326)	(40.0, 61.19352088661552)	(45.0, 65.95055413469736)	(50.0, 70.36658141517476)	(55.0, 74.4075021312873)	(60.0, 78.1074168797954)	(65.0, 81.56862745098039)	(70.0, 85.2685421994885)	(75.0, 88.45694799658995)	(80.0, 91.30434782608695)	(85.0, 93.58908780903666)	(90.0, 96.02728047740835)	(95.0, 98.20971867007673)	(100.0, 100.0)
Nac_Sal_4	(5.0, 14.742632948100132)	(10.0, 24.796366582796708)	(15.0, 33.18904857349994)	(20.0, 40.49852872190712)	(25.0, 47.49882724209988)	(30.0, 53.424453068361125)	(35.0, 58.883108021664036)	(40.0, 63.8236172118214)	(45.0, 68.33340440956971)	(50.0, 72.49989338564545)	(55.0, 76.37212674314469)	(60.0, 79.9394430466118)	(65.0, 83.1805194251354)	(70.0, 86.09322359162438)	(75.0, 88.85879994882511)	(80.0, 91.52415881274254)	(85.0, 93.93151093863278)	(90.0, 96.11923749413621)	(95.0, 98.11932278561986)	(100.0, 100.0)
Nac_Sal_5	(5.0, 14.937247870909905)	(10.0, 25.888988495443)	(15.0, 35.00672344240251)	(20.0, 42.817122366651724)	(25.0, 49.69370984610787)	(30.0, 55.812042432392055)	(35.0, 61.29538323621694)	(40.0, 66.4201404452413)	(45.0, 70.9995517705065)	(50.0, 75.26520245032123)	(55.0, 79.0415359330644)	(60.0, 82.40699238009861)	(65.0, 85.54086358882414)	(70.0, 88.21156432093231)	(75.0, 90.79261915434036)	(80.0, 93.22052891080233)	(85.0, 95.22262064843866)	(90.0, 97.20603615717914)	(95.0, 98.69639922306888)	(100.0, 100.0)
Nac_Sal_6	(5.0, 14.058140581405814)	(10.0, 24.141241412414125)	(15.0, 32.49332493324933)	(20.0, 40.02040020400204)	(25.0, 46.806468064680644)	(30.0, 52.776527765277656)	(35.0, 58.479584795847956)	(40.0, 63.549635496354966)	(45.0, 68.41868418684187)	(50.0, 72.54672546725467)	(55.0, 76.31476314763148)	(60.0, 79.93279932799328)	(65.0, 83.28383283832838)	(70.0, 86.40086400864008)	(75.0, 89.2838928389284)	(80.0, 91.87291872918729)	(85.0, 94.1529415294153)	(90.0, 96.2559625596256)	(95.0, 98.2479824798248)	(100.0, 100.0)
Nac_Sal_7	(5.0, 13.3089859011381)	(10.0, 22.753524715474775)	(15.0, 30.66077798539154)	(20.0, 37.91404790215729)	(25.0, 44.09716324103958)	(30.0, 50.12739935450994)	(35.0, 55.46118566332597)	(40.0, 60.760998810939356)	(45.0, 65.64464073382028)	(50.0, 70.12909801257007)	(55.0, 74.24834380839137)	(60.0, 78.12128418549347)	(65.0, 81.64599966026839)	(70.0, 85.05180907083404)	(75.0, 87.99048751486326)	(80.0, 90.91217937829116)	(85.0, 93.36674027518261)	(90.0, 95.948700526584)	(95.0, 98.11448955325292)	(100.0, 100.0)
Nac_Sal_8	(5.0, 13.66534232652684)	(10.0, 23.787304813822416)	(15.0, 32.43555391296314)	(20.0, 40.20142289568511)	(25.0, 46.803104499676614)	(30.0, 52.59170285503095)	(35.0, 57.839785641689)	(40.0, 62.65360805691583)	(45.0, 67.30573778065231)	(50.0, 71.51436755058671)	(55.0, 75.33493486094429)	(60.0, 79.14626258893098)	(65.0, 82.64344451630787)	(70.0, 86.07132957590316)	(75.0, 88.86630324309341)	(80.0, 91.47648526286612)	(85.0, 93.9157350087776)	(90.0, 96.1886722720133)	(95.0, 98.22138039360621)	(100.0, 100.0)
Nac_oxy_1	(5.0, 12.56512411890898)	(10.0, 22.463990193073858)	(15.0, 31.36173255695168)	(20.0, 39.513739912146285)	(25.0, 46.286648278680154)	(30.0, 52.804167943610175)	(35.0, 58.63724588824191)	(40.0, 64.11277965062826)	(45.0, 68.83236285626724)	(50.0, 73.32720400449485)	(55.0, 77.83226070078659)	(60.0, 81.58136684033099)	(65.0, 84.84012667279599)	(70.0, 87.5268158136684)	(75.0, 90.1726427622842)	(80.0, 92.84911635509245)	(85.0, 95.16804576565532)	(90.0, 97.03749106139544)	(95.0, 98.60046991521095)	(100.0, 100.0)
Nac_oxy_2	(5.0, 15.254237288135593)	(10.0, 26.00364690760171)	(15.0, 34.86682808716707)	(20.0, 42.73159357905121)	(25.0, 49.750396078079696)	(30.0, 55.92921412130452)	(35.0, 61.30391893103757)	(40.0, 66.2631154156578)	(45.0, 70.66630795444355)	(50.0, 74.90210145577377)	(55.0, 78.71341882641318)	(60.0, 82.04346396436792)	(65.0, 85.29877738917287)	(70.0, 88.1624966370729)	(75.0, 90.77212806026365)	(80.0, 92.97521896391953)	(85.0, 95.26200938630318)	(90.0, 97.12432367799599)	(95.0, 98.63091501509581)	(100.0, 100.0)
