Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
Nac_Sal_1	7282413.0	187423.0	1806149.0	3867190.0	22865.0	28144.0	23734.0	68131.0	116015.0	42985.0	485279.0
Nac_Sal_2	5388974.0	133768.0	1365983.0	5369916.0	23378.0	36688.0	34175.0	61644.0	126668.0	52671.0	625780.0
Nac_Sal_3	2127260.0	30393.0	463438.0	1313706.0	5134.0	7013.0	13486.0	23932.0	194580.0	29933.0	394504.0
Nac_Sal_4	24275050.0	554943.0	6357371.0	8966011.0	63745.0	79454.0	59590.0	217835.0	353916.0	114440.0	1154718.0
Nac_Sal_5	12338296.0	267607.0	3455609.0	16296700.0	48590.0	100151.0	97775.0	161268.0	318223.0	148309.0	1776694.0
Nac_Sal_6	14984271.0	372519.0	3399175.0	6205760.0	43885.0	55919.0	42667.0	123818.0	218859.0	72772.0	791720.0
Nac_Sal_7	5094297.0	82967.0	1005512.0	2706943.0	10706.0	15031.0	20302.0	39949.0	239509.0	44606.0	635138.0
Nac_Sal_8	9882191.0	235456.0	2286960.0	3814714.0	29012.0	32778.0	29034.0	84037.0	249834.0	54158.0	633996.0
Nac_oxy_1	3526574.0	76821.0	1023519.0	4734645.0	17592.0	31065.0	33232.0	49021.0	113739.0	47237.0	567848.0
Nac_oxy_2	16736289.0	410163.0	4183874.0	10407647.0	54398.0	72848.0	60288.0	163627.0	283336.0	105369.0	1160760.0
Nac_oxy_3	18302991.0	382557.0	4930072.0	12871616.0	51436.0	85360.0	71154.0	188564.0	321908.0	128957.0	1418672.0
Nac_oxy_4	13027366.0	271951.0	3687815.0	14523313.0	43011.0	85371.0	78294.0	159187.0	297732.0	131912.0	1511935.0
Nac_oxy_5	10438514.0	212683.0	2738786.0	8512631.0	28875.0	51085.0	48761.0	110664.0	359649.0	94452.0	1147682.0
Nac_oxy_6	6978494.0	168658.0	1727439.0	3481292.0	20573.0	26788.0	22242.0	62512.0	107653.0	38897.0	454528.0
Nac_oxy_7	9763367.0	214277.0	2641469.0	11874438.0	35799.0	71363.0	68918.0	122460.0	256017.0	108698.0	1295065.0
Nac_oxy_8	9132115.0	219639.0	2426714.0	6522638.0	29546.0	42748.0	38436.0	95235.0	169735.0	65836.0	758643.0
