Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
Nac_Sal_1	100.0	100.0	100.0	15.418707360365955	62.316136995930215	84.58129263963404	84.50417858208706	84.50417858208706	0.07711405754698278	0.0	0.0
Nac_Sal_2	100.0	100.0	100.0	13.997833393791828	55.41208516102657	86.00216660620818	85.8909126393503	85.8909126393503	0.11125396685786565	0.0	0.0
Nac_Sal_3	100.0	100.0	100.0	20.12798938439564	0.0	79.87201061560437	79.68003561942065	79.68003561942065	0.19197499618370556	0.0	0.0
Nac_Sal_4	100.0	100.0	100.0	13.870800288168914	0.0	86.12919971183108	85.96794812163135	85.96794812163135	0.16125159019973495	0.0	0.0
Nac_Sal_5	100.0	100.0	100.0	11.219376404482778	0.0	88.78062359551723	88.67583322878619	88.67583322878619	0.1047903667310354	0.0	0.0
Nac_Sal_6	100.0	100.0	100.0	14.41974484432994	0.0	85.58025515567006	85.49214753307743	85.49214753307743	0.08810762259262478	0.0	0.0
Nac_Sal_7	100.0	100.0	100.0	22.779687548679334	0.0	77.22031245132067	77.12819018010389	77.12819018010389	0.09212227121677856	0.0	0.0
Nac_Sal_8	100.0	100.0	100.0	16.171832890888176	0.0	83.82816710911183	83.67638484510847	83.67638484510847	0.1517822640033464	0.0	0.0
Nac_oxy_1	100.0	100.0	100.0	14.634602497941748	0.0	85.36539750205824	85.24357937890107	85.24357937890107	0.12181812315717666	0.0	0.0
Nac_oxy_2	100.0	100.0	100.0	18.384024995450847	26.19270677714584	81.61597500454916	81.48180591076299	81.48180591076299	0.1341690937861736	0.0	0.0
Nac_oxy_3	100.0	100.0	100.0	12.63295284583462	0.0	87.36704715416538	87.10678633232158	87.10678633232158	0.2602608218438124	0.0	0.0
Nac_oxy_4	100.0	100.0	100.0	8.57887494409957	23.18499092243054	91.42112505590043	91.23633902595014	91.23633902595014	0.18478602995028512	0.0	0.0
Nac_oxy_5	100.0	100.0	100.0	13.2473286235828	43.78769795014997	86.7526713764172	86.63891531596065	86.63891531596065	0.11375606045656399	0.0	0.0
Nac_oxy_6	100.0	100.0	100.0	14.830919557760602	0.0	85.16908044223939	85.07576554506377	85.07576554506377	0.09331489717562541	0.0	0.0
Nac_oxy_7	100.0	100.0	100.0	10.955361452756792	0.0	89.04463854724321	88.93715394041058	88.93715394041058	0.10748460683262237	0.0	0.0
Nac_oxy_8	100.0	100.0	100.0	14.156485204041092	0.0	85.84351479595891	85.72804408782557	85.72804408782557	0.11547070813333335	0.0	0.0
