Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
Nac_Sal_1	49.608335	49.608335	49.608335	7.648963999999999	30.913998	41.959371	41.921116	41.921116	0.038255	0.0	0.0
Nac_Sal_2	36.769026	36.769026	36.769026	5.146866999999999	20.374484	31.622159	31.581252	31.581252	0.040907	0.0	0.0
Nac_Sal_3	39.645787999999996	39.645787999999996	39.645787999999996	7.9799	0.0	31.665888	31.589778	31.589778	0.07611	0.0	0.0
Nac_Sal_4	54.243185999999994	54.243185999999994	54.243185999999994	7.523963999999999	0.0	46.719221999999995	46.631754	46.631754	0.08746799999999999	0.0	0.0
Nac_Sal_5	44.541308	44.541308	44.541308	4.997256999999999	0.0	39.544050999999996	39.497375999999996	39.497375999999996	0.046675	0.0	0.0
Nac_Sal_6	58.327529999999996	58.327529999999996	58.327529999999996	8.410681	0.0	49.916849	49.865458	49.865458	0.051391	0.0	0.0
Nac_Sal_7	56.331655	56.331655	56.331655	12.832175	0.0	43.49948	43.447586	43.447586	0.051893999999999996	0.0	0.0
Nac_Sal_8	50.208106	50.208106	50.208106	8.119570999999999	0.0	42.088535	42.012328	42.012328	0.076207	0.0	0.0
Nac_oxy_1	17.233068	17.233068	17.233068	2.521991	0.0	14.711077	14.690083999999999	14.690083999999999	0.020992999999999998	0.0	0.0
Nac_oxy_2	48.860731	48.860731	48.860731	8.982569	12.797948	39.878161999999996	39.812605999999995	39.812605999999995	0.065556	0.0	0.0
Nac_oxy_3	48.340353	48.340353	48.340353	6.106814	0.0	42.233539	42.107728	42.107728	0.125811	0.0	0.0
Nac_oxy_4	41.797532	41.797532	41.797532	3.585758	9.690754	38.211774	38.134538	38.134538	0.077236	0.0	0.0
Nac_oxy_5	45.293411	45.293411	45.293411	6.000166999999999	19.832942	39.293244	39.24172	39.24172	0.051524	0.0	0.0
Nac_oxy_6	42.559121	42.559121	42.559121	6.311909	0.0	36.247212	36.207498	36.207498	0.039714	0.0	0.0
Nac_oxy_7	45.7833	45.7833	45.7833	5.015726	0.0	40.767573999999996	40.718364	40.718364	0.04921	0.0	0.0
Nac_oxy_8	45.167299	45.167299	45.167299	6.394101999999999	0.0	38.773196999999996	38.721042	38.721042	0.052155	0.0	0.0
