Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Nac_Sal_1	('10', 0.03813373297047764)	('11', 0.073356422867246)	('12', 0.1378589102012797)	('13', 0.02842159487916698)	('14', 0.033851166341301316)	('15', 0.03308593203138142)	('16', 0.03555602097913586)	('17', 0.030309604222758132)	('18', 0.029814626917029165)	('19', 0.028014102872027453)	('1', 0.06285226061306029)	('2', 0.07320542001661616)	('3', 0.03968502470401395)	('4', 0.04183444173242259)	('5', 0.049777965739023496)	('6', 0.05134619011099647)	('7', 0.04809770374272791)	('8', 0.0387046450964339)	('9', 0.055237572476480014)	('MT', 0.04332354633550995)	('X', 0.026638850104523767)
Nac_Sal_2	('10', 0.045401936945514955)	('11', 0.060094276089880654)	('12', 0.12716692577062008)	('13', 0.02976502559518438)	('14', 0.037313607382474585)	('15', 0.03312404848580977)	('16', 0.03984505871871613)	('17', 0.03650118444801883)	('18', 0.02670486838568963)	('19', 0.025389141393084496)	('1', 0.05891417955971964)	('2', 0.07690323371633505)	('3', 0.040281540228996)	('4', 0.044368132025036505)	('5', 0.06161147700784894)	('6', 0.05635243098362192)	('7', 0.05095468125807847)	('8', 0.04141570135689752)	('9', 0.05782312536644294)	('MT', 0.02082236282244735)	('X', 0.028059269233838287)
Nac_Sal_3	('10', 0.01642691526272602)	('11', 0.06553023993368476)	('12', 0.05343891764744341)	('13', 0.025834169319575637)	('14', 0.020828770007043373)	('15', 0.016173420490469253)	('16', 0.08044345089067217)	('17', 0.33914520755647487)	('18', 0.015263159859503864)	('19', 0.0046693737049696175)	('1', 0.019796554428430077)	('2', 0.04924288552418229)	('3', 0.05858526509802252)	('4', 0.006605594521163257)	('5', 0.030007803098780633)	('6', 0.05361739814580051)	('7', 0.01154377357816674)	('8', 0.022296643466892373)	('9', 0.09517772732881485)	('MT', 0.008329585982753074)	('X', 0.006888575401755162)
Nac_Sal_4	('10', 0.039092799600672426)	('11', 0.06150221338399997)	('12', 0.15168740272741355)	('13', 0.027239218581297936)	('14', 0.031193871982372126)	('15', 0.034590943828410076)	('16', 0.033272769044207694)	('17', 0.03355195618487454)	('18', 0.02390591511346697)	('19', 0.028339448940185776)	('1', 0.060015777834288714)	('2', 0.07309983598677261)	('3', 0.03767756193376989)	('4', 0.04167953925125268)	('5', 0.049454322244272306)	('6', 0.05004326257679628)	('7', 0.04741637041747511)	('8', 0.03801760464438796)	('9', 0.05998475089571619)	('MT', 0.0507887386998249)	('X', 0.02678813888255015)
Nac_Sal_5	('10', 0.04645029732849336)	('11', 0.06040857623669246)	('12', 0.0923897879245037)	('13', 0.033029586827580365)	('14', 0.03975390664324451)	('15', 0.03425193530463901)	('16', 0.04145412613388004)	('17', 0.04019221887242288)	('18', 0.027934428867692884)	('19', 0.025761816424430106)	('1', 0.061880850019043)	('2', 0.08128843005688113)	('3', 0.04192452094132485)	('4', 0.04851543650222396)	('5', 0.05834752315760462)	('6', 0.05700663303376722)	('7', 0.05330499050454468)	('8', 0.0451364607433621)	('9', 0.05588464083722014)	('MT', 0.025212506107813448)	('X', 0.02830071806602536)
Nac_Sal_6	('10', 0.03857144302184577)	('11', 0.06260681705534248)	('12', 0.16596962017764166)	('13', 0.026299707873794757)	('14', 0.03177112077264373)	('15', 0.034494586004241906)	('16', 0.033319223358163806)	('17', 0.03427242675971364)	('18', 0.024130526356936424)	('19', 0.027054480105706515)	('1', 0.056065291981333684)	('2', 0.0723241837945135)	('3', 0.03585481847079758)	('4', 0.04234622998779478)	('5', 0.05199124667202606)	('6', 0.04822698646762515)	('7', 0.04956549677313612)	('8', 0.03746071537745555)	('9', 0.059283360704627815)	('MT', 0.04021740677172512)	('X', 0.02749092924044615)
Nac_Sal_7	('10', 0.012597819112539833)	('11', 0.053948530360061316)	('12', 0.04743427119263583)	('13', 0.017639371681872296)	('14', 0.013047779263719484)	('15', 0.013666916052794827)	('16', 0.093539538293345)	('17', 0.4025443775795332)	('18', 0.01840162516084429)	('19', 0.004364490977586226)	('1', 0.017777642073537516)	('2', 0.03444725705289504)	('3', 0.05140358471626655)	('4', 0.007989965854899878)	('5', 0.038888560969849016)	('6', 0.04906695888839055)	('7', 0.009624624023561885)	('8', 0.015569523032831186)	('9', 0.04645712965472078)	('MT', 0.04379392013247259)	('X', 0.0076471390730487145)
Nac_Sal_8	('10', 0.03088493320182203)	('11', 0.06901991084865858)	('12', 0.13271386895175852)	('13', 0.027328216682780265)	('14', 0.029526407548613763)	('15', 0.03075248446934047)	('16', 0.048486732401337745)	('17', 0.09257182495591448)	('18', 0.023130567801143503)	('19', 0.0225445269733935)	('1', 0.04702569342089901)	('2', 0.06823989735840663)	('3', 0.04108241007936049)	('4', 0.03212714297567807)	('5', 0.04713736861533872)	('6', 0.051118956767658194)	('7', 0.03809978412649145)	('8', 0.034674480650594544)	('9', 0.07145419904905395)	('MT', 0.04092606082372436)	('X', 0.020609580453004938)
Nac_oxy_1	('10', 0.049549505636489105)	('11', 0.06336753269934292)	('12', 0.09327335097847929)	('13', 0.03174222953219937)	('14', 0.038087124126708026)	('15', 0.03306265605172567)	('16', 0.04418470350143108)	('17', 0.04711291106145464)	('18', 0.026342900753365563)	('19', 0.02301505454513381)	('1', 0.058982184716035474)	('2', 0.0799276716136674)	('3', 0.04234481057000413)	('4', 0.0476534996554299)	('5', 0.06385032543247668)	('6', 0.05355854221662678)	('7', 0.04897659546170188)	('8', 0.04191998778163006)	('9', 0.058184242062991914)	('MT', 0.024325848421186524)	('X', 0.028645160571524466)
Nac_oxy_2	('10', 0.035927338049854395)	('11', 0.062019641089692254)	('12', 0.19683786556529415)	('13', 0.026122388549610524)	('14', 0.03162459849403399)	('15', 0.03488760739171094)	('16', 0.031927213696414)	('17', 0.029154639540697826)	('18', 0.024691136937758873)	('19', 0.023985171241093384)	('1', 0.05514326013665248)	('2', 0.07149641293741593)	('3', 0.03474436352579334)	('4', 0.039227493342250654)	('5', 0.047151464025374484)	('6', 0.05152376864766923)	('7', 0.045306076161652185)	('8', 0.03569932263191068)	('9', 0.05962853891809355)	('MT', 0.03781331065227002)	('X', 0.024286046805153203)
