Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Nac_Sal_1	('10', 0.7952479531532174)	('11', 1.63770911773825)	('12', 3.1278008137024216)	('13', 0.6432741498911763)	('14', 0.738678714233522)	('15', 0.8667220318609798)	('16', 0.9867780982293486)	('17', 0.8696951409585054)	('18', 0.8959043490404323)	('19', 1.2429032436020255)	('1', 0.8763722133988247)	('2', 1.0956048410315)	('3', 0.6758513246588946)	('4', 0.7285331247825089)	('5', 0.8935489384487405)	('6', 0.9346146885687892)	('7', 0.901339303418341)	('8', 0.8152239513829496)	('9', 1.2083306040563222)	('MT', 7244.613626118123)	('X', 0.4245140500203072)
Nac_Sal_2	('10', 0.9468204293837318)	('11', 1.3416268137063279)	('12', 2.885216583539254)	('13', 0.6736804045527414)	('14', 0.814233909898456)	('15', 0.8677205339070501)	('16', 1.105810779259108)	('17', 1.0473545784486458)	('18', 0.8024587325500452)	('19', 1.126441433226998)	('1', 0.8214620991786373)	('2', 1.1509469535379926)	('3', 0.686010214838392)	('4', 0.7726565128252024)	('5', 1.1059686561972868)	('6', 1.025739390205944)	('7', 0.9548783691779466)	('8', 0.8723260896810804)	('9', 1.264889981039783)	('MT', 3481.939642319493)	('X', 0.4471497071506135)
Nac_Sal_3	('10', 0.34256994324205514)	('11', 1.4629867056247825)	('12', 1.2124445917714695)	('13', 0.5847122013330802)	('14', 0.4545122284042719)	('15', 0.4236803683313447)	('16', 2.232528649127619)	('17', 9.73133588032017)	('18', 0.45864505822202734)	('19', 0.20716636010113731)	('1', 0.2760306479494952)	('2', 0.7369774499539564)	('3', 0.9977297309830373)	('4', 0.1150342688526803)	('5', 0.5386608352915039)	('6', 0.9759557186536815)	('7', 0.2163275172432117)	('8', 0.46962729523468927)	('9', 2.0820277865198373)	('MT', 1392.8830212385967)	('X', 0.10977564839304942)
Nac_Sal_4	('10', 0.8152485068674425)	('11', 1.3730595315742062)	('12', 3.441547455920676)	('13', 0.616513086302141)	('14', 0.6806929195757198)	('15', 0.9061474553750642)	('16', 0.9234115307653179)	('17', 0.9627302636214601)	('18', 0.7183525515026155)	('19', 1.2573378905102055)	('1', 0.8368220895551779)	('2', 1.0940246523759884)	('3', 0.6416634570037276)	('4', 0.7258355487191044)	('5', 0.8877393137106195)	('6', 0.9108985139320382)	('7', 0.888571282140986)	('8', 0.8007530311437554)	('9', 1.312175880191895)	('MT', 8492.951744731017)	('X', 0.42689310105043404)
Nac_Sal_5	('10', 0.9686831316105486)	('11', 1.348643680069505)	('12', 2.0961782842047625)	('13', 0.7475681599888913)	('14', 0.867484574945445)	('15', 0.8972667577945227)	('16', 1.1504668583178408)	('17', 1.1532640677452588)	('18', 0.8394059862017683)	('19', 1.142975926849189)	('1', 0.8628274777903634)	('2', 1.216576552254664)	('3', 0.7139908120308677)	('4', 0.8448804643127197)	('5', 1.0473784254650356)	('6', 1.0376473203568641)	('7', 0.9989225944565355)	('8', 0.950695292179163)	('9', 1.222485326433591)	('MT', 4216.06449025941)	('X', 0.4509974115831334)
Nac_Sal_6	('10', 0.8043760398971661)	('11', 1.3977202147609884)	('12', 3.76558839964405)	('13', 0.5952488696298471)	('14', 0.6932892771100962)	('15', 0.9036232572031787)	('16', 0.9247007666898622)	('17', 0.9834032408578527)	('18', 0.7251019295990666)	('19', 1.2003276075253266)	('1', 0.7817390106462302)	('2', 1.082416108956623)	('3', 0.6106214306184303)	('4', 0.737445749917992)	('5', 0.9332788631013841)	('6', 0.8778382551970018)	('7', 0.9288453888370333)	('8', 0.7890234450038938)	('9', 1.296832859213957)	('MT', 6725.201368539941)	('X', 0.43809269787893934)
Nac_Sal_7	('10', 0.2627172606258563)	('11', 1.2044207801564)	('12', 1.0762086528690002)	('13', 0.399236984114083)	('14', 0.2847203760411585)	('15', 0.3580197541153324)	('16', 2.5959813602461654)	('17', 11.550493587053118)	('18', 0.5529532888971322)	('19', 0.19363961135911611)	('1', 0.2478802095745265)	('2', 0.5155435427983601)	('3', 0.8754229355233475)	('4', 0.1391426430023182)	('5', 0.6980765858249268)	('6', 0.8931276186481744)	('7', 0.18036312002467095)	('8', 0.32793604117408476)	('9', 1.0162570334225673)	('MT', 7323.270077564973)	('X', 0.12186404316367856)
Nac_Sal_8	('10', 0.644080135848163)	('11', 1.5408948921471983)	('12', 3.0110679584717452)	('13', 0.6185274059881534)	('14', 0.6443065666938118)	('15', 0.8055948310224204)	('16', 1.3456411676779871)	('17', 2.6562295489615573)	('18', 0.6950540198436247)	('19', 1.0002342687433776)	('1', 0.6556965593266858)	('2', 1.0212899793538928)	('3', 0.6996493382428802)	('4', 0.5594836907854627)	('5', 0.8461483924097611)	('6', 0.9304785370849605)	('7', 0.713980714519102)	('8', 0.7303378459536316)	('9', 1.5630718662748526)	('MT', 6843.703320378299)	('X', 0.3284322120885666)
Nac_oxy_1	('10', 1.0333145975422247)	('11', 1.4147034712706499)	('12', 2.1162249336026666)	('13', 0.7184310312206733)	('14', 0.8311131024293003)	('15', 0.8661122922181113)	('16', 1.2262479459542002)	('17', 1.3518444360217632)	('18', 0.7915819110183367)	('19', 1.0211101914096061)	('1', 0.8224103201142365)	('2', 1.1962112085749057)	('3', 0.7211485070153579)	('4', 0.8298701159405223)	('5', 1.1461575350209436)	('6', 0.9748844100366991)	('7', 0.917809521081901)	('8', 0.8829477184487635)	('9', 1.2727894656933065)	('MT', 4067.796564349227)	('X', 0.45648641288892683)
Nac_oxy_2	('10', 0.7492353834991607)	('11', 1.3846112953906642)	('12', 4.465940106328071)	('13', 0.5912355502503812)	('14', 0.6900919607376335)	('15', 0.9139188805874284)	('16', 0.8860686416963379)	('17', 0.8365549137030031)	('18', 0.7419478039034687)	('19', 1.064151412240012)	('1', 0.7688827811221713)	('2', 1.0700275486820554)	('3', 0.591709953275209)	('4', 0.6831339709229575)	('5', 0.8464014147759318)	('6', 0.937847012298946)	('7', 0.8490248795782911)	('8', 0.7519237751740148)	('9', 1.3043836870379302)	('MT', 6323.185629324555)	('X', 0.387020012042019)
