Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Nac_Sal_1	('10', 1891751)	('11', 3639090)	('12', 6838951)	('13', 1409948)	('14', 1679300)	('15', 1641338)	('16', 1763875)	('17', 1503609)	('18', 1479054)	('19', 1389733)	('1', 3117996)	('2', 3631599)	('3', 1968708)	('4', 2075337)	('5', 2469402)	('6', 2547199)	('7', 2386047)	('8', 1920073)	('9', 2740244)	('MT', 2149209)	('X', 1321509)
Nac_Sal_2	('10', 1669385)	('11', 2209608)	('12', 4675804)	('13', 1094431)	('14', 1371985)	('15', 1217939)	('16', 1465064)	('17', 1342113)	('18', 981912)	('19', 933534)	('1', 2166217)	('2', 2827657)	('3', 1481113)	('4', 1631373)	('5', 2265394)	('6', 2072024)	('7', 1873554)	('8', 1522815)	('9', 2126100)	('MT', 765618)	('X', 1031712)
Nac_Sal_3	('10', 651258)	('11', 2597998)	('12', 2118628)	('13', 1024216)	('14', 825773)	('15', 641208)	('16', 3189244)	('17', 13445679)	('18', 605120)	('19', 185121)	('1', 784850)	('2', 1952273)	('3', 2322659)	('4', 261884)	('5', 1189683)	('6', 2125704)	('7', 457662)	('8', 883968)	('9', 3773396)	('MT', 330233)	('X', 273103)
Nac_Sal_4	('10', 2120518)	('11', 3336076)	('12', 8228008)	('13', 1477542)	('14', 1692055)	('15', 1876323)	('16', 1804821)	('17', 1819965)	('18', 1296733)	('19', 1537222)	('1', 3255447)	('2', 3965168)	('3', 2043751)	('4', 2260831)	('5', 2682560)	('6', 2714506)	('7', 2572015)	('8', 2062196)	('9', 3253764)	('MT', 2754943)	('X', 1453074)
Nac_Sal_5	('10', 2068957)	('11', 2690677)	('12', 4115162)	('13', 1471181)	('14', 1770691)	('15', 1525626)	('16', 1846421)	('17', 1790214)	('18', 1244236)	('19', 1147465)	('1', 2756254)	('2', 3620693)	('3', 1867373)	('4', 2160941)	('5', 2598875)	('6', 2539150)	('7', 2374274)	('8', 2010437)	('9', 2489175)	('MT', 1122998)	('X', 1260551)
Nac_Sal_6	('10', 2249777)	('11', 3651701)	('12', 9680598)	('13', 1533997)	('14', 1853131)	('15', 2011984)	('16', 1943428)	('17', 1999026)	('18', 1407474)	('19', 1578021)	('1', 3270150)	('2', 4218491)	('3', 2091323)	('4', 2469951)	('5', 3032521)	('6', 2812961)	('7', 2891033)	('8', 2184991)	('9', 3457852)	('MT', 2345782)	('X', 1603478)
Nac_Sal_7	('10', 709656)	('11', 3039010)	('12', 2672051)	('13', 993655)	('14', 735003)	('15', 769880)	('16', 5269237)	('17', 22675991)	('18', 1036594)	('19', 245859)	('1', 1001444)	('2', 1940471)	('3', 2895649)	('4', 450088)	('5', 2190657)	('6', 2764023)	('7', 542171)	('8', 877057)	('9', 2617007)	('MT', 2466984)	('X', 430776)
Nac_Sal_8	('10', 1550674)	('11', 3465359)	('12', 6663312)	('13', 1372098)	('14', 1482465)	('15', 1544024)	('16', 2434427)	('17', 4647856)	('18', 1161342)	('19', 1131918)	('1', 2361071)	('2', 3426196)	('3', 2062670)	('4', 1613043)	('5', 2366678)	('6', 2566586)	('7', 1912918)	('8', 1740940)	('9', 3587580)	('MT', 2054820)	('X', 1034768)
Nac_oxy_1	('10', 853890)	('11', 1092017)	('12', 1607386)	('13', 547016)	('14', 656358)	('15', 569771)	('16', 761438)	('17', 811900)	('18', 453969)	('19', 396620)	('1', 1016444)	('2', 1377399)	('3', 729731)	('4', 821216)	('5', 1100337)	('6', 922978)	('7', 844017)	('8', 722410)	('9', 1002693)	('MT', 419209)	('X', 493644)
Nac_oxy_2	('10', 1755436)	('11', 3030325)	('12', 9617642)	('13', 1276359)	('14', 1545201)	('15', 1704634)	('16', 1559987)	('17', 1424517)	('18', 1206427)	('19', 1171933)	('1', 2694340)	('2', 3493367)	('3', 1697635)	('4', 1916684)	('5', 2303855)	('6', 2517489)	('7', 2213688)	('8', 1744295)	('9', 2913494)	('MT', 1847586)	('X', 1186634)
Nac_oxy_3	('10', 2032346)	('11', 2719085)	('12', 7006716)	('13', 1476229)	('14', 1817227)	('15', 1704321)	('16', 1793357)	('17', 1555232)	('18', 1255225)	('19', 1253397)	('1', 3060443)	('2', 3757620)	('3', 2049964)	('4', 2127912)	('5', 2434980)	('6', 2482840)	('7', 2497662)	('8', 2006211)	('9', 2904050)	('MT', 945038)	('X', 1408791)
Nac_oxy_4	('10', 2007126)	('11', 2347533)	('12', 3650864)	('13', 1416321)	('14', 1732511)	('15', 1445246)	('16', 1724192)	('17', 1516788)	('18', 1202498)	('19', 1095664)	('1', 2710170)	('2', 3469179)	('3', 1878650)	('4', 1961475)	('5', 2375803)	('6', 2344635)	('7', 2280416)	('8', 1900226)	('9', 2365660)	('MT', 1065157)	('X', 1256074)
Nac_oxy_5	('10', 1454777)	('11', 3733210)	('12', 3528995)	('13', 1281166)	('14', 1330510)	('15', 1196786)	('16', 3959175)	('17', 5337239)	('18', 1289153)	('19', 702483)	('1', 1817026)	('2', 2972051)	('3', 3201706)	('4', 1274816)	('5', 2607193)	('6', 2309181)	('7', 1457060)	('8', 1469482)	('9', 2872753)	('MT', 558704)	('X', 908232)
Nac_oxy_6	('10', 1759385)	('11', 2424806)	('12', 7242053)	('13', 1179001)	('14', 1495154)	('15', 1461174)	('16', 1500487)	('17', 1269943)	('18', 1051184)	('19', 1112456)	('1', 2565656)	('2', 3108208)	('3', 1637316)	('4', 1782848)	('5', 2073078)	('6', 2182128)	('7', 2056082)	('8', 1617500)	('9', 2543872)	('MT', 1288749)	('X', 1175945)
