Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
Nac_Sal_1	41.959371	41.921116	41.921116	0.0	0.0	0.388163	5634.653531999999	0.0	0.0	0.0	0.0	15.580086	5.380472
Nac_Sal_2	31.622159	31.581252	31.581252	20.374484	0.0	0.23072399999999998	3883.163615	0.0	2561.472492	0.0	0.0	10.941357	4.849269
Nac_Sal_3	31.665888	31.589778	31.589778	27.854343999999998	0.0	0.543956	3914.866744	0.0	3614.680559	0.0	0.0	13.142272	2.652617
Nac_Sal_4	46.719221999999995	46.631754	46.631754	14.566730999999999	0.0	0.202623	6350.037625	0.0	2000.98148	0.0	0.0	19.153782	4.162095
Nac_Sal_5	39.544050999999996	39.497375999999996	39.497375999999996	0.0	0.0	0.266648	4777.686272999999	0.0	0.0	0.0	0.0	13.222458999999999	6.526229
Nac_Sal_6	49.916849	49.865458	49.865458	0.0	0.0	0.25251599999999996	6893.647367	0.0	0.0	0.0	0.0	20.837927999999998	4.0948009999999995
Nac_Sal_7	43.49948	43.447586	43.447586	0.0	0.0	0.561659	5572.866086	0.0	0.0	0.0	0.0	15.173343	6.55045
Nac_Sal_8	42.088535	42.012328	42.012328	0.0	0.0	0.393352	5434.539425999999	0.0	0.0	0.0	0.0	16.40956	4.596604
Nac_oxy_1	14.711077	14.690083999999999	14.690083999999999	0.0	0.0	0.144198	1726.4773619999999	0.0	0.0	0.0	0.0	4.860575	2.484467
Nac_oxy_2	39.878161999999996	39.812605999999995	39.812605999999995	12.797948	0.0	0.30191	5094.413523	0.0	1657.1251379999999	0.0	0.0	14.080326999999999	5.825976
Nac_oxy_3	42.233539	42.107728	42.107728	11.154823	0.0	0.256885	5901.897174	0.0	1575.296057	0.0	0.0	18.140489	2.913375
Nac_oxy_4	38.211774	38.134538	38.134538	9.690754	0.0	0.15984299999999999	5224.91014	0.0	1352.089747	0.0	0.0	15.578702	3.4885669999999998
Nac_oxy_5	39.293244	39.24172	39.24172	0.0	0.0	0.323025	5208.056124	0.0	0.0	0.0	0.0	15.480763999999999	4.140096
Nac_oxy_6	36.247212	36.207498	36.207498	26.015387	0.0	0.185131	5014.207221	0.0	3646.944326	0.0	0.0	15.273655	2.830094
Nac_oxy_7	40.767573999999996	40.718364	40.718364	18.010573	0.0	0.250004	5145.1116139999995	0.0	2343.175859	0.0	0.0	14.671636999999999	5.687545
Nac_oxy_8	38.773196999999996	38.721042	38.721042	22.792607	0.0	0.279591	4929.675052	0.0	2981.172326	0.0	0.0	14.183188	5.177333
