Sample	Mapped (with MQ>0)	MQ0
Nac_Sal_1	41571208.0	388163.0
Nac_Sal_2	31391435.0	230724.0
Nac_Sal_3	31121932.0	543956.0
Nac_Sal_4	46516599.0	202623.0
Nac_Sal_5	39277403.0	266648.0
Nac_Sal_6	49664333.0	252516.0
Nac_Sal_7	42937821.0	561659.0
Nac_Sal_8	41695183.0	393352.0
Nac_oxy_1	14566879.0	144198.0
Nac_oxy_2	39576252.0	301910.0
Nac_oxy_3	41976654.0	256885.0
Nac_oxy_4	38051931.0	159843.0
Nac_oxy_5	38970219.0	323025.0
Nac_oxy_6	36062081.0	185131.0
Nac_oxy_7	40517570.0	250004.0
Nac_oxy_8	38493606.0	279591.0
