Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
Nac_Sal_1	19133193.0	1865620.0	19238.0	1808703.0	91696.0
Nac_Sal_2	14504510.0	1327023.0	26697.0	10658127.0	111826.0
Nac_Sal_3	13483045.0	2387954.0	4348.0	8422835.0	24322.0
Nac_Sal_4	20962111.0	2441234.0	17103.0	1237505.0	83982.0
Nac_Sal_5	18625373.0	1169990.0	34946.0	6899826.0	150581.0
Nac_Sal_6	22271567.0	2712553.0	22282.0	1935582.0	105577.0
Nac_Sal_7	17965599.0	3810088.0	5897.0	4420153.0	55121.0
Nac_Sal_8	18628685.0	2453686.0	20529.0	3590556.0	59430.0
Nac_oxy_1	6804328.0	561707.0	18145.0	18607933.0	75589.0
Nac_oxy_2	17344982.0	2626877.0	27547.0	2779247.0	93785.0
Nac_oxy_3	19311219.0	1868456.0	19028.0	1873685.0	104351.0
Nac_oxy_4	18163640.0	980865.0	19651.0	2125749.0	102652.0
Nac_oxy_5	17913000.0	1759384.0	12355.0	4230963.0	62326.0
Nac_oxy_6	16133962.0	2009501.0	14662.0	1698489.0	81735.0
Nac_oxy_7	19157718.0	1250674.0	26021.0	2211289.0	127531.0
Nac_oxy_8	17718049.0	1694627.0	26125.0	3637649.0	115996.0
