Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
Nac_Sal_1	22.91845	91.62	83.48	1.8656199999999998	269.0	268.95	9.434244999999999	9.425754	9.330917	0.08540199999999999	0.010114999999999999	0.007810999999999999	0.42	0.01	1.71	0.01	1.33
Nac_Sal_2	26.628183	59.45	54.47	1.3270229999999998	226.0	246.03	4.740259	4.734591	4.6799	0.043909	0.011963	0.004487	0.5	0.01	1.85	0.01	1.39
Nac_Sal_3	24.322504	65.25	55.43	2.3879539999999997	255.0	249.61	2.754444	2.74875	2.2723329999999997	0.46651499999999996	0.01245	0.003146	1.51	0.04	3.79	0.16	4.37
Nac_Sal_4	24.741934999999998	94.59	84.72	2.4412339999999997	273.0	272.27	12.146842	12.133149999999999	11.998581	0.125073	0.013637	0.009550999999999999	0.57	0.01	1.84	0.01	1.39
Nac_Sal_5	26.880716	73.64	69.29	1.1699899999999999	231.0	241.94	5.092267	5.083771	5.035121	0.045146	0.007089	0.004911	0.45	0.01	1.83	0.01	1.33
Nac_Sal_6	27.047560999999998	92.37	82.34	2.7125529999999998	276.0	276.7	12.839203	12.827015	12.687253	0.127655	0.015444999999999999	0.00885	0.48	0.01	1.88	0.01	1.43
Nac_Sal_7	26.256857999999998	82.93	68.42	3.810088	264.0	258.09	2.709273	2.704533	2.655827	0.047091	0.0019249999999999998	0.00443	1.14	0.11	5.1	0.07	3.24
Nac_Sal_8	24.752886	85.17	75.26	2.453686	261.0	259.47	8.682521999999999	8.674259	8.435392	0.22848	0.012254	0.006396	0.81	0.01	2.57	0.05	3.91
Nac_oxy_1	26.067702	28.25	26.1	0.561707	199.0	235.61	1.648674	1.644876	1.62358	0.018541	0.004501	0.002052	0.54	0.01	2.08	0.01	1.71
Nac_oxy_2	22.872438	87.31	75.83	2.626877	253.0	255.93	7.932727	7.922593999999999	7.8290869999999995	0.089082	0.00885	0.0057079999999999995	0.49	0.01	1.72	0.01	1.39
Nac_oxy_3	23.176738999999998	91.38	83.32	1.868456	280.0	279.13	9.020161	9.009	8.917176999999999	0.08355399999999999	0.012457	0.006973	0.55	0.01	1.67	0.01	1.3
Nac_oxy_4	21.392557	89.5	84.91	0.980865	272.0	273.22	6.191955999999999	6.184082	6.125391	0.055106999999999996	0.0068189999999999995	0.004639	0.53	0.01	1.72	0.01	1.31
Nac_oxy_5	23.978028	82.05	74.71	1.7593839999999998	270.0	266.32	4.932282	4.925847	4.841987	0.08130899999999999	0.005462	0.003524	0.88	0.05	4.28	0.07	2.8
Nac_oxy_6	19.938349	91.0	80.92	2.0095009999999998	275.0	277.14	8.638034	8.63106	8.537967	0.08459	0.009172999999999999	0.006304	0.48	0.01	1.66	0.01	1.36
Nac_oxy_7	22.773232999999998	89.61	84.12	1.2506739999999998	249.0	252.67	5.691024	5.68386	5.62854	0.051313	0.006895999999999999	0.004275	0.52	0.01	1.94	0.01	1.6
Nac_oxy_8	23.192446	83.71000000000001	76.4	1.6946269999999999	248.0	254.84	7.555905999999999	7.548412	7.469754	0.07105199999999999	0.009458	0.0056419999999999994	0.52	0.01	1.85	0.01	1.36
