task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	d1/334ad0	15610274	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2025-09-30 21:49:40.973	48.9s	12s	84.1%	18.4 MB	23 MB	3.4 GB	846.6 MB
1	cb/3ab887	15610283	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2025-09-30 21:49:46.191	48.6s	10s	85.8%	4.7 MB	10.5 MB	2.6 GB	5.7 KB
13	e6/f4cc22	15610272	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_3)	COMPLETED	0	2025-09-30 21:49:39.692	2m 30s	2m 5s	59.6%	76.5 MB	80 MB	4.8 GB	1.9 KB
12	ef/76963c	15610270	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_4)	COMPLETED	0	2025-09-30 21:49:37.679	2m 37s	2m 13s	56.6%	76.7 MB	80 MB	5.4 GB	1.9 KB
19	c9/4cebf8	15610290	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2025-09-30 21:50:30.590	1m 54s	37.2s	87.2%	999 MB	1.2 GB	3.6 GB	810.6 MB
15	ec/1ba1e3	15610271	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_2)	COMPLETED	0	2025-09-30 21:49:38.438	2m 51s	2m 26s	60.6%	76.5 MB	80.2 MB	5.8 GB	1.9 KB
10	2e/14e51a	15610276	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_6)	COMPLETED	0	2025-09-30 21:49:42.691	2m 47s	2m 13s	56.2%	76.6 MB	80 MB	5 GB	1.9 KB
11	f9/d7e597	15610269	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_4)	COMPLETED	0	2025-09-30 21:49:37.472	2m 52s	2m 33s	56.9%	76.4 MB	80 MB	6.1 GB	1.9 KB
8	39/674b68	15610279	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_5)	COMPLETED	0	2025-09-30 21:49:44.729	2m 50s	2m 18s	59.6%	76.5 MB	80 MB	5.4 GB	1.9 KB
5	0c/605482	15610280	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_7)	COMPLETED	0	2025-09-30 21:49:45.235	2m 50s	2m 14s	60.6%	76.7 MB	80 MB	5 GB	1.9 KB
16	60/b188a0	15610273	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_1)	COMPLETED	0	2025-09-30 21:49:40.717	2m 59s	2m 22s	56.9%	76.5 MB	80 MB	5 GB	1.9 KB
6	40/1aea83	15610275	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_7)	COMPLETED	0	2025-09-30 21:49:41.645	2m 58s	2m 21s	55.6%	76.7 MB	80 MB	5.4 GB	1.9 KB
3	22/bd42de	15610277	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_8)	COMPLETED	0	2025-09-30 21:49:43.342	3m 6s	2m 32s	60.4%	76.5 MB	80.2 MB	6.2 GB	1.9 KB
9	d6/9468cb	15610278	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_5)	COMPLETED	0	2025-09-30 21:49:43.820	3m 6s	2m 32s	60.9%	76.6 MB	80.2 MB	6.1 GB	1.9 KB
14	a8/29c7c4	15610281	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_3)	COMPLETED	0	2025-09-30 21:49:45.262	3m 5s	2m 33s	55.4%	76.5 MB	80 MB	5.9 GB	1.9 KB
18	b9/ba963d	15610284	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_2)	COMPLETED	0	2025-09-30 21:49:46.625	3m 3s	2m 15s	58.2%	76.6 MB	80 MB	5.4 GB	1.9 KB
17	34/ac3e31	15610285	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_1)	COMPLETED	0	2025-09-30 21:49:47.088	3m 3s	2m 14s	61.7%	76.7 MB	80 MB	5.5 GB	1.9 KB
