gene_id	gene_name	Nac_oxy_1	Nac_oxy_2	Nac_oxy_3	Nac_oxy_4	Nac_oxy_5	Nac_oxy_6	Nac_oxy_7	Nac_oxy_8	Nac_Sal_1	Nac_Sal_2	Nac_Sal_3	Nac_Sal_4	Nac_Sal_5	Nac_Sal_6	Nac_Sal_7	Nac_Sal_8
ENSMUSG00000000001	Gnai3	69	383	518	294	259	349	281	444	471	242	46	651	230	622	79	406
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1	9	15	10	2	9	8	6	12	15	6	15	5	22	5	12
ENSMUSG00000000031	H19	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
ENSMUSG00000000037	Scml2	12	18	26	21	12	20	23	18	26	9	2	24	13	36	1	19
ENSMUSG00000000049	Apoh	0	0	3	0	0	0	0	4	0	1	0	2	0	0	0	0
ENSMUSG00000000056	Narf	94	549	630	392	295	583	360	638	589	364	88	785	359	707	96	501
ENSMUSG00000000058	Cav2	52	97	105	99	86	135	124	105	136	64	28	180	99	161	40	98
ENSMUSG00000000078	Klf6	95	216	239	184	145	292	202	336	203	164	57	422	172	452	60	188
ENSMUSG00000000085	Scmh1	210.001	507.001	571	587	330.001	558	585.998	511.999	611	439	104	576	612.999	626	89.999	514.998
ENSMUSG00000000088	Cox5a	142	654	525	431	284	575	381	749	604	363	91.938	1023	438	785	141.815	745
ENSMUSG00000000093	Tbx2	4	13	7	4	4	3	17	11	14	11	6	10	9	12	0	6
ENSMUSG00000000094	Tbx4	14	5	2	4	0	2	3	4	7	0	5	4	7	0	0	1
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	13	34	31	34	18	153	24	47	59	14	4	72	35	101	2	42
ENSMUSG00000000125	Wnt3	6	29	23	20	10	42	21	30	34	11	5	45	24	52	10	25
ENSMUSG00000000126	Wnt9a	1	6	14	3	2	3	3	17	2	0	0	9	14	3	2	11
ENSMUSG00000000127	Fer	57	327	401	282	207	334	343	380	494	224	45	518	221	440	90	300
ENSMUSG00000000131	Xpo6	361	1095	1045.999	979	690	1009.001	880.001	1077.999	1134.999	815	138.999	1615.999	953.001	1741.001	165	1046
ENSMUSG00000000134	Tfe3	83	281	241	191	114	252.001	242.998	234	257.999	146	26.999	379	196.001	390	45.001	288
ENSMUSG00000000142	Axin2	63	239	205	187	140.999	261	204	192.999	258.001	196.999	41	360	171.999	458.001	37	323
ENSMUSG00000000148	Brat1	68	253	214	157	133	162.001	165.001	258	334	154	34	346	182	378	33	226
ENSMUSG00000000149	Gna12	289	848	857	868	558	1192	827	1071	1057	775	125.993	1399	799	2018	149.935	1035
ENSMUSG00000000154	Slc22a18	1	4	2	4	2	8	1	2	11	0	0	3	10	8	0	4
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	2.182	4	2	2	0	0	6.423	6	8	0	6	4	1	0	4.142
ENSMUSG00000000167	Pih1d2	2	16	31	9	9	13	19	18	11	6	5	29.999	14	27	4	6
ENSMUSG00000000168	Dlat	224	845	1077	698	458	912	598	892	1191.999	456	120	1333	572	1155	155	809
ENSMUSG00000000171	Sdhd	144	519	674	398	314	485	383	606	639	397	54	824	347	713	151	510
ENSMUSG00000000182	Fgf23	2	2	2	2	1	0	1	9	1	3	0	4	4	13	0	2
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	91	474	496	255	316	338.001	610.001	322	473	144	42.162	588	373	299	115.999	367
ENSMUSG00000000194	Gpr107	119.001	504	476	393	248.001	446	398	561	524	348	71	647	394.001	772	78.999	473
ENSMUSG00000000197	Nalcn	492	2266	2687	1957	1099	2293	1647	2391	2676	1430	260	3294	1497	3396	384	2125
ENSMUSG00000000202	Btbd17	15	135	129	91	58	148	58	101	189	79	10	205	51	218	18	143
ENSMUSG00000000204	Slfn4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
ENSMUSG00000000214	Th	83	68	77	42	53	88	58	411	101	48	7	98	26	110	12	64
ENSMUSG00000000215	Ins2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000216	Scnn1g	2	4	7	2	0	3	0	0	0	7	0	6	2	0	0	7
ENSMUSG00000000223	Drp2	281	897	987.999	797	468.999	913	797.999	817.999	841	640	106	1048	759	939	155	755
ENSMUSG00000000244	Tspan32	1	0	2	1	0	0	0	1	0	0	0	0	2	0	1	3
ENSMUSG00000000247	Lhx2	32	98	104	84	63	85	92	115	161	93	25	205	96	152	49	107
ENSMUSG00000000248	Clec2g	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000253	Gmpr	69	507	502	360	254	445	318	341	443	172	39	708.001	239	500	63	485
ENSMUSG00000000263	Glra1	2	5	3	4	7	7	1	19	6	16	0	9	0	14	0	2
ENSMUSG00000000266	Mid2	180	575.999	780	615	349	614	364	570.001	666	434	89	728.001	425	761	109.001	450.999
ENSMUSG00000000275	Trim25	31	52	67	55	38	57	76	50	57	56	25	86	79	134	16	104
ENSMUSG00000000276	Dgke	230	967	1268	870	605.001	1116	744	1328	1098.999	719	169	1594	703	1589	238	1046
ENSMUSG00000000278	Scpep1	29	110	113	66	45	94	75	92	83	83	12	178	58	191	14	117
ENSMUSG00000000282	Mnt	60	154	122	152	122	91	172	113	138	176	24	129	193	221	37	125
ENSMUSG00000000290	Itgb2	8	53	47	30	29	38	44	52	96	42	4	105	27	90	6	67
ENSMUSG00000000295	Hddc2	19	107.001	133	86	82	133.001	74	110	134	79	11	157	77	207	26	120
ENSMUSG00000000296	Tpd52l1	21	142	172	119	92	194	128	130	213	75	18	258	82	228	23	200
ENSMUSG00000000301	Pemt	2	11	8	9	6	11	5	8	0	4	0	10	9	25	4	6
ENSMUSG00000000303	Cdh1	3	2	0	4	2	6	5	4	0	0	0	6	2	10	0	17
ENSMUSG00000000305	Cdh4	129	496	477	439	310	616	445	462	740	366	78	979.999	440	872	73	561
ENSMUSG00000000308	Ckmt1	206	1310	1670	841.999	673.001	1560.999	692	1184	1672	724	137	1954.001	660	1983	279	1504.999
ENSMUSG00000000317	Bcl6b	4	19	9	11	5	17	15	5	5	5	0	11	5	18	1	11
ENSMUSG00000000318	Clec10a	0	3	1	0	4	0	0	0	0	4	0	5	2	7	0	2
ENSMUSG00000000320	Alox12	3	2	4	2	0	27	4	8	5	4	0	4	4	1	2	7
ENSMUSG00000000325	Arvcf	47	260	298	181.999	108.001	253	175.999	238.999	254	161.999	49	356.001	144	515.999	37	281
ENSMUSG00000000326	Comt	148.999	710.999	612	450	260	610	459	630	618.999	326	91.999	921	403.001	844	56.001	811
ENSMUSG00000000339	Rtca	57	264.001	271	160.001	160.999	277	156	278	299	157	56	403.001	190	371.001	78.935	369.001
ENSMUSG00000000340	Dbt	33	212	201	170	106	203	202	183	248	107	35	379	127	377	28	242
ENSMUSG00000000346	Dazap2	193	647	691	430	337	649	431	581	594	363	70	921	460	883	161	614
ENSMUSG00000000355	Mcts1	46	243	254.999	184	103	200.001	120	267	279	109	17	354	132	263.999	68	198.999
ENSMUSG00000000359	Rem1	2	2	4	7	0	0	1	0	4	5	1	3	4	10	0	0
ENSMUSG00000000365	Rnf17	0	14	20	9	7	25	12	6	39	14	8	19	9	16	1	11
ENSMUSG00000000374	Trappc10	327	1281	1385	1010	713	1268	966	1307	1463	811	211	1946	1018	1928	194	1228
ENSMUSG00000000378	Ccm2	81	491	449	313	226	359	282.001	362.999	638	192.001	60	811.001	311	406	64	530
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	38.696	186.811	156.333	110.697	96.262	126.791	115.825	179.519	165.781	109.514	37	248.339	126.598	238.644	28	218.737
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000386	Mx1	0	5	3	0	1	0	1	6	6	0	0	2	0	5	0	2
ENSMUSG00000000392	Fap	2	1	5	5	3	4	2	8	6	1	0	4	3	5	2	5
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	147	693	921	482	391	798	498	712	981	378	72	1194	395	1075	149	721
