gene_id	gene_name	Sham_oxy_1	Sham_oxy_2	Sham_oxy_3	Sham_oxy_4	Sham_Sal_1	Sham_Sal_2	Sham_Sal_3	Sham_Sal_4	SNI_oxy_1	SNI_oxy_2	SNI_oxy_3	SNI_oxy_4	SNI_Sal_1	SNI_Sal_2	SNI_Sal_3	SNI_Sal_4
ENSMUSG00000000001	Gnai3	69	294	259	444	242	651	622	406	383	518	349	281	471	46	230	79
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1	10	2	6	15	15	22	12	9	15	9	8	12	6	5	5
ENSMUSG00000000031	H19	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000000037	Scml2	12	21	12	18	9	24	36	19	18	26	20	23	26	2	13	1
ENSMUSG00000000049	Apoh	0	0	0	4	1	2	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000000056	Narf	94	392	295	637.999	364	785	707	501	549	630	583	360	589	88	359	96
ENSMUSG00000000058	Cav2	52	99	86	105	64	180	161	98	97	105	135	124	136	28	99	40
ENSMUSG00000000078	Klf6	95	184	145	336	164	422	452	188	216	239	292	202	203	57	172	60
ENSMUSG00000000085	Scmh1	210	586.998	329.998	512	438.999	575.999	626	514.999	507.001	570.999	558	586	611	103.999	612	89.999
ENSMUSG00000000088	Cox5a	142	431	284	749	363	1023	785	745	654	525	575	381	604	91.94	438	141.815
ENSMUSG00000000093	Tbx2	4	4	4	11	11	10	12	6	13	7	3	17	14	6	9	0
ENSMUSG00000000094	Tbx4	14	4	0	4	0	4	0	1	5	2	2	3	7	5	7	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	13	34	18	47	14	72	101	42	34	31	153	24	59	4	35	2
ENSMUSG00000000125	Wnt3	6	20	10	30	11	45	52	25	29	23	42	21	34	5	24	10
ENSMUSG00000000126	Wnt9a	1	3	2	17	0	9	3	11	6	14	3	3	2	0	14	2
ENSMUSG00000000127	Fer	57	282	207	380	224	518	440	300	327	401	334	343	494	45	221	90
