Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Nac_Sal_1_1	(1, 30.41975318539827)	(2, 31.308917381701537)	(3, 34.411692805462486)	(4, 35.79418436621284)	(5, 36.16273412837107)	(6, 39.568647616067715)	(7, 39.81203828436701)	(8, 39.933890886823804)	(9, 39.98453292851226)	(10, 40.06218203384021)	(15, 40.0385326160558)	(20, 40.004343968192714)	(25, 39.92272602443791)	(30, 39.80233469547304)	(35, 39.73517856279996)	(40, 39.693107925538285)	(45, 39.64721965104117)	(50, 39.6021243139013)	(55, 39.53183649209769)	(60, 39.47839136493419)	(65, 39.397638340531174)	(70, 39.29705667314475)	(75, 39.038910120664106)	(80, 39.402550797468194)	(85, 39.37874372134778)	(90, 39.28052503952834)	(95, 39.19938908478209)	(100, 39.067095340173424)	(105, 38.95273818250448)	(110, 38.795398534748216)	(115, 38.630579858085824)	(120, 38.45691128771715)	(125, 38.29517474051704)	(130, 38.057356137310094)	(135, 37.776972964282244)	(140, 37.438405561985014)	(145, 37.02775874460975)	(150, 36.77968950668499)
Nac_Sal_1_2	(1, 30.80436867002106)	(2, 31.03923018702101)	(3, 33.99685441717445)	(4, 35.1835085826936)	(5, 35.530708381265356)	(6, 38.65165806689125)	(7, 38.66069438572945)	(8, 38.77729914975873)	(9, 38.82810491689893)	(10, 38.848110225625206)	(15, 38.686739802857744)	(20, 38.566905079757646)	(25, 38.383980465620795)	(30, 38.382670254643344)	(35, 37.93180164951875)	(40, 37.76369397208216)	(45, 37.58620740045109)	(50, 37.52832738503194)	(55, 37.39561418604334)	(60, 37.32509762530923)	(65, 37.169022763168186)	(70, 37.01872953296426)	(75, 36.55961504150666)	(80, 37.24556379648034)	(85, 37.030446910245466)	(90, 36.76504408734653)	(95, 36.519929205426685)	(100, 36.179490409948514)	(105, 35.80132684354187)	(110, 35.30884249615876)	(115, 34.83018921383831)	(120, 34.28880822995582)	(125, 33.584996057458184)	(130, 32.95453965651025)	(135, 32.27709642575378)	(140, 31.57118868014881)	(145, 31.330983932327392)	(150, 30.86655998654834)
Nac_Sal_2_1	(1, 30.973095428720868)	(2, 31.59575410257953)	(3, 34.985167832486034)	(4, 36.10381401091308)	(5, 36.3140173682511)	(6, 39.774176050946096)	(7, 39.8754199351335)	(8, 40.014122693628536)	(9, 40.06243958040548)	(10, 40.111042548602526)	(15, 40.06791616518147)	(20, 40.07812082471605)	(25, 39.979286458052556)	(30, 39.87186799685672)	(35, 39.791080206638505)	(40, 39.51546907928714)	(45, 39.604371042229374)	(50, 39.62030108793313)	(55, 39.50678668007706)	(60, 39.466173357408344)	(65, 39.43370682934748)	(70, 37.78102761389634)	(75, 37.07906597385345)	(80, 37.3935260963723)	(85, 37.356967761668855)	(90, 37.26577717713032)	(95, 37.17285446283034)	(100, 37.03348971969773)	(105, 36.90005998661416)	(110, 36.68690750382576)	(115, 36.45692198015876)	(120, 36.181568918398895)	(125, 35.855702900955336)	(130, 35.35281106843255)	(135, 34.63694259430219)	(140, 33.72298424903981)	(145, 32.63116332696038)	(150, 31.94919841059098)
Nac_Sal_2_2	(1, 30.92064295173282)	(2, 31.11303114411398)	(3, 33.99509496045099)	(4, 35.18747541406409)	(5, 35.40162293872053)	(6, 38.306570441038716)	(7, 38.44228897430554)	(8, 38.47573347429797)	(9, 38.6298345581608)	(10, 38.64095565897973)	(15, 38.40705984742796)	(20, 38.48461200663168)	(25, 38.16109338821608)	(30, 38.15060787092985)	(35, 37.489974399932024)	(40, 37.48281967818407)	(45, 37.263636708295664)	(50, 37.231546425743936)	(55, 36.950960051846764)	(60, 36.7000668845353)	(65, 36.70630393721359)	(70, 36.69400143159768)	(75, 34.22498361557699)	(80, 34.83446359157044)	(85, 34.52080981147803)	(90, 34.19102424939251)	(95, 33.79894335307352)	(100, 33.32661406611133)	(105, 32.866179667480765)	(110, 32.24758311762447)	(115, 31.702141916133108)	(120, 31.110038458328756)	(125, 30.384173162674152)	(130, 29.633972030976054)	(135, 28.827897202223273)	(140, 27.83945999322932)	(145, 27.149540226023372)	(150, 26.402812662693183)
Nac_Sal_3_1	(1, 30.280186749010166)	(2, 31.240127654928298)	(3, 34.24017401279599)	(4, 35.627817689145694)	(5, 36.107477869709584)	(6, 39.41767198514759)	(7, 39.690792534512724)	(8, 39.814693736137116)	(9, 39.89115554914859)	(10, 39.996524737717145)	(15, 39.97176513884283)	(20, 39.94154323308309)	(25, 39.85366999989223)	(30, 39.722541305775074)	(35, 39.6680027139685)	(40, 39.50570601507566)	(45, 39.50348623771136)	(50, 39.47856694818227)	(55, 39.38326172737142)	(60, 39.34039634756933)	(65, 39.285070469042)	(70, 38.5552372658699)	(75, 38.10212967637532)	(80, 38.47855675758434)	(85, 38.44846859020642)	(90, 38.34708451100278)	(95, 38.26431662911612)	(100, 38.11767982938677)	(105, 37.9903547169842)	(110, 37.7950180744853)	(115, 37.58663947547292)	(120, 37.344424830005906)	(125, 37.0504115704358)	(130, 36.67073630729899)	(135, 36.1891941111682)	(140, 35.57354092169607)	(145, 34.85673031046149)	(150, 34.42315843878901)
Nac_Sal_3_2	(1, 30.70404136911049)	(2, 30.749872668356833)	(3, 33.42973275705895)	(4, 34.60401109416971)	(5, 34.89582024858797)	(6, 37.6302563163103)	(7, 37.719520627116225)	(8, 37.769038108810456)	(9, 38.00606592698758)	(10, 38.066907399549315)	(15, 37.833179204267196)	(20, 37.68496887211511)	(25, 37.438515987059645)	(30, 37.41152842093106)	(35, 36.83420212721616)	(40, 36.58474707411708)	(45, 36.387543657216916)	(50, 36.28267390554259)	(55, 36.06463649840319)	(60, 35.94116496914863)	(65, 35.8351140596703)	(70, 35.65567580723179)	(75, 34.35070261244884)	(80, 35.054865577432984)	(85, 34.79776912927928)	(90, 34.43686117384221)	(95, 34.07306727034912)	(100, 33.63538081260056)	(105, 33.134782840838604)	(110, 32.50780753107959)	(115, 31.951638927514797)	(120, 31.349088691750477)	(125, 30.5702255859238)	(130, 29.801710605317858)	(135, 28.99910910751142)	(140, 28.065995361366692)	(145, 27.608038137072487)	(150, 26.97753229343961)
Nac_Sal_4_1	(1, 30.683276818120845)	(2, 31.52120326450273)	(3, 34.72067996899686)	(4, 35.91295143111327)	(5, 36.21938557881425)	(6, 39.59305734603362)	(7, 39.649154193328535)	(8, 39.85380841835405)	(9, 39.96868242660764)	(10, 40.02635798009767)	(15, 40.02388810860247)	(20, 39.972417813288395)	(25, 39.88423653088718)	(30, 39.75775999969127)	(35, 39.689843916229464)	(40, 39.66149703855409)	(45, 39.60774122471231)	(50, 39.55736173135495)	(55, 39.48150428001584)	(60, 39.42201336836388)	(65, 39.34391667567461)	(70, 39.28518440100541)	(75, 39.0452938679162)	(80, 39.419065545921754)	(85, 39.403135913923805)	(90, 39.303021583728665)	(95, 39.22636765199563)	(100, 39.09609545158297)	(105, 38.984419890937495)	(110, 38.82182573515168)	(115, 38.65091795999492)	(120, 38.46000248510695)	(125, 38.27571967302232)	(130, 38.000361188707615)	(135, 37.64664802206672)	(140, 37.23744304444013)	(145, 36.7383169924755)	(150, 36.42419416829577)
Nac_Sal_4_2	(1, 30.43592506297085)	(2, 30.73216693567219)	(3, 33.11873770234859)	(4, 34.64060682436416)	(5, 34.781789601005265)	(6, 37.651235781938176)	(7, 37.5536321815802)	(8, 37.556933048396914)	(9, 37.81753441935428)	(10, 38.00845323076565)	(15, 37.77518833368113)	(20, 37.55346307210271)	(25, 37.295813447017395)	(30, 37.347793764102086)	(35, 36.62733220473084)	(40, 36.389974768245295)	(45, 36.161036031518165)	(50, 36.07413343352015)	(55, 35.90885778221772)	(60, 35.865954657933386)	(65, 35.64759352847922)	(70, 35.42744177937516)	(75, 35.011778249187884)	(80, 35.81947982957038)	(85, 35.55379793845465)	(90, 35.20906501248)	(95, 34.85845954805062)	(100, 34.416473010962726)	(105, 33.94753767990142)	(110, 33.364904252029234)	(115, 32.8087981147276)	(120, 32.19251891155532)	(125, 31.436646813280475)	(130, 30.715747124168075)	(135, 29.95742280983268)	(140, 29.138096862329377)	(145, 28.779164408316014)	(150, 28.24316602624847)
Nac_Sal_5_1	(1, 30.542043988740787)	(2, 31.369256827134237)	(3, 34.57875351257712)	(4, 35.84090011020373)	(5, 36.21248543186141)	(6, 39.62354307501884)	(7, 39.84042880332502)	(8, 39.9695377740388)	(9, 40.01831296139847)	(10, 40.097465529109755)	(15, 40.08033002001091)	(20, 40.04073482683732)	(25, 39.95997056295169)	(30, 39.84104674724172)	(35, 39.78168762384585)	(40, 39.71264055123792)	(45, 39.67475710138417)	(50, 39.625194819684005)	(55, 39.55052745329232)	(60, 39.492042877517406)	(65, 39.414855730608636)	(70, 39.252595736339586)	(75, 38.97771669670921)	(80, 39.31211080882542)	(85, 39.28429570958133)	(90, 39.18084422011231)	(95, 39.08524907257296)	(100, 38.92597398729769)	(105, 38.76998404135055)	(110, 38.53707827220469)	(115, 38.27035925703901)	(120, 37.94781148258239)	(125, 37.54850838262473)	(130, 36.961461439511375)	(135, 36.15437544948986)	(140, 35.144885164693676)	(145, 33.95619367023453)	(150, 33.213563244464105)
Nac_Sal_5_2	(1, 30.85538690724011)	(2, 31.149583706087046)	(3, 33.58789099135646)	(4, 35.25283828677208)	(5, 35.42916888047059)	(6, 38.0565406756653)	(7, 38.56461486182752)	(8, 38.69341765345773)	(9, 38.81340444323412)	(10, 38.84406571152819)	(15, 38.673325015949764)	(20, 38.53783511904462)	(25, 38.25007638549555)	(30, 38.32846868379887)	(35, 37.666240677947016)	(40, 37.46969493806633)	(45, 37.317499716267626)	(50, 37.28436116063875)	(55, 37.180925724643586)	(60, 37.098925787761075)	(65, 36.93426993660693)	(70, 36.72371852237515)	(75, 36.10336778471544)	(80, 36.80034584975845)	(85, 36.50229629867788)	(90, 36.157808225957055)	(95, 35.82674119073957)	(100, 35.40605248559929)	(105, 34.96005387507301)	(110, 34.40777904523094)	(115, 33.884099511980324)	(120, 33.30218384287123)	(125, 32.523774735462155)	(130, 31.717037121380265)	(135, 30.809904697037535)	(140, 29.718618710809004)	(145, 28.934116550738906)	(150, 28.134676199876786)
