Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Nac_Sal_1_1	(1, 30.432945727132505)	(2, 31.315556680316515)	(3, 34.42618218073212)	(4, 35.80492114431822)	(5, 36.17136084682865)	(6, 39.583601377929135)	(7, 39.82770754566736)	(8, 39.9462567058418)	(9, 40.00030490718177)	(10, 40.07775794610892)	(15, 40.05594453377083)	(20, 40.01933193106885)	(25, 39.94021813147593)	(30, 39.821316599972775)	(35, 39.75524072713409)	(40, 39.71541525881047)	(45, 39.67422974863913)	(50, 39.630414316712475)	(55, 39.56273741672425)	(60, 39.51188070216473)	(65, 39.43479268031792)	(70, 39.398276065670956)	(75, 39.171029635060805)	(80, 39.538720071302606)	(85, 39.517552367064205)	(90, 39.419788859690485)	(95, 39.33911070420256)	(100, 39.2037120301873)	(105, 39.08176530652175)	(110, 38.91563239093016)	(115, 38.73999905463697)	(120, 38.555574534776675)	(125, 38.38349363458893)	(130, 38.13943355682615)	(135, 37.87033137974048)	(140, 37.59335270442428)	(145, 37.42601107417546)	(150, 38.32732221070179)
Nac_Sal_1_2	(1, 30.861441982333012)	(2, 31.110668915218962)	(3, 34.08572111115717)	(4, 35.27670086764157)	(5, 35.63148489535723)	(6, 38.77291575128336)	(7, 38.7896785341068)	(8, 38.905155584256356)	(9, 38.95521621226566)	(10, 38.97992586758703)	(15, 38.82230135982145)	(20, 38.711626414689235)	(25, 38.543218012955094)	(30, 38.55489738641843)	(35, 38.11300486284665)	(40, 37.95849524552543)	(45, 37.7954338151673)	(50, 37.75180731639254)	(55, 37.63275341474689)	(60, 37.576128137525245)	(65, 37.43297497346061)	(70, 37.29429049442312)	(75, 36.919085506308086)	(80, 37.63347713609248)	(85, 37.433345829576545)	(90, 37.181025335320676)	(95, 36.955456729114566)	(100, 36.63125643205215)	(105, 36.265126877197545)	(110, 35.77895852541728)	(115, 35.289734496657175)	(120, 34.71879719195684)	(125, 33.96767036838684)	(130, 33.28814547578833)	(135, 32.55856001187977)	(140, 31.841243971384472)	(145, 32.1173118572342)	(150, 34.554990578161984)
Nac_Sal_2_1	(1, 30.979458155293585)	(2, 31.600974276014252)	(3, 34.997354532226254)	(4, 36.112173181324465)	(5, 36.32102051424237)	(6, 39.78340463560732)	(7, 39.887731731451595)	(8, 40.02384297118583)	(9, 40.07544825720929)	(10, 40.122717122681635)	(15, 40.08189930946471)	(20, 40.09048216614389)	(25, 39.99431276055439)	(30, 39.88832645082947)	(35, 39.80956797882683)	(40, 39.53415520935799)	(45, 39.63755769965735)	(50, 39.64548281719889)	(55, 39.535683057285894)	(60, 39.49653074768041)	(65, 39.47091198875013)	(70, 39.00965816463747)	(75, 38.77881497358892)	(80, 39.13910266930567)	(85, 39.09972217330483)	(90, 38.98217065772219)	(95, 38.85908558822305)	(100, 38.678844087945905)	(105, 38.520336522887455)	(110, 38.29831152615094)	(115, 38.07689462620489)	(120, 37.8513822625608)	(125, 37.63268191599598)	(130, 37.34778404261751)	(135, 37.020994219160244)	(140, 36.704021880967375)	(145, 36.53437518626667)	(150, 37.76673104062987)
Nac_Sal_2_2	(1, 30.95974727227915)	(2, 31.167919568526322)	(3, 34.05982736411268)	(4, 35.260508987789365)	(5, 35.47927832702667)	(6, 38.39845121989735)	(7, 38.5412012152688)	(8, 38.573714699196714)	(9, 38.729079411839706)	(10, 38.74420012060154)	(15, 38.513881168685074)	(20, 38.59826425433419)	(25, 38.28725713887209)	(30, 38.29055360062769)	(35, 37.63833273003515)	(40, 37.64217591392598)	(45, 37.43456951662438)	(50, 37.41315669725856)	(55, 37.13868160876713)	(60, 36.88947998303455)	(65, 36.900578321337406)	(70, 36.88687972779792)	(75, 35.868946858989645)	(80, 36.653341265956314)	(85, 36.31102404332355)	(90, 35.94832775371152)	(95, 35.52422333798069)	(100, 35.00880230153037)	(105, 34.47299350552103)	(110, 33.797177203030856)	(115, 33.15618481586732)	(120, 32.46407781329441)	(125, 31.60099067273267)	(130, 30.844452363206187)	(135, 30.060693236144107)	(140, 29.345896657712736)	(145, 29.694615379470854)	(150, 32.98180066109143)
Nac_Sal_3_1	(1, 30.290507630299906)	(2, 31.248746140611182)	(3, 34.2559930507155)	(4, 35.64116498860479)	(5, 36.118993052688985)	(6, 39.43589595051562)	(7, 39.70826009525993)	(8, 39.830573940906746)	(9, 39.90823185803567)	(10, 40.01266600675655)	(15, 39.98954751533806)	(20, 39.95902599647731)	(25, 39.87483471819461)	(30, 39.74607192004417)	(35, 39.69309629727928)	(40, 39.53137310130002)	(45, 39.538294923004464)	(50, 39.50745245070823)	(55, 39.413622712918425)	(60, 39.369993902511496)	(65, 39.31472389560287)	(70, 39.1219662410909)	(75, 38.883310463515784)	(80, 39.28499846913755)	(85, 39.25714532386181)	(90, 39.14856183433504)	(95, 39.062262381847844)	(100, 38.908771403742364)	(105, 38.78372506308493)	(110, 38.59729823229729)	(115, 38.40880498699612)	(120, 38.20903241272373)	(125, 37.98462361959134)	(130, 37.7573402680693)	(135, 37.51867760638068)	(140, 37.22772233724415)	(145, 37.07047660121684)	(150, 38.203133988482456)
Nac_Sal_3_2	(1, 30.76152533472705)	(2, 30.8306625419817)	(3, 33.53104754346016)	(4, 34.71861934938936)	(5, 35.01498275013132)	(6, 37.77454656806717)	(7, 37.87249265125005)	(8, 37.92226343142959)	(9, 38.15975147953517)	(10, 38.227497637578765)	(15, 37.99908950986296)	(20, 37.86471135044445)	(25, 37.638465314136695)	(30, 37.63350441345258)	(35, 37.06713458716122)	(40, 36.83821893648057)	(45, 36.66076645795978)	(50, 36.57324426706163)	(55, 36.36680390915549)	(60, 36.25092222760081)	(65, 36.14653617584333)	(70, 35.95501279632395)	(75, 35.29112583212885)	(80, 36.09538512039252)	(85, 35.83630026087592)	(90, 35.46437649034994)	(95, 35.11400713641422)	(100, 34.68841495322688)	(105, 34.18224916428839)	(110, 33.54155438628298)	(115, 32.97342105090938)	(120, 32.342002574588456)	(125, 31.5132543176202)	(130, 30.71269815493114)	(135, 29.95610576024824)	(140, 29.17368761280876)	(145, 29.702878403255404)	(150, 33.290271925145476)
Nac_Sal_4_1	(1, 30.692159081332967)	(2, 31.527509469247253)	(3, 34.73485905609242)	(4, 35.92448428144363)	(5, 36.22981832261705)	(6, 39.608203683341664)	(7, 39.664777593183395)	(8, 39.869287830559735)	(9, 39.98351483018608)	(10, 40.041189834182326)	(15, 40.03935254053493)	(20, 39.98851178629982)	(25, 39.903473920297785)	(30, 39.779919401610584)	(35, 39.713592640273745)	(40, 39.68692667038289)	(45, 39.63711179063789)	(50, 39.58781280222483)	(55, 39.51487623998605)	(60, 39.45721140829018)	(65, 39.38083325939669)	(70, 39.350557525161015)	(75, 39.124895954073175)	(80, 39.49949468998174)	(85, 39.48267853338012)	(90, 39.38043753904067)	(95, 39.3011110821448)	(100, 39.16791339243248)	(105, 39.0551374972487)	(110, 38.89381978526386)	(115, 38.72847177567475)	(120, 38.54941459830619)	(125, 38.38854715907492)	(130, 38.15967096400756)	(135, 37.88959570480742)	(140, 37.64615623726749)	(145, 37.506574603642925)	(150, 38.3943992207079)
Nac_Sal_4_2	(1, 30.472865400381984)	(2, 30.776779989115646)	(3, 33.17565804776385)	(4, 34.70479713894649)	(5, 34.84839059677426)	(6, 37.73396361278938)	(7, 37.6406632706779)	(8, 37.64216388087674)	(9, 37.90488047923495)	(10, 38.0981075004845)	(15, 37.870044270991734)	(20, 37.657845349624886)	(25, 37.415922963304816)	(30, 37.486372546294774)	(35, 36.78050239667724)	(40, 36.56224903390697)	(45, 36.353745185129846)	(50, 36.28772536657611)	(55, 36.141603126627146)	(60, 36.116385647791084)	(65, 35.91099534699411)	(70, 35.69891079924807)	(75, 35.31501181822647)	(80, 36.148999007199066)	(85, 35.893841554913365)	(90, 35.559476566981274)	(95, 35.231044479650066)	(100, 34.814684416348385)	(105, 34.37611523819461)	(110, 33.81092790679423)	(115, 33.262823406297564)	(120, 32.64448158915132)	(125, 31.887220680705376)	(130, 31.185821173238963)	(135, 30.495478104536083)	(140, 29.855733225462437)	(145, 30.314519247348255)	(150, 33.39978429559941)
Nac_Sal_5_1	(1, 30.54755635973387)	(2, 31.3733866687182)	(3, 34.58645249628023)	(4, 35.84719904782298)	(5, 36.218010227108536)	(6, 39.63176412414015)	(7, 39.84845351589593)	(8, 39.976954520110255)	(9, 40.02591761320643)	(10, 40.10477643527055)	(15, 40.08816368581849)	(20, 40.04879500693844)	(25, 39.97034862209088)	(30, 39.85361713476622)	(35, 39.79576112445097)	(40, 39.72927571154669)	(45, 39.69554200425694)	(50, 39.64787803462316)	(55, 39.576051807868645)	(60, 39.52013314354705)	(65, 39.44436470580765)	(70, 39.37738138097448)	(75, 39.13372525828992)	(80, 39.47183324086642)	(85, 39.4404704113242)	(90, 39.33277766851918)	(95, 39.24096688343828)	(100, 39.093072251514016)	(105, 38.975886694449244)	(110, 38.79673879312577)	(115, 38.61273765012495)	(120, 38.42631893547804)	(125, 38.2516974908027)	(130, 38.00666308324683)	(135, 37.74344117062299)	(140, 37.47057764191328)	(145, 37.31944206066106)	(150, 38.286616519543536)
Nac_Sal_5_2	(1, 30.87877629450049)	(2, 31.187539870589756)	(3, 33.637024847106005)	(4, 35.3075949316231)	(5, 35.486231728351285)	(6, 38.12492397895949)	(7, 38.63792255384864)	(8, 38.76804263695952)	(9, 38.889010099284555)	(10, 38.921595139058056)	(15, 38.754136422556606)	(20, 38.62505889224086)	(25, 38.34693201454042)	(30, 38.43575500881461)	(35, 37.78027751227992)	(40, 37.59445593937282)	(45, 37.45418484585882)	(50, 37.4304918964112)	(55, 37.334498638195754)	(60, 37.257351384730605)	(65, 37.09662137090775)	(70, 36.8993205616859)	(75, 36.380986796779965)	(80, 37.120628644317364)	(85, 36.842412168070624)	(90, 36.51777427975849)	(95, 36.20027615216715)	(100, 35.78970755420206)	(105, 35.33189412402665)	(110, 34.761464231593536)	(115, 34.20192889936142)	(120, 33.57816679849792)	(125, 32.77088666459006)	(130, 32.03896814238419)	(135, 31.3021511934449)	(140, 30.6005556986432)	(145, 30.944542488509484)	(150, 33.82537087159088)
