Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Nac_Sal_1_1	(1, 0.6746311377950952)	(2, 0.002809963151958357)	(3, 0.028213077236898653)	(4, 0.0)	(5, 0.002046386208491412)	(6, 0.0)	(7, 0.0009381088162593893)	(8, 0.0)	(9, 0.0)	(10, 0.001223468428275036)	(15, 3.839701201433779e-05)	(20, 0.000212057613348285)	(25, 2.6180730891304135e-06)	(30, 0.00045643958759365434)	(35, 0.001179129454048051)	(40, 0.00036485296975217004)	(45, 0.0008930665040348623)	(50, 0.002197829314794097)	(55, 0.0008647495611461488)	(60, 0.0013913728190547878)	(65, 0.001217836517625874)	(70, 0.0007249815714078376)	(75, 0.0019261782145063495)	(80, 0.0021968159502100443)	(85, 0.001823069667181242)	(90, 0.0004265967552779076)	(95, 0.0008388766713358899)	(100, 0.001507062385692094)	(105, 0.0013391692028104554)	(110, 0.0009291501307566242)	(115, 0.000931924659719831)	(120, 0.0020647339402563017)	(125, 0.0009646740254832659)	(130, 0.0020591211606174947)	(135, 0.0009235754471829079)	(140, 0.00019737602084955627)	(145, 0.00026794494267317953)	(150, 0.0)
Nac_Sal_1_2	(1, 1.2043004653456058)	(2, 0.060021511053321666)	(3, 0.00010908242049527782)	(4, 0.002325637204959323)	(5, 0.0018151314770414228)	(6, 0.0003447004487650779)	(7, 0.0033291954735158794)	(8, 0.0005715918833952558)	(9, 0.0016449629010687895)	(10, 0.0008499702204992047)	(15, 0.0025228582212147854)	(20, 0.0017554621190741043)	(25, 0.0034041804698890675)	(30, 0.0005734239769788456)	(35, 0.003189251560946637)	(40, 0.0030909545818407656)	(45, 0.00259932765109387)	(50, 0.00505057063600512)	(55, 0.003537130660474365)	(60, 0.0015405221566895404)	(65, 0.0026443904529476407)	(70, 0.0032976779447105226)	(75, 0.0037782064503882797)	(80, 0.0032012457843298456)	(85, 0.005709698717539029)	(90, 0.0029481624144871528)	(95, 0.0014688706500062306)	(100, 0.003937349260707296)	(105, 0.001991438494002231)	(110, 0.0022948036017690038)	(115, 0.0032443941673051665)	(120, 0.0015567258645990346)	(125, 0.0009643796724195128)	(130, 0.001646978251954196)	(135, 0.0007833704049165019)	(140, 0.13185314701786313)	(145, 1.0732845487344705e-05)	(150, 0.0)
Nac_Sal_2_1	(1, 0.720293232174347)	(2, 0.002816564690125496)	(3, 0.03148919323560305)	(4, 0.0)	(5, 0.002226963814992559)	(6, 0.0)	(7, 0.0008299477286903129)	(8, 0.0)	(9, 0.0)	(10, 0.0012640742329283225)	(15, 3.530094411623955e-05)	(20, 0.0001997956856269868)	(25, 5.258717481142841e-06)	(30, 0.0004967593255328041)	(35, 0.0012181267547510665)	(40, 0.00039292258801759537)	(45, 0.0009403843598983518)	(50, 0.002355016594123677)	(55, 0.0008868901926090061)	(60, 0.001481443125082228)	(65, 0.001263049067255555)	(70, 0.0007804735174179765)	(75, 0.0021222012746389923)	(80, 0.0024944565471077787)	(85, 0.002041378235513065)	(90, 0.0005193171864077311)	(95, 0.0010339440863212637)	(100, 0.001629886793215569)	(105, 0.0015366000431213415)	(110, 0.0010291504178025017)	(115, 0.0010904258269075538)	(120, 0.002454181702513656)	(125, 0.001223536173160189)	(130, 0.002536785281886706)	(135, 0.001139980907198894)	(140, 0.0003541367515770778)	(145, 0.00042709636815903306)	(150, 0.0)
Nac_Sal_2_2	(1, 1.257393341483345)	(2, 0.06287699014236157)	(3, 0.0001464613638865258)	(4, 0.002621282871610128)	(5, 0.0019039977305248354)	(6, 0.00043187325248590934)	(7, 0.0038004846218760028)	(8, 0.000675975525630119)	(9, 0.0018101122408539856)	(10, 0.0009320951414521975)	(15, 0.002693386927677341)	(20, 0.0018745023318395791)	(25, 0.0037107265555224736)	(30, 0.0006314939490197118)	(35, 0.003443784390793298)	(40, 0.0033183283898090784)	(45, 0.0027288587964729247)	(50, 0.005435744141476814)	(55, 0.003707404841342406)	(60, 0.0016434419634517425)	(65, 0.0027399297361822474)	(70, 0.003412112552069676)	(75, 0.004100858757104271)	(80, 0.003610027899726542)	(85, 0.006384450475424741)	(90, 0.003675946557051943)	(95, 0.0019121005059866746)	(100, 0.005017135017043819)	(105, 0.002616223852315168)	(110, 0.003236598609897304)	(115, 0.004474833362572791)	(120, 0.0020477086462927794)	(125, 0.0014257342040169371)	(130, 0.002167661338145514)	(135, 0.0010024686563490856)	(140, 0.13319002968902985)	(145, 2.733914773214251e-06)	(150, 0.0)
Nac_Sal_3_1	(1, 0.638630792290136)	(2, 0.0026230851889262716)	(3, 0.02731626645019773)	(4, 0.0)	(5, 0.0021749405406614386)	(6, 0.0)	(7, 0.0007811695703698928)	(8, 0.0)	(9, 0.0)	(10, 0.0011816217606542485)	(15, 3.289135033136391e-05)	(20, 0.0001899544239308103)	(25, 3.2896462553738736e-06)	(30, 0.0004137632632513237)	(35, 0.0011322783713617307)	(40, 0.0003771470837311734)	(45, 0.0009077259548794738)	(50, 0.002100367599046653)	(55, 0.0008275706979245681)	(60, 0.0014091899562401384)	(65, 0.0011959563297559712)	(70, 0.0007535521896265813)	(75, 0.0018460840127129217)	(80, 0.0021755144754818556)	(85, 0.0018426063137168033)	(90, 0.0004390527356350538)	(95, 0.000857521979577098)	(100, 0.0014250918560641686)	(105, 0.0013095989331599095)	(110, 0.0008796888552569488)	(115, 0.0008988741953426119)	(120, 0.0019341497369514955)	(125, 0.0008732735625272691)	(130, 0.0020234941069858453)	(135, 0.0008252012469653797)	(140, 0.00018110776090051532)	(145, 0.00022049664420834846)	(150, 0.0)
Nac_Sal_3_2	(1, 1.1482781542558282)	(2, 0.0581724644798085)	(3, 0.00016034533286539906)	(4, 0.0021173806775815515)	(5, 0.001640456097776775)	(6, 0.00030013357177369567)	(7, 0.0030424499056511617)	(8, 0.0007030526133329036)	(9, 0.0015088906964513193)	(10, 0.0007704798815121996)	(15, 0.0023780446289576106)	(20, 0.001641278555501118)	(25, 0.003242932879501749)	(30, 0.000500653253519912)	(35, 0.0030076161829080007)	(40, 0.002967183521343655)	(45, 0.0024982930336098575)	(50, 0.004986631130957613)	(55, 0.0034496159306161385)	(60, 0.001525890399692086)	(65, 0.002609113819104705)	(70, 0.0031600397009718994)	(75, 0.003760605496378288)	(80, 0.0031600548147610523)	(85, 0.005619341799392987)	(90, 0.0029566456858641328)	(95, 0.0015265675769883694)	(100, 0.0040438870163565874)	(105, 0.0019225035411150656)	(110, 0.0023089013661459234)	(115, 0.0032353460704575895)	(120, 0.0013459842239306392)	(125, 0.000820773346437066)	(130, 0.0013158941889482667)	(135, 0.0006037429362261886)	(140, 0.12499461995957636)	(145, 1.790693661182602e-06)	(150, 0.0)
Nac_Sal_4_1	(1, 0.6153762832211789)	(2, 0.0028372881910812553)	(3, 0.02482829253249594)	(4, 0.0)	(5, 0.001964276439979331)	(6, 0.0)	(7, 0.0008043024929133474)	(8, 0.0)	(9, 0.0)	(10, 0.0011074315731570712)	(15, 2.990873591738075e-05)	(20, 0.00017945406774517162)	(25, 8.083781213884191e-07)	(30, 0.0004381655872702646)	(35, 0.0011213689827770902)	(40, 0.00034527095672002683)	(45, 0.0008233829565535351)	(50, 0.0019124818056249805)	(55, 0.0007235816022028384)	(60, 0.0012539440356980325)	(65, 0.001059361116681116)	(70, 0.0006077848084334972)	(75, 0.0016217015857606346)	(80, 0.0019192937722737247)	(85, 0.0016096882312365366)	(90, 0.0003552047833600423)	(95, 0.0007436100434483359)	(100, 0.0012629800875066054)	(105, 0.0011623833101013792)	(110, 0.0007561970630430529)	(115, 0.0008036935448065112)	(120, 0.0016625506183403332)	(125, 0.000774451258032464)	(130, 0.0017304094887004313)	(135, 0.0007032499688014221)	(140, 0.00015071324424238572)	(145, 0.00018817776337869412)	(150, 0.0)
Nac_Sal_4_2	(1, 1.1155352239022536)	(2, 0.05677809759018444)	(3, 0.00012529335316740586)	(4, 0.002004693650678494)	(5, 0.0015924381015470293)	(6, 0.0003354628488030544)	(7, 0.0030555411288567366)	(8, 0.0005375489022988703)	(9, 0.00147118646944954)	(10, 0.0007024511219514561)	(15, 0.002253663668585339)	(20, 0.0015371882343111203)	(25, 0.0030560174967361065)	(30, 0.0004690423350401803)	(35, 0.0028310381299234194)	(40, 0.002838547240940607)	(45, 0.002287979545755566)	(50, 0.004564532334299148)	(55, 0.0032174816251265377)	(60, 0.0013616361170522705)	(65, 0.002328708728127169)	(70, 0.002863748689368059)	(75, 0.003419607154690902)	(80, 0.002861604804967528)	(85, 0.005313330544942101)	(90, 0.002567973841492162)	(95, 0.0013223789602882056)	(100, 0.0035882903626900586)	(105, 0.0016821935524345254)	(110, 0.0020476883076919845)	(115, 0.0028310167317103048)	(120, 0.0011228117233052473)	(125, 0.0006970028596939275)	(130, 0.0010929793007096013)	(135, 0.0004932002851564556)	(140, 0.12361849842536035)	(145, 4.164652594398099e-06)	(150, 0.0)
Nac_Sal_5_1	(1, 0.7173320829698138)	(2, 0.002890548004748088)	(3, 0.0312528877579005)	(4, 0.0)	(5, 0.0022692847913723725)	(6, 0.0)	(7, 0.0009486354455736967)	(8, 0.0)	(9, 0.0)	(10, 0.001319905317998226)	(15, 3.199319541934821e-05)	(20, 0.00020089897230428347)	(25, 2.976942973836683e-06)	(30, 0.0005026100764653099)	(35, 0.001269844430494372)	(40, 0.00039409617360306663)	(45, 0.0010329357862893583)	(50, 0.0024732371646369457)	(55, 0.0009673544123053869)	(60, 0.0015692275847285836)	(65, 0.0013727073705250275)	(70, 0.0008487372343224822)	(75, 0.002350242185408199)	(80, 0.002695462329800598)	(85, 0.0022673487823162467)	(90, 0.0006005979799370648)	(95, 0.0011364485254618012)	(100, 0.0018618903617397351)	(105, 0.0017174206476909724)	(110, 0.001149984609681776)	(115, 0.0011787403416963253)	(120, 0.002619870300829282)	(125, 0.0012481852325327922)	(130, 0.0026648389083546967)	(135, 0.0012438319536507074)	(140, 0.0003429208958598495)	(145, 0.00041526781537786834)	(150, 0.0)
Nac_Sal_5_2	(1, 1.266558524705964)	(2, 0.06234580953870425)	(3, 0.0001711263941034904)	(4, 0.0025296945215298582)	(5, 0.0020423563122351357)	(6, 0.0004054951512452273)	(7, 0.003761060531274539)	(8, 0.0006882257154162114)	(9, 0.0018600695011248957)	(10, 0.0010096457252105932)	(15, 0.0027945684184900433)	(20, 0.0019394457553730032)	(25, 0.003813865603695677)	(30, 0.0007022379039781956)	(35, 0.003662187329839575)	(40, 0.0033790123134290733)	(45, 0.0029483562894921087)	(50, 0.005723822274087053)	(55, 0.003861108159267497)	(60, 0.0017519461344077693)	(65, 0.002995922795348514)	(70, 0.003753028075992085)	(75, 0.0045523901115930455)	(80, 0.003937422204158063)	(85, 0.006631175684652127)	(90, 0.003955968666777604)	(95, 0.0020427480966406972)	(100, 0.005435119958699144)	(105, 0.002751686024533617)	(110, 0.003281114028823772)	(115, 0.004506891460606933)	(120, 0.002246511100303487)	(125, 0.0014911519467959687)	(130, 0.0023750472196165727)	(135, 0.0011496490626620797)	(140, 0.13493270368212795)	(145, 1.2554020578249234e-05)	(150, 0.0)
