Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Nac_Sal_1_1	(1, 0.674793279282555)	(2, 0.002834209778760458)	(3, 0.028212088164725656)	(4, 0.0)	(5, 0.0020671530037748294)	(6, 0.0)	(7, 0.0009404029388241885)	(8, 0.0)	(9, 0.0)	(10, 0.001229024301615391)	(15, 3.8136156044483225e-05)	(20, 0.00021234905070223613)	(25, 2.6001924575784017e-06)	(30, 0.00046196752662976267)	(35, 0.0011839542990173656)	(40, 0.00036922732897613303)	(45, 0.0008979331286837415)	(50, 0.002221431089591148)	(55, 0.0008823319739382709)	(60, 0.0013971700805387947)	(65, 0.00122555737833862)	(70, 0.000734121003856302)	(75, 0.0019466774199070301)	(80, 0.0022014962807497132)	(85, 0.0018218681819432668)	(90, 0.00042643156304285784)	(95, 0.0008320615864250887)	(100, 0.0014838431624580747)	(105, 0.0012792946891285737)	(110, 0.0008554633185432942)	(115, 0.000830328124786703)	(120, 0.0018409362599655084)	(125, 0.0008632638959160294)	(130, 0.0018582708763493644)	(135, 0.0008329283172442813)	(140, 0.00014127712352842648)	(145, 0.0001768130871153313)	(150, 0.0007323875422179164)
Nac_Sal_1_2	(1, 1.2067796551408079)	(2, 0.060012441920909515)	(3, 0.00011267500649506408)	(4, 0.0023835097527802017)	(5, 0.0018678049153604851)	(6, 0.0003423586735811562)	(7, 0.0033759165407559583)	(8, 0.0005937106111470684)	(9, 0.001690125097425961)	(10, 0.0008693310116503789)	(15, 0.002567256686449075)	(20, 0.0017975997190058683)	(25, 0.0034487219295681534)	(30, 0.0006075783042541532)	(35, 0.0032840430739215216)	(40, 0.00319390306872547)	(45, 0.0027015999634239594)	(50, 0.005194317799422454)	(55, 0.0036524036720784613)	(60, 0.001672790481042105)	(65, 0.0027614043899482628)	(70, 0.0034521888528449246)	(75, 0.003945358688965628)	(80, 0.0033828503873095)	(85, 0.005791495333846293)	(90, 0.0031410324887547096)	(95, 0.0015497147047167272)	(100, 0.004013830423681859)	(105, 0.0020610858880404795)	(110, 0.002202363011568906)	(115, 0.003161834028415337)	(120, 0.0015505814355359204)	(125, 0.0008112600467644614)	(130, 0.001529779895875293)	(135, 0.0006249129206380092)	(140, 0.13054872944845802)	(145, 7.973923536573766e-05)	(150, 0.0038656194535998905)
Nac_Sal_2_1	(1, 0.7184925266754033)	(2, 0.002820185668672161)	(3, 0.031542920974937445)	(4, 0.0)	(5, 0.0022323369409014467)	(6, 0.0)	(7, 0.0008296852297017043)	(8, 0.0)	(9, 0.0)	(10, 0.0012620144839229513)	(15, 3.497327874078933e-05)	(20, 0.00020239854930839785)	(25, 5.208786195436709e-06)	(30, 0.0004992993624482902)	(35, 0.001226297092868528)	(40, 0.00039661186316682366)	(45, 0.0009450226383149457)	(50, 0.002383391740569111)	(55, 0.0008981435625560153)	(60, 0.0014740864933085887)	(65, 0.0012612703716093174)	(70, 0.0007753650308064358)	(75, 0.0020939320505655567)	(80, 0.0023513949110828573)	(85, 0.0018290280669119188)	(90, 0.00044721150049392315)	(95, 0.0008520085991107187)	(100, 0.0014666453701722504)	(105, 0.0012754085055683598)	(110, 0.000822988218879)	(115, 0.000818523544997197)	(120, 0.0018959981751389622)	(125, 0.000904096461065086)	(130, 0.0019108804214116384)	(135, 0.0008356381282107749)	(140, 0.0001622164843721718)	(145, 0.00019421331385842584)	(150, 0.0008929347763605786)
Nac_Sal_2_2	(1, 1.2585357588567132)	(2, 0.06286260825578474)	(3, 0.0001488224627267631)	(4, 0.0027011276984907507)	(5, 0.001964456507993273)	(6, 0.00042786458033944395)	(7, 0.0038507812230549957)	(8, 0.0006920244516794485)	(9, 0.0018937658381980606)	(10, 0.0009621372215285236)	(15, 0.002747262661936047)	(20, 0.0019190656568616102)	(25, 0.003764464194673473)	(30, 0.0006719334192113355)	(35, 0.003538254051328793)	(40, 0.0034318459904791577)	(45, 0.0028536707227856824)	(50, 0.005598701047780828)	(55, 0.0038626870200731364)	(60, 0.0018014959113074674)	(65, 0.002924361392580895)	(70, 0.00361564173194671)	(75, 0.004115685206708634)	(80, 0.0036454062244920624)	(85, 0.006096512185601851)	(90, 0.003304602784847775)	(95, 0.001645232325444366)	(100, 0.0042243256044991705)	(105, 0.0022040606729833616)	(110, 0.002391576976019083)	(115, 0.0034497046860063685)	(120, 0.0016556498978352397)	(125, 0.0009532078737649177)	(130, 0.0016318383037989576)	(135, 0.0006801186546613074)	(140, 0.1301660787993361)	(145, 7.366711904974775e-05)	(150, 0.0038879868387366864)
Nac_Sal_3_1	(1, 0.6392383971645251)	(2, 0.0026269458359147006)	(3, 0.027273878825820275)	(4, 0.0)	(5, 0.002199965475588008)	(6, 0.0)	(7, 0.0007807640874545241)	(8, 0.0)	(9, 0.0)	(10, 0.001191478529292581)	(15, 3.2531836977271836e-05)	(20, 0.00019031124631704022)	(25, 3.253183697727184e-06)	(30, 0.0004155942173846477)	(35, 0.0011443073656755367)	(40, 0.00038224908448294406)	(45, 0.0009173978027590657)	(50, 0.00211944917906926)	(55, 0.0008425745777113406)	(60, 0.0014094418370403023)	(65, 0.0011963583048391717)	(70, 0.0007506721382505476)	(75, 0.0018380487892158586)	(80, 0.0020974901891096017)	(85, 0.0017542793089993837)	(90, 0.0004131543296113523)	(95, 0.000788897046698842)	(100, 0.0013858562552317801)	(105, 0.0012321433255141707)	(110, 0.0008198022918272503)	(115, 0.0008173624040539549)	(120, 0.0017355735027374526)	(125, 0.0008010964855653189)	(130, 0.00179331751337211)	(135, 0.0007815773833789558)	(140, 0.00013175393975795095)	(145, 0.00016347248081079096)	(150, 0.0008336283225425908)
Nac_Sal_3_2	(1, 1.1546809551916644)	(2, 0.05813439267838477)	(3, 0.00016265918488635918)	(4, 0.0021715001182328946)	(5, 0.0017119879209289302)	(6, 0.0003009194920397645)	(7, 0.0030823915535965066)	(8, 0.0007157004134999805)	(9, 0.001577794093397684)	(10, 0.000792963526321001)	(15, 0.0024293149262777742)	(20, 0.0016884023391204083)	(25, 0.00329222190209991)	(30, 0.0005359620142005536)	(35, 0.003102723951707301)	(40, 0.0030620591554857118)	(45, 0.0025968538867107245)	(50, 0.005125390915769178)	(55, 0.003552476597918084)	(60, 0.001637977991805637)	(65, 0.0027001424691135622)	(70, 0.003299541565419796)	(75, 0.0038753550799175075)	(80, 0.003295475085797637)	(85, 0.005641020531858936)	(90, 0.0029701567160249184)	(95, 0.0015037841642743905)	(100, 0.003960751151982846)	(105, 0.00196085647380506)	(110, 0.0020991167809584653)	(115, 0.0030807649617476426)	(120, 0.001379349887836326)	(125, 0.0007165137094244122)	(130, 0.0013565776019522355)	(135, 0.0005530412286136212)	(140, 0.1290204521559357)	(145, 7.400992912329343e-05)	(150, 0.003558169669389107)
Nac_Sal_4_1	(1, 0.6187884134843302)	(2, 0.0028661941961939273)	(3, 0.024919407885282123)	(4, 0.0)	(5, 0.0020179936696905353)	(6, 0.0)	(7, 0.0008120213571264703)	(8, 0.0)	(9, 0.0)	(10, 0.0011183383245177427)	(15, 2.9747317043246933e-05)	(20, 0.00018411177305144722)	(25, 8.039815417093765e-07)	(30, 0.00044620975564870397)	(35, 0.0011312020291850927)	(40, 0.000354555859893835)	(45, 0.0008385527480028798)	(50, 0.0019464393124784007)	(55, 0.0007404669999143357)	(60, 0.0012670749097339774)	(65, 0.0010733153581820177)	(70, 0.0006198697686579293)	(75, 0.0016433382712539655)	(80, 0.001917495976976863)	(85, 0.0015999232680016591)	(90, 0.0003553598414355444)	(95, 0.0007396630183726264)	(100, 0.0012590350943168837)	(105, 0.0011633612908534677)	(110, 0.0007573506122902327)	(115, 0.0007870979293334796)	(120, 0.0016256506773363595)	(125, 0.0007541346861233952)	(130, 0.0016875572560479811)	(135, 0.0007083077382459607)	(140, 0.000130245009756919)	(145, 0.00015597241909161904)	(150, 0.0007115236644127983)
Nac_Sal_4_2	(1, 1.1253932625462424)	(2, 0.056829435275727286)	(3, 0.00012461713896495336)	(4, 0.0020662325621930975)	(5, 0.0016883612375896907)	(6, 0.0003336523398093912)	(7, 0.003087289120164006)	(8, 0.0005547472637794698)	(9, 0.001535604744664909)	(10, 0.0007243873690801482)	(15, 0.002314662858581295)	(20, 0.0015902754895011468)	(25, 0.003109800603331868)	(30, 0.0005089203159020353)	(35, 0.0029650839258241806)	(40, 0.002961867999657343)	(45, 0.002422396385170351)	(50, 0.004761982671544637)	(55, 0.0033606428443451936)	(60, 0.0015339967815814902)	(65, 0.0024722432407563327)	(70, 0.0030310104122443495)	(75, 0.0036155049930670664)	(80, 0.003063973655454434)	(85, 0.005466270502082051)	(90, 0.0027616765957717082)	(95, 0.0014085756610748277)	(100, 0.0037288663904480883)	(105, 0.0018419217120561816)	(110, 0.0020397011713166884)	(115, 0.0029482003134482836)	(120, 0.0012863704667350024)	(125, 0.00067052060578562)	(130, 0.0012453674081078243)	(135, 0.0004856048511924634)	(140, 0.1284778583282418)	(145, 7.075037567042513e-05)	(150, 0.003678215553320397)
Nac_Sal_5_1	(1, 0.718605939148222)	(2, 0.002889180803156704)	(3, 0.03132168316858088)	(4, 0.0)	(5, 0.002278007940950478)	(6, 0.0)	(7, 0.0009482439559078415)	(8, 0.0)	(9, 0.0)	(10, 0.0013305048006331899)	(15, 3.185507039377905e-05)	(20, 0.00020298347181152228)	(25, 2.963262362212004e-06)	(30, 0.0005044954171665937)	(35, 0.001268276291026738)	(40, 0.00039559552535530255)	(45, 0.0010356601955930954)	(50, 0.0024928444622108483)	(55, 0.0009645418989000073)	(60, 0.001534969903625818)	(65, 0.0013282823538615309)	(70, 0.0007919318663011581)	(75, 0.002252079395281123)	(80, 0.0024839546751242126)	(85, 0.0019587164214221347)	(90, 0.00048523421181221574)	(95, 0.0009275011193723574)	(100, 0.0015949759664606112)	(105, 0.001411253700003467)	(110, 0.0009200929634668273)	(115, 0.0009052766516557672)	(120, 0.001986126598272596)	(125, 0.0009067582828368732)	(130, 0.002005387803626974)	(135, 0.0009304643817345693)	(140, 0.00015557127401613023)	(145, 0.00018372226645714426)	(150, 0.0007556319023640611)
Nac_Sal_5_2	(1, 1.2703579828361917)	(2, 0.062450754283617994)	(3, 0.00017409166377995526)	(4, 0.0025928545669355037)	(5, 0.002092804043312228)	(6, 0.00040744857480415055)	(7, 0.0038152002913479552)	(8, 0.000696366655119821)	(9, 0.0019113042236267425)	(10, 0.0010319561176403305)	(15, 0.002842509420951865)	(20, 0.001982422520319831)	(25, 0.0038715022762299835)	(30, 0.0007393339593718951)	(35, 0.003768528909143116)	(40, 0.0034662761481974915)	(45, 0.0030566051266216823)	(50, 0.005860592136864792)	(55, 0.00393965731056086)	(60, 0.0018231471683509354)	(65, 0.0030388255524484106)	(70, 0.003715931002213853)	(75, 0.0043619221971760705)	(80, 0.0038292757875684627)	(85, 0.006208034648834149)	(90, 0.003436643524575372)	(95, 0.0016868370996891832)	(100, 0.004467118011034596)	(105, 0.0023106038269348106)	(110, 0.0024024649601633824)	(115, 0.003451459836386432)	(120, 0.0018098124877209815)	(125, 0.0010089908343331874)	(130, 0.0017994410694532395)	(135, 0.0007711890297656741)	(140, 0.13028649709496573)	(145, 8.519379291359512e-05)	(150, 0.0040744857480415056)
