Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y	*
Nac_Sal_1	[1891751, 130694993]	[3639090, 122082543]	[6838951, 120129022]	[1409948, 120421639]	[1679300, 124902244]	[1641338, 104043685]	[1763875, 98207768]	[1503609, 94987271]	[1479054, 90702639]	[1389733, 61431566]	[3117996, 195471971]	[3631599, 182113224]	[1968708, 160039680]	[2075337, 156508116]	[2469402, 151834684]	[2547199, 149736546]	[2386047, 145441459]	[1920073, 129401213]	[2740244, 124595110]	[2149209, 16299]	[1321509, 171031299]	[44363, 91744698]	[0, 0]
Nac_Sal_2	[1669385, 130694993]	[2209608, 122082543]	[4675804, 120129022]	[1094431, 120421639]	[1371985, 124902244]	[1217939, 104043685]	[1465064, 98207768]	[1342113, 94987271]	[981912, 90702639]	[933534, 61431566]	[2166217, 195471971]	[2827657, 182113224]	[1481113, 160039680]	[1631373, 156508116]	[2265394, 151834684]	[2072024, 149736546]	[1873554, 145441459]	[1522815, 129401213]	[2126100, 124595110]	[765618, 16299]	[1031712, 171031299]	[43674, 91744698]	[0, 0]
Nac_Sal_3	[651258, 130694993]	[2597998, 122082543]	[2118628, 120129022]	[1024216, 120421639]	[825773, 124902244]	[641208, 104043685]	[3189244, 98207768]	[13445679, 94987271]	[605120, 90702639]	[185121, 61431566]	[784850, 195471971]	[1952273, 182113224]	[2322659, 160039680]	[261884, 156508116]	[1189683, 151834684]	[2125704, 149736546]	[457662, 145441459]	[883968, 129401213]	[3773396, 124595110]	[330233, 16299]	[273103, 171031299]	[6128, 91744698]	[0, 0]
Nac_Sal_4	[2120518, 130694993]	[3336076, 122082543]	[8228008, 120129022]	[1477542, 120421639]	[1692055, 124902244]	[1876323, 104043685]	[1804821, 98207768]	[1819965, 94987271]	[1296733, 90702639]	[1537222, 61431566]	[3255447, 195471971]	[3965168, 182113224]	[2043751, 160039680]	[2260831, 156508116]	[2682560, 151834684]	[2714506, 149736546]	[2572015, 145441459]	[2062196, 129401213]	[3253764, 124595110]	[2754943, 16299]	[1453074, 171031299]	[35668, 91744698]	[0, 0]
Nac_Sal_5	[2068957, 130694993]	[2690677, 122082543]	[4115162, 120129022]	[1471181, 120421639]	[1770691, 124902244]	[1525626, 104043685]	[1846421, 98207768]	[1790214, 94987271]	[1244236, 90702639]	[1147465, 61431566]	[2756254, 195471971]	[3620693, 182113224]	[1867373, 160039680]	[2160941, 156508116]	[2598875, 151834684]	[2539150, 149736546]	[2374274, 145441459]	[2010437, 129401213]	[2489175, 124595110]	[1122998, 16299]	[1260551, 171031299]	[69957, 91744698]	[0, 0]
Nac_Sal_6	[2249777, 130694993]	[3651701, 122082543]	[9680598, 120129022]	[1533997, 120421639]	[1853131, 124902244]	[2011984, 104043685]	[1943428, 98207768]	[1999026, 94987271]	[1407474, 90702639]	[1578021, 61431566]	[3270150, 195471971]	[4218491, 182113224]	[2091323, 160039680]	[2469951, 156508116]	[3032521, 151834684]	[2812961, 149736546]	[2891033, 145441459]	[2184991, 129401213]	[3457852, 124595110]	[2345782, 16299]	[1603478, 171031299]	[39860, 91744698]	[0, 0]
Nac_Sal_7	[709656, 130694993]	[3039010, 122082543]	[2672051, 120129022]	[993655, 120421639]	[735003, 124902244]	[769880, 104043685]	[5269237, 98207768]	[22675991, 94987271]	[1036594, 90702639]	[245859, 61431566]	[1001444, 195471971]	[1940471, 182113224]	[2895649, 160039680]	[450088, 156508116]	[2190657, 151834684]	[2764023, 149736546]	[542171, 145441459]	[877057, 129401213]	[2617007, 124595110]	[2466984, 16299]	[430776, 171031299]	[8392, 91744698]	[0, 0]
Nac_Sal_8	[1550674, 130694993]	[3465359, 122082543]	[6663312, 120129022]	[1372098, 120421639]	[1482465, 124902244]	[1544024, 104043685]	[2434427, 98207768]	[4647856, 94987271]	[1161342, 90702639]	[1131918, 61431566]	[2361071, 195471971]	[3426196, 182113224]	[2062670, 160039680]	[1613043, 156508116]	[2366678, 151834684]	[2566586, 149736546]	[1912918, 145441459]	[1740940, 129401213]	[3587580, 124595110]	[2054820, 16299]	[1034768, 171031299]	[27361, 91744698]	[0, 0]
Nac_oxy_1	[853890, 130694993]	[1092017, 122082543]	[1607386, 120129022]	[547016, 120421639]	[656358, 124902244]	[569771, 104043685]	[761438, 98207768]	[811900, 94987271]	[453969, 90702639]	[396620, 61431566]	[1016444, 195471971]	[1377399, 182113224]	[729731, 160039680]	[821216, 156508116]	[1100337, 151834684]	[922978, 149736546]	[844017, 145441459]	[722410, 129401213]	[1002693, 124595110]	[419209, 16299]	[493644, 171031299]	[32625, 91744698]	[0, 0]
Nac_oxy_2	[1755436, 130694993]	[3030325, 122082543]	[9617642, 120129022]	[1276359, 120421639]	[1545201, 124902244]	[1704634, 104043685]	[1559987, 98207768]	[1424517, 94987271]	[1206427, 90702639]	[1171933, 61431566]	[2694340, 195471971]	[3493367, 182113224]	[1697635, 160039680]	[1916684, 156508116]	[2303855, 151834684]	[2517489, 149736546]	[2213688, 145441459]	[1744295, 129401213]	[2913494, 124595110]	[1847586, 16299]	[1186634, 171031299]	[39203, 91744698]	[0, 0]
Nac_oxy_3	[2032346, 130694993]	[2719085, 122082543]	[7006716, 120129022]	[1476229, 120421639]	[1817227, 124902244]	[1704321, 104043685]	[1793357, 98207768]	[1555232, 94987271]	[1255225, 90702639]	[1253397, 61431566]	[3060443, 195471971]	[3757620, 182113224]	[2049964, 160039680]	[2127912, 156508116]	[2434980, 151834684]	[2482840, 149736546]	[2497662, 145441459]	[2006211, 129401213]	[2904050, 124595110]	[945038, 16299]	[1408791, 171031299]	[51707, 91744698]	[0, 0]
Nac_oxy_4	[2007126, 130694993]	[2347533, 122082543]	[3650864, 120129022]	[1416321, 120421639]	[1732511, 124902244]	[1445246, 104043685]	[1724192, 98207768]	[1516788, 94987271]	[1202498, 90702639]	[1095664, 61431566]	[2710170, 195471971]	[3469179, 182113224]	[1878650, 160039680]	[1961475, 156508116]	[2375803, 151834684]	[2344635, 149736546]	[2280416, 145441459]	[1900226, 129401213]	[2365660, 124595110]	[1065157, 16299]	[1256074, 171031299]	[51344, 91744698]	[0, 0]
Nac_oxy_5	[1454777, 130694993]	[3733210, 122082543]	[3528995, 120129022]	[1281166, 120421639]	[1330510, 124902244]	[1196786, 104043685]	[3959175, 98207768]	[5337239, 94987271]	[1289153, 90702639]	[702483, 61431566]	[1817026, 195471971]	[2972051, 182113224]	[3201706, 160039680]	[1274816, 156508116]	[2607193, 151834684]	[2309181, 149736546]	[1457060, 145441459]	[1469482, 129401213]	[2872753, 124595110]	[558704, 16299]	[908232, 171031299]	[31713, 91744698]	[0, 0]
Nac_oxy_6	[1759385, 130694993]	[2424806, 122082543]	[7242053, 120129022]	[1179001, 120421639]	[1495154, 124902244]	[1461174, 104043685]	[1500487, 98207768]	[1269943, 94987271]	[1051184, 90702639]	[1112456, 61431566]	[2565656, 195471971]	[3108208, 182113224]	[1637316, 160039680]	[1782848, 156508116]	[2073078, 151834684]	[2182128, 149736546]	[2056082, 145441459]	[1617500, 129401213]	[2543872, 124595110]	[1288749, 16299]	[1175945, 171031299]	[32096, 91744698]	[0, 0]
Nac_oxy_7	[2027604, 130694993]	[2746945, 122082543]	[4524145, 120129022]	[1504060, 120421639]	[1832284, 124902244]	[1524462, 104043685]	[1987150, 98207768]	[1718570, 94987271]	[1313743, 90702639]	[1208351, 61431566]	[2810394, 195471971]	[3678996, 182113224]	[1945272, 160039680]	[2125775, 156508116]	[2568985, 151834684]	[2639736, 149736546]	[2337758, 145441459]	[2036807, 129401213]	[2567226, 124595110]	[1379263, 16299]	[1256913, 171031299]	[48861, 91744698]	[0, 0]
Nac_oxy_8	[1976939, 130694993]	[2770267, 122082543]	[6035878, 120129022]	[1356375, 120421639]	[1685293, 124902244]	[1588184, 104043685]	[1639164, 98207768]	[1548875, 94987271]	[1204602, 90702639]	[1163496, 61431566]	[2793868, 195471971]	[3540049, 182113224]	[1851996, 160039680]	[2055296, 156508116]	[2436909, 151834684]	[2460443, 149736546]	[2251266, 145441459]	[1830589, 129401213]	[2703636, 124595110]	[963406, 16299]	[1257427, 171031299]	[53341, 91744698]	[0, 0]
